probe_result_row_id,source_dataset,context_id,candidate_id,method,execution_mode,counts_as_new_g545_solver_row,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,selected_success,selected_ratio,success_regression_vs_static_flow,success_regression_vs_family_static,quality_delta_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g545_retrospective_00000000,g539_param_optimizer_probe,0000106004b5cd0c,repair5g59_additive_fallback,repair5g59_additive_fallback,prior_solver_evidence_retrospective,False,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000001,g539_param_optimizer_probe,000040e4f0ffb84f,repair5g59_additive_fallback,repair5g59_additive_fallback,prior_solver_evidence_retrospective,False,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000002,g539_param_optimizer_probe,0000106004b5cd0c,repair5g59_static_flow_shield,repair5g59_static_flow_shield,prior_solver_evidence_retrospective,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000003,g539_param_optimizer_probe,000040e4f0ffb84f,repair5g59_static_flow_shield,repair5g59_static_flow_shield,prior_solver_evidence_retrospective,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000004,g539_param_optimizer_probe,0000106004b5cd0c,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,prior_solver_evidence_retrospective,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000005,g539_param_optimizer_probe,000040e4f0ffb84f,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,prior_solver_evidence_retrospective,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000006,g539_param_optimizer_probe,0000106004b5cd0c,repair5g59_wait_aggressive,repair5g59_wait_aggressive,prior_solver_evidence_retrospective,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000007,g539_param_optimizer_probe,000040e4f0ffb84f,repair5g59_wait_aggressive,repair5g59_wait_aggressive,prior_solver_evidence_retrospective,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000008,g539_param_optimizer_probe,0000106004b5cd0c,repair5g539_s1_000,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,prior_solver_evidence_retrospective,False,1.1,1.1,1.25,0.65,0.65,0.75,0.75,0.95,0.95,1,1,0.25,1.25,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
g545_retrospective_00000009,g539_param_optimizer_probe,000040e4f0ffb84f,repair5g539_s1_000,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,prior_solver_evidence_retrospective,False,1.1,1.1,1.25,0.65,0.65,0.75,0.75,0.95,0.95,1,1,0.25,1.25,1,11,1,0,0,True,0.970945945946,False,False,0,False,False,False,False,False
