field,classification,used_by_g526_bandit_selection,allowed_in_distilled_runtime_features,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
aaai_ready,audit_only,False,False,False,False,False,False,False
actual_safe_oracle_candidate,oracle_label,False,False,False,False,False,False,False
actual_safe_oracle_region,oracle_label,False,False,False,False,False,False,False
agents,audit_only,False,False,False,False,False,False,False
audit_candidate_region,audit_only,False,False,False,False,False,False,False
candidate_id,audit_only,False,False,False,False,False,False,False
candidate_role,audit_only,False,False,False,False,False,False,False
eval_scope,audit_only,False,False,False,False,False,False,False
failed_candidate_audit_status,audit_only,False,False,False,False,False,False,False
feature_blocked_local_position_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_blocked_progress_edge_relief_score,runtime_safe_feature,False,True,False,False,False,False,False
feature_blocked_reason_backtrack_rate,runtime_safe_feature,False,True,False,False,False,False,False
feature_blocked_reason_edge_swap_rate,runtime_safe_feature,False,True,False,False,False,False,False
feature_blocked_reason_vertex_conflict_rate,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_blocked_edge_relief_metric,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_blocked_minus_committed_weight,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_congestion_decay_effect,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_flow_decay_effect,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_progress_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_wait_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_goal_progress_local_position_shift,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_goal_progress_rank_shift,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_nonprogress_penalty_metric,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_progress_minus_wait_weight,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_wait_local_position_shift,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_wait_rank_shift,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_weight_on_blocked_progress_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_weight_on_committed_progress_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_candidate_predicted_weight_on_wait_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_committed_local_position_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_committed_vs_blocked_rank_margin_x_candidate_flow,runtime_safe_feature,False,True,False,False,False,False,False
feature_competing_neighbor_count_max,runtime_safe_feature,False,True,False,False,False,False,False
feature_competing_neighbor_count_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_congestion_decay_expected_on_blocked_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_failed_candidate_backtrack_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_failed_candidate_edge_swap_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_failed_candidate_priority_block_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_failed_candidate_rank_histogram_max,runtime_safe_feature,False,True,False,False,False,False,False
feature_failed_candidate_rank_histogram_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_failed_candidate_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_flow_decay_expected_on_committed_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_flow_shield_expected_on_goal_progress,runtime_safe_feature,False,True,False,False,False,False,False
feature_flow_shield_expected_on_wait_nonprogress,runtime_safe_feature,False,True,False,False,False,False,False
feature_full_coverage_context_seen,runtime_safe_feature,False,True,False,False,False,False,False
feature_g525_subset_membership,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_aware_c_minus_f_alignment,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_aware_congestion_on_blocked_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_aware_congestion_on_goal_progress_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_aware_flow_on_blocked_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_aware_flow_on_goal_progress_edges,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_aware_update_balance,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_progress_edge_relief_score,runtime_safe_feature,False,True,False,False,False,False,False
feature_goal_progress_local_position_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_local_margin_blocked_vs_committed_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_local_margin_top1_top2_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_missing_from_g525_subset,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_failed_rank_mean,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_goal_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_margin_to_static,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_region_prior,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_vertex_conflict_histogram,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_blocked_wait_penalty,runtime_safe_feature,False,True,False,False,False,False,False
feature_mix_alpha_cong_committed_blocked_progress_relief,runtime_safe_feature,False,True,False,False,False,False,False
