replay_phase,map,agents,seed,budget_ms,horizon_id,split,map_family,g566_dataset_row_id,g566_evaluation_uid,g566_identity_digest,theta_id,method,variant_id,actor_training_seed,model_path,actor_success,additive_success,static_flow_success,g556_success,actor_ratio,additive_ratio,static_flow_ratio,g556_ratio,delta_vs_additive,delta_vs_static_flow,delta_vs_g556,relative_improvement_vs_additive,relative_improvement_vs_static_flow,relative_improvement_vs_g556,success_gain_vs_additive,success_regression_vs_additive,success_gain_vs_static_flow,success_regression_vs_static_flow,success_gain_vs_g556,success_regression_vs_g556,candidate_recognized,fingerprint_match,scenario_hash_match,identity_retained,force_additive_false,dual_channel_enabled,actor_runtime_ms,additive_runtime_ms,static_flow_runtime_ms,g556_runtime_ms,actor_expanded_nodes,g556_expanded_nodes,actor_low_level_pibt_calls,g556_low_level_pibt_calls,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
blind_three_tier,g566-chambers-48x32-a-v0,16,566000060,5000,budget5000_ltm6,BLIND,other,g566_valid_000058,1dfaaaa9ecf6c3c192feb137c535a65a6f0d962389578b923894f217f4282aa7,abb9da67b02bd5405990ae0b7b4b73cec7a0342c019f8bdaacd9b09aa5605fe1,g566_blind_three_tier_a1_s568_d5cb654225da,g566_A1_phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568,A1,568,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568.pt,True,True,True,True,1.03435114504,1.17557251908,1.06870229008,1.03816793893,-0.1412213740399999,-0.03435114504000003,-0.003816793890000003,0.12012987012534063,0.03214285714446125,0.0036764705852251867,False,False,False,False,False,False,True,True,True,True,True,True,6.880908,2.747662,3.594223,4.048243,62,62,976,976,1.2493364810943604,1.1641677618026733,1.2540818452835083,0.7398732900619507,0.7563953399658203,1.0351712703704834,0.6983411312103271,0.9804576635360718,1.0,0.6805710196495056,0.6430561542510986,0.3402940630912781,0.890215277671814,1.0,10.810843467712402,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000060,5000,budget5000_ltm6,BLIND,other,g566_valid_000058,1dfaaaa9ecf6c3c192feb137c535a65a6f0d962389578b923894f217f4282aa7,52277e3cec7599a2b04917498c94cc32dda7cf33f48c84524f8820672f489e37,g566_blind_three_tier_a2_s568_7c13ebe8db61,g566_A2_phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568,A2,568,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568.pt,True,True,True,True,1.03435114504,1.17557251908,1.06870229008,1.03816793893,-0.1412213740399999,-0.03435114504000003,-0.003816793890000003,0.12012987012534063,0.03214285714446125,0.0036764705852251867,False,False,False,False,False,False,True,True,True,True,True,True,3.606971,2.747662,3.594223,4.048243,62,62,976,976,1.2495537996292114,1.163853406906128,1.2537404298782349,0.7400639057159424,0.7560165524482727,1.0350004434585571,0.6983028054237366,0.9804523587226868,1.0,0.6807795166969299,0.642920196056366,0.33998504281044006,0.8908027410507202,1.0,10.811721801757812,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000320,1000,budget1000_ltm3,BLIND,other,g566_valid_000314,132e2492fe5bf22bd5255e3df80748789b0ef508dedf7d4148e311cd82bf14c5,fb3db610848bf0428f5b44dcfd3c282fc2aa8dd631ff99f8c6e7e6c9a4fda5d0,g566_blind_three_tier_a1_s568_0daf52422daf,g566_A1_phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568,A1,568,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568.pt,True,True,True,True,1.0183908046,1.17701149425,1.05977011494,1.02298850575,-0.15862068964999998,-0.041379310339999975,-0.004597701150000022,0.13476562499593447,0.03904555314087405,0.004494382023021104,False,False,False,False,False,False,True,True,True,True,True,True,3.653931,2.659545,3.671767,3.51611,58,58,912,912,1.2485750913619995,1.1644333600997925,1.2578831911087036,0.7390189170837402,0.7567136883735657,1.0363343954086304,0.6991467475891113,0.9805380702018738,1.0,0.6803305745124817,0.6430670022964478,0.34132152795791626,0.8928194642066956,1.0,10.81163215637207,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000320,1000,budget1000_ltm3,BLIND,other,g566_valid_000314,132e2492fe5bf22bd5255e3df80748789b0ef508dedf7d4148e311cd82bf14c5,09c7b5dad7742cb52f6ffa8b9af845b4d836c8e7f76ee4161ca12fc585cd6843,g566_blind_three_tier_a2_s568_47b7c044bade,g566_A2_phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568,A2,568,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568.pt,True,True,True,True,1.0183908046,1.17701149425,1.05977011494,1.02298850575,-0.15862068964999998,-0.041379310339999975,-0.004597701150000022,0.13476562499593447,0.03904555314087405,0.004494382023021104,False,False,False,False,False,False,True,True,True,True,True,True,3.517976,2.659545,3.671767,3.51611,58,58,912,912,1.2487068176269531,1.1642745733261108,1.2579610347747803,0.7390766739845276,0.7563437223434448,1.036485195159912,0.6991168260574341,0.9805455803871155,1.0,0.6805450916290283,0.6429126262664795,0.3410867154598236,0.8936599493026733,1.0,10.812250137329102,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000580,5000,budget5000_ltm6,BLIND,other,g566_valid_000570,3dcbef80979078525547d973df0ef2eec77749b1b6c3e8a05efb3a796dbb9f66,140cf4c899d53021dd41bc9b048b856575f5f4e07663aef820d77ac79794d5e4,g566_blind_three_tier_a1_s568_b9504413ecae,g566_A1_phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568,A1,568,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568.pt,True,True,True,True,1.05936073059,1.16210045662,1.10502283105,1.03424657534,-0.10273972603000003,-0.04566210046000019,0.025114155249999826,0.08840864440310199,0.04132231405265333,-0.024282560705355734,False,False,False,False,False,False,True,True,True,True,True,True,3.466222,2.588205,3.476271,3.47045,50,50,784,784,1.2487510442733765,1.1642988920211792,1.2567472457885742,0.7393987774848938,0.7565526366233826,1.0362601280212402,0.698764979839325,0.9805091023445129,1.0,0.6804180145263672,0.6431863903999329,0.3410336673259735,0.8915801048278809,1.0,10.810892105102539,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000580,5000,budget5000_ltm6,BLIND,other,g566_valid_000570,3dcbef80979078525547d973df0ef2eec77749b1b6c3e8a05efb3a796dbb9f66,3e68eac076a1df4a7c48b378616342d17d59ba54a45f8304dd7d3f5c8b42a0b9,g566_blind_three_tier_a2_s568_92524c9908ca,g566_A2_phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568,A2,568,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568.pt,True,True,True,True,1.05936073059,1.16210045662,1.10502283105,1.03424657534,-0.10273972603000003,-0.04566210046000019,0.025114155249999826,0.08840864440310199,0.04132231405265333,-0.024282560705355734,False,False,False,False,False,False,True,True,True,True,True,True,3.448917,2.588205,3.476271,3.47045,50,50,784,784,1.2487815618515015,1.164109230041504,1.2571617364883423,0.7394742369651794,0.75627201795578,1.036410927772522,0.6988410353660583,0.9805277585983276,1.0,0.68062424659729,0.6431049704551697,0.3408060371875763,0.8922555446624756,1.0,10.811661720275879,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000840,1000,budget1000_ltm3,BLIND,other,g566_valid_000826,ac5c890a4f004814b345d9254daa0dbf869f564869ade2974c62b007ca0588c6,53305f974ea336aa6145ba6365cfab78d9911e697e8eeb13f5072d1a135f5658,g566_blind_three_tier_a1_s568_5e404b8f63d6,g566_A1_phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568,A1,568,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568.pt,True,True,True,True,1.02891566265,1.1686746988,1.07469879518,1.02891566265,-0.13975903615000007,-0.04578313252999999,0.0,0.11958762887012546,0.04260089686090309,0.0,False,False,False,False,False,False,True,True,True,True,True,True,3.395582,2.473383,3.499521,3.408738,41,41,640,640,1.2500793933868408,1.164353847503662,1.2535419464111328,0.7394501566886902,0.7560763955116272,1.0342875719070435,0.6983548402786255,0.9804350137710571,1.0,0.6804934740066528,0.6423397064208984,0.34030023217201233,0.8932446241378784,1.0,10.81195068359375,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566000840,1000,budget1000_ltm3,BLIND,other,g566_valid_000826,ac5c890a4f004814b345d9254daa0dbf869f564869ade2974c62b007ca0588c6,e01a93c71a17454f1a15bfe71f4f2beed0c6a771372185f98a3e0731b9db8f2e,g566_blind_three_tier_a2_s568_e14705354629,g566_A2_phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568,A2,568,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568.pt,True,True,True,True,1.02891566265,1.1686746988,1.07469879518,1.02891566265,-0.13975903615000007,-0.04578313252999999,0.0,0.11958762887012546,0.04260089686090309,0.0,False,False,False,False,False,False,True,True,True,True,True,True,3.410726,2.473383,3.499521,3.408738,41,41,640,640,1.2501286268234253,1.1641535758972168,1.2542003393173218,0.739382803440094,0.7557977437973022,1.0343483686447144,0.6985069513320923,0.9804511070251465,1.0,0.6805716753005981,0.641804575920105,0.3403596580028534,0.8949416875839233,1.0,10.813114166259766,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566001100,5000,budget5000_ltm6,BLIND,other,g566_valid_001082,b37aba5a0ee207fff9c369d91a98e2a53e5e019662f9d737f7e765e16fdeab38,88e4ba2bd1f01a95386defc2c8712cfa4647991cf2b6799243d25db7c250308b,g566_blind_three_tier_a1_s568_548ef10a4187,g566_A1_phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568,A1,568,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568.pt,True,True,True,True,1.03141361257,1.14397905759,1.09162303665,1.03141361257,-0.11256544501999999,-0.06020942407999996,0.0,0.09839816933112358,0.05515587529626724,0.0,False,False,False,False,False,False,True,True,True,True,True,True,3.45762,2.456595,3.413998,3.384057,45,45,704,704,1.2486910820007324,1.164360761642456,1.2573808431625366,0.739237368106842,0.7566477060317993,1.0363564491271973,0.6988983750343323,0.9805247187614441,1.0,0.6803532242774963,0.6431418061256409,0.34121474623680115,0.8922399282455444,1.0,10.811254501342773,False,False,False,False,False
blind_three_tier,g566-chambers-48x32-a-v0,16,566001100,5000,budget5000_ltm6,BLIND,other,g566_valid_001082,b37aba5a0ee207fff9c369d91a98e2a53e5e019662f9d737f7e765e16fdeab38,63c8477ae463cf4282625184ce52ecd85bb97657ec83a2f2a910c8759f2392f7,g566_blind_three_tier_a2_s568_1da60e60ab40,g566_A2_phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568,A2,568,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568.pt,True,True,True,True,1.03141361257,1.14397905759,1.09162303665,1.03141361257,-0.11256544501999999,-0.06020942407999996,0.0,0.09839816933112358,0.05515587529626724,0.0,False,False,False,False,False,False,True,True,True,True,True,True,3.419413,2.456595,3.413998,3.384057,45,45,704,704,1.2487326860427856,1.1641764640808105,1.2576195001602173,0.7393050789833069,0.7563695311546326,1.0364868640899658,0.6989386677742004,0.9805389046669006,1.0,0.6806070804595947,0.6430539488792419,0.3409389555454254,0.892787516117096,1.0,10.811914443969727,False,False,False,False,False
