plan_row_id,context_id,g568_method,agent_count,solver_internal_time_limit_sec,process_hard_timeout_sec,row_budget_audit_decision,row_budget_audit_failures
g568_ltm30_existingrow_00000000,g567_gate3b_calibration_00175,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000001,g567_gate3b_calibration_00175,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000002,g567_gate3b_calibration_00174,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000003,g567_gate3b_calibration_00174,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000004,g567_gate3b_calibration_00176,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000005,g567_gate3b_calibration_00176,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000006,g567_gate3b_calibration_00172,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000007,g567_gate3b_calibration_00172,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000008,g567_gate3b_calibration_00173,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000009,g567_gate3b_calibration_00173,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_existingrow_00000010,g567_gate3b_calibration_00208,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000011,g567_gate3b_calibration_00208,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000012,g567_gate3b_calibration_00213,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000013,g567_gate3b_calibration_00213,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000014,g567_gate3b_calibration_00210,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000015,g567_gate3b_calibration_00210,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000016,g567_gate3b_calibration_00209,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000017,g567_gate3b_calibration_00209,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000018,g567_gate3b_calibration_00211,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000019,g567_gate3b_calibration_00211,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000020,g567_gate3b_calibration_00212,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000021,g567_gate3b_calibration_00212,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000022,g567_gate3b_calibration_00214,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000023,g567_gate3b_calibration_00214,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000024,g567_gate3b_calibration_00205,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000025,g567_gate3b_calibration_00205,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000026,g567_gate3b_calibration_00206,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000027,g567_gate3b_calibration_00206,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000028,g567_gate3b_calibration_00207,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000029,g567_gate3b_calibration_00207,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_existingrow_00000030,g567_gate3b_calibration_00224,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_existingrow_00000031,g567_gate3b_calibration_00224,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_existingrow_00000032,g567_gate3b_calibration_00231,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_existingrow_00000033,g567_gate3b_calibration_00231,static_flow_30s,256,30.0,60.0,pass,
