agents,candidate_id,paired_groups,better_count,equal_count,worse_count,mean_delta_ratio,median_delta_ratio,bootstrap_ci_low,bootstrap_ci_high,success_regression_count,actual_success_regression_count,candidate_harmful_count,expanded_node_regression_count,ttfs_regression,winner_stability_score,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
100,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,91,0,91,0,0,0,0,0,2,2,5,3,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,90,0,90,0,0,0,0,0,3,3,7,4,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,91,0,91,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,91,0,91,0,0,0,0,0,1,1,1,0,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,91,0,91,0,0,0,0,0,1,1,2,1,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,91,0,91,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,94,0,94,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,92,0,92,0,0,0,0,0,2,2,2,0,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,93,0,93,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,94,0,94,0,0,0,0,0,0,0,1,1,reported_if_available,0,False,False,False,False,False
