split,run_id,checkpoint_id,map_name,agents,seed,iteration,decision_target,selected_decision,target_rule,predicted_rule,fallback_reason,attention_top1,attention_top3,decision_correct,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,selected_rule_harmful,target_delta,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,best_safe_nonadditive_advantage,opportunity_margin,rule_scores,harmful_probs,opportunity_prob,defer_prob,top3_rules,harmful_labels
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,50,1,0,use_nonadditive,use_nonadditive,wait_light,block_heavy,selected,False,True,True,0.0426356589147,0.0,0.0426356589147,0.0426356589147,0.0,0.0426356589147,False,0.077519379845,True,True,0.077519379845,0.01,"[-1.180111432960257, -1.074839062690735, 0.7221306747198105, -1.1254126578569412, 0.7135941079258918, 0.21872666239738464, -0.9551304379105567, -0.9450356984138488]","[0.0028205360285937786, 0.48314666748046875, 0.18570926785469055, 0.46866312623023987, 0.22222255170345306, 0.4230455756187439, 0.050710633397102356, 0.05809676647186279]",0.6579270362854004,0.19897226989269257,"[""block_heavy"", ""wait_light"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,50,1,1,use_nonadditive,defer_ltm,commit_heavy,additive_ltm,unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.135658914729,True,True,0.1,0.01,"[-0.48060381456278267, 0.6081197214126587, 0.5686425125598907, 0.5012437826395035, 0.5808110451698303, 0.46869597733020785, 0.6073375988006592, 0.605926524400711]","[0.004351160954684019, 0.46347105503082275, 0.44456344842910767, 0.4859292209148407, 0.47307801246643066, 0.46298161149024963, 0.45512592792510986, 0.4567945599555969]",0.7266740798950195,0.11456256359815598,"[""commit_heavy"", ""decay_095"", ""decay_090""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-16-16,50,1,2,use_nonadditive,defer_ltm,block_light,additive_ltm,unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0968992248062,True,True,0.0968992248062,0.01,"[-0.2231819228362292, 0.6152494913339615, 0.6023891550302506, 0.6074717789888382, 0.6046629065275192, 0.6001370054483414, 0.601024232506752, 0.601083732843399]","[0.005883952137082815, 0.46287593245506287, 0.44379839301109314, 0.4303954541683197, 0.4321271479129791, 0.4506940543651581, 0.4491496980190277, 0.4496913552284241]",0.695376455783844,0.15900376439094543,"[""commit_heavy"", ""block_light"", ""wait_light""]","[0, 1, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-16-16,50,1,3,defer_ltm,defer_ltm,block_heavy,additive_ltm,unsafe,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0077519379845,False,False,0.0077519379845,0.01,"[-0.19031824795529245, 0.6116228890419007, 0.6128461182117462, 0.6064535558223725, 0.6069984984397888, 0.6048725616931915, 0.6077785408496856, 0.6079963928461075]","[0.0051002344116568565, 0.4483034610748291, 0.4043498635292053, 0.3779134154319763, 0.3655257225036621, 0.40638262033462524, 0.40330928564071655, 0.40392932295799255]",0.703519880771637,0.16424408555030823,"[""block_heavy"", ""commit_heavy"", ""decay_090""]","[0, 1, 0, 1, 0, 1, 1, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,100,1,0,use_nonadditive,use_nonadditive,wait_light,wait_light,selected,True,True,True,0.0951923076923,0.0,0.0951923076923,0.0951923076923,0.0,0.0951923076923,False,0.0951923076923,True,True,0.0951923076923,0.01,"[-1.2600300909671933, 0.6428762191534042, 0.6545085912942886, -0.9760869371891022, 0.6826485908031463, -1.0804714155197144, -1.50531867146492, -1.5095311193168164]","[0.0025481064803898335, 0.43491068482398987, 0.3242790400981903, 0.5273979306221008, 0.29018861055374146, 0.5693981647491455, 0.06671696901321411, 0.0701536163687706]",0.7497782111167908,0.13220973312854767,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 1, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,100,1,1,use_nonadditive,use_nonadditive,block_heavy,wait_light,selected,False,False,True,0.0317307692308,0.0,0.0317307692308,0.0317307692308,0.0,0.0317307692308,False,0.0346153846154,True,True,0.0346153846154,0.01,"[-0.3406368042342365, 0.6190936660766602, 0.5798471486568451, 0.5072330015897751, 0.17307131081819535, 0.5934569621086121, 0.6014221614599228, 0.6014299845695495]","[0.004223710857331753, 0.4911835193634033, 0.4820947051048279, 0.4753064215183258, 0.16203592717647552, 0.49327123165130615, 0.49277690052986145, 0.49314868450164795]",0.6760059595108032,0.1465766727924347,"[""commit_heavy"", ""decay_090"", ""decay_095""]","[0, 0, 0, 0, 0, 0, 0, 1]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-16-16,100,1,2,use_nonadditive,defer_ltm,wait_light,additive_ltm,unsafe,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.118269230769,True,True,0.1,0.01,"[-0.2694175649713725, 0.6136546117067337, 0.6056116169691086, 0.5868328946828842, 0.4217562359571457, 0.6028358882665634, 0.6063499486446381, 0.6065596634149552]","[0.004403834696859121, 0.4799366891384125, 0.4704895317554474, 0.4673384726047516, 0.3895939290523529, 0.48409727215766907, 0.48277658224105835, 0.4831061065196991]",0.6433519721031189,0.1744338423013687,"[""commit_heavy"", ""decay_090"", ""decay_095""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-16-16,100,1,3,use_nonadditive,defer_ltm,decay_090,additive_ltm,unsafe,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0471153846154,True,True,0.0471153846154,0.01,"[-0.3121728951763362, 0.6175033771991729, 0.5994533872604371, 0.5703515499830246, 0.3723117554187775, 0.5582138854265213, 0.587995954155922, 0.5884110790491104]","[0.003850733395665884, 0.4797561764717102, 0.4756213426589966, 0.4648323357105255, 0.374630868434906, 0.4924120604991913, 0.48561951518058777, 0.48634180426597595]",0.647781252861023,0.18531081080436707,"[""commit_heavy"", ""block_heavy"", ""decay_090""]","[0, 1, 1, 1, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,200,1,0,use_nonadditive,defer_ltm,commit_heavy,additive_ltm,low_confidence,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,1.14440611138,True,True,0.1,0.01,"[-0.9593997702980414, 0.6298654508590699, 0.6185276198387146, -0.296298109292984, 0.6408579778671265, -1.021504623889923, -1.2052314945310354, -1.2114573191851377]","[0.002214838983491063, 0.45260870456695557, 0.39054906368255615, 0.5303900837898254, 0.3613271713256836, 0.5700162649154663, 0.040915947407484055, 0.04012322053313255]",0.7796518802642822,0.0913846418261528,"[""wait_light"", ""commit_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,200,1,1,use_nonadditive,defer_ltm,block_heavy,additive_ltm,unsafe,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.116806308526,True,True,0.1,0.01,"[-0.28751885883510114, 0.6152094167470932, 0.5908022183179855, 0.4672477340698242, 0.5106340157985687, 0.6043684899806976, 0.6069584184885025, 0.6068147826194763]","[0.00445842370390892, 0.49174049496650696, 0.4797803461551666, 0.4428098797798157, 0.48195964097976685, 0.491044819355011, 0.49271437525749207, 0.49302375316619873]",0.6921947002410889,0.134424090385437,"[""commit_heavy"", ""decay_095"", ""decay_090""]","[0, 1, 0, 0, 0, 1, 0, 1]"
