feature_name,forbidden,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_mix_flow_shield_beta_goal_progress_relief,False,False,False,False,False,False
feature_mix_flow_shield_beta_failed_rank_mean,False,False,False,False,False,False
feature_mix_flow_shield_beta_blocked_progress_relief,False,False,False,False,False,False
feature_mix_flow_shield_beta_wait_penalty,False,False,False,False,False,False
feature_mix_flow_shield_beta_region_prior,False,False,False,False,False,False
feature_mix_flow_shield_beta_margin_to_static,False,False,False,False,False,False
feature_mix_flow_shield_beta_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_max_flow_shield_goal_progress_relief,False,False,False,False,False,False
feature_mix_max_flow_shield_failed_rank_mean,False,False,False,False,False,False
feature_mix_max_flow_shield_blocked_progress_relief,False,False,False,False,False,False
feature_mix_max_flow_shield_wait_penalty,False,False,False,False,False,False
feature_mix_max_flow_shield_region_prior,False,False,False,False,False,False
feature_mix_max_flow_shield_margin_to_static,False,False,False,False,False,False
feature_mix_max_flow_shield_vertex_conflict_histogram,False,False,False,False,False,False
feature_mix_c_only_goal_progress_relief,False,False,False,False,False,False
feature_mix_c_only_failed_rank_mean,False,False,False,False,False,False
feature_mix_c_only_blocked_progress_relief,False,False,False,False,False,False
feature_mix_c_only_wait_penalty,False,False,False,False,False,False
feature_mix_c_only_region_prior,False,False,False,False,False,False
feature_mix_c_only_margin_to_static,False,False,False,False,False,False
feature_mix_c_only_vertex_conflict_histogram,False,False,False,False,False,False
