run_uid,method,size,seed,steps,context_presentations,fixed_validation_contexts,fixed_validation_manifest_sha256,initial_validation_loss,best_validation_loss,final_validation_loss,final_train_loss
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,64,563,150,9600,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03996777907013893,0.028385397046804428,0.028385397046804428,0.05916778743267059
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,64,564,150,9600,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.040501948446035385,0.028361642733216286,0.028361642733216286,0.05914361774921417
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,64,565,150,9600,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03910831734538078,0.028333760797977448,0.028333760797977448,0.05947267264127731
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,128,563,150,19200,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03996777907013893,0.027910133823752403,0.02791231870651245,0.059962429106235504
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,128,564,150,19200,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.040501948446035385,0.027901289984583855,0.027927573770284653,0.05985162407159805
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,128,565,150,19200,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03910831734538078,0.027820831164717674,0.027820831164717674,0.06006855517625809
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,256,563,150,38400,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03996777907013893,0.02779296226799488,0.02779296226799488,0.06290699541568756
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,256,564,150,38400,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.040501948446035385,0.02779860980808735,0.02779860980808735,0.06291227042675018
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,256,565,150,38400,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03910831734538078,0.027751468122005463,0.027751468122005463,0.06292068958282471
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,512,563,150,76800,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03996777907013893,0.02782842330634594,0.02782842330634594,0.06268395483493805
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,512,564,150,76800,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.040501948446035385,0.027876384556293488,0.027876384556293488,0.06263813376426697
phase5p5_repair5g563_scaling_20260620_052801_5561944cd4,scalar_context_set_mlp_control,512,565,150,76800,213,ab6ea31284197d361252d8419056ece31275ad0d85f7eeec9c9e4c024fdee37a,0.03910831734538078,0.02781786024570465,0.02781786024570465,0.06264214217662811
