policy_role,paired_against_role,direct_group_key,context_budget_iteration_key,context_key,map,map_family,agents,seed,budget_ms,iteration,selected_candidate,baseline_candidate,baseline_ratio,selected_ratio,corrected_delta_ratio_for_mean,quality_delta_ratio,success_regression,success_gain,both_fail,both_success,safe_high_margin_gain,safe_low_margin_gain,equal_vs_baseline,safe_worse,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,failure_source_class,selected_role_in_results,g541_policy_materialized,family_static_materialized
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,maze-32-32-4|50|936|500|final,maze-32-32-4|50|936|500,maze-32-32-4,maze,50,936,500,final,repair5g59_static_flow_shield,repair5g59_low_beta_high_cap,1.37231759657,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|932|500|final,random-32-32-20|100|932|500,random-32-32-20,random,100,932,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.23090745732,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|949|500|final,random-32-32-20|100|949|500,random-32-32-20,random,100,949,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.26982758621,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|957|500|final,random-32-32-20|100|957|500,random-32-32-20,random,100,957,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.2555410691,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|964|500|final,random-32-32-20|100|964|500,random-32-32-20,random,100,964,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.30083811204,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|975|500|final,random-32-32-20|100|975|500,random-32-32-20,random,100,975,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.28551660517,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|978|500|final,random-32-32-20|100|978|500,random-32-32-20,random,100,978,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.300456621,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|906|2000|final,warehouse-10-20-10-2-1|50|906|2000,warehouse-10-20-10-2-1,warehouse,50,906,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.08659286593,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|907|2000|final,warehouse-10-20-10-2-1|50|907|2000,warehouse-10-20-10-2-1,warehouse,50,907,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.0744651292,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|927|2000|final,warehouse-10-20-10-2-1|50|927|2000,warehouse-10-20-10-2-1,warehouse,50,927,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.06063694268,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|932|2000|final,warehouse-10-20-10-2-1|50|932|2000,warehouse-10-20-10-2-1,warehouse,50,932,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.09682365827,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False,static_flow-fallback-caused,static_flow_shield,True,True
