map,agents,seed,candidate_id,context_budget_from_method,short_budget_ms,budget_disagrees,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4,50,486,repair5g59_additive_fallback,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g59_static_flow_shield,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g59_high_beta_cap_safe,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c0p3_b1p57_f0p71_w1p08_dc0p92_df0p92_beta0p03_max0p44_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c0p74_b0p63_f0p89_w0p64_dc0p94_df0p93_beta0p05_max0p8_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c0p01_b1p17_f0p58_w0p25_dc0p99_df0p98_beta0p65_max0p38_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c0p11_b1p24_f0p8_w1p04_dc0p92_df0p9_beta0p17_max0p85_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c0p7_b1p21_f1p19_w1p53_dc0p99_df0p96_beta0p25_max0p41_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p21_b1p41_f0p9_w0p92_dc0p99_df0p96_beta0p38_max0p92_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p42_b2p12_f0p32_w0p87_dc0p97_df0p92_beta0p38_max1p49_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p21_b1p35_f0p55_w1p64_dc0p91_df0p92_beta0p15_max1p04_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p43_b1p11_f1p05_w0p83_dc0p96_df1p00_beta0p29_max0p71_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p27_b1p05_f0p96_w0p59_dc0p95_df0p99_beta0p44_max0p76_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p17_b1p15_f1p1_w0p62_dc0p96_df1p00_beta0p34_max0p84_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p23_b1p27_f1p07_w0p89_dc0p95_df0p99_beta0p38_max0p87_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p17_b1p1_f1p11_w0p85_dc0p94_df0p99_beta0p32_max0p62_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p24_b1p22_f1p03_w0p69_dc0p95_df1p00_beta0p36_max0p78_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p3_b1p27_f0p94_w0p95_dc0p95_df0p99_beta0p38_max0p94_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p24_b1p28_f0p76_w0p9_dc0p95_df0p99_beta0p35_max0p73_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c0p94_b1p49_f0p73_w0p93_dc0p94_df0p99_beta0p43_max0p85_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p03_b1p46_f1p03_w0p86_dc0p96_df1p00_beta0p48_max0p96_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p04_b1p3_f0p88_w0p59_dc0p94_df0p99_beta0p45_max0p69_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p13_b1p14_f0p86_w0p85_dc0p95_df0p98_beta0p34_max0p81_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p29_b1p24_f0p89_w0p91_dc0p96_df0p99_beta0p42_max0p77_c0,500,1,True,False,False,False,False,False
maze-32-32-4,50,486,repair5g518_grid_c1p5_b1p99_f0p37_w1p49_dc0p91_df1p00_beta0p01_max1p27_c0,500,1,True,False,False,False,False,False
