map_family,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,1792,0,0,288,1504,0.00232221025633,0,0.00232221025633,0.00232221025633,0.00194899789371,213,1012,279,213,52,False,False,False,False,False
random,1824,29,61,35,1699,-0.0010322260782,0,-0.0010322260782,-0.0010322260782,-0.00534745181298,198,1359,142,259,39,False,False,False,False,False
warehouse,1824,31,31,1505,257,0,0,0,0,0,0,257,0,31,0,False,False,False,False,False
