map,agents,method,runs,successes,success_rate,ratio_mean,ratio_median,ratio_std,runtime_ms_mean
random-32-32-20,100,lacam_star,1,1,1.0,1.26631158455,1.26631158455,0.0,31662.1933
random-32-32-20,100,lacam_star_ltm,1,1,1.0,1.20106524634,1.20106524634,0.0,30152.509
