agents,candidate_id,fraction,map,wins
50,repair5g59_block_heavy_flow_guard,0.2,maze-32-32-4,2
50,repair5g59_high_beta_cap_safe,0.2,maze-32-32-4,2
50,repair5g59_slow_decay_high_shield,0.4,maze-32-32-4,4
50,repair5g59_static_flow_shield,0.1,maze-32-32-4,1
50,repair5g59_wait_aggressive,0.1,maze-32-32-4,1
100,repair5g59_block_heavy_flow_guard,0.2,maze-32-32-4,2
100,repair5g59_commit_heavy_flow_guard,0.2,maze-32-32-4,2
100,repair5g59_low_beta_high_cap,0.1,maze-32-32-4,1
100,repair5g59_static_flow_shield,0.1,maze-32-32-4,1
100,repair5g59_wait_conservative,0.4,maze-32-32-4,4
50,repair5g59_commit_heavy_flow_guard,0.1,random-32-32-20,1
50,repair5g59_high_beta_cap_safe,0.2,random-32-32-20,2
50,repair5g59_slow_decay_high_shield,0.7,random-32-32-20,7
100,repair5g59_block_heavy_flow_guard,0.2,random-32-32-20,2
100,repair5g59_low_beta_high_cap,0.2,random-32-32-20,2
100,repair5g59_slow_decay_high_shield,0.3,random-32-32-20,3
100,repair5g59_static_flow_shield,0.2,random-32-32-20,2
100,repair5g59_wait_conservative,0.1,random-32-32-20,1
50,repair5g59_commit_heavy_flow_guard,0.1,warehouse-10-20-10-2-1,1
50,repair5g59_low_beta_high_cap,0.3,warehouse-10-20-10-2-1,3
50,repair5g59_slow_decay_high_shield,0.4,warehouse-10-20-10-2-1,4
50,repair5g59_wait_conservative,0.2,warehouse-10-20-10-2-1,2
100,repair5g59_high_beta_cap_safe,0.1,warehouse-10-20-10-2-1,1
100,repair5g59_light_cong_light_flow,0.1,warehouse-10-20-10-2-1,1
100,repair5g59_low_beta_high_cap,0.2,warehouse-10-20-10-2-1,2
100,repair5g59_slow_decay_high_shield,0.5,warehouse-10-20-10-2-1,5
100,repair5g59_static_flow_shield,0.1,warehouse-10-20-10-2-1,1
