context_key,map_family,agents,seed,nominal_budget_ms,horizon_id,candidate_theta_rows,best_delta_vs_static_flow,mean_delta_vs_static_flow,has_safe_useful_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|100|2209|2000|0|14650fb0739d0383,maze,100,2209,2000,iter_cf_short2000_t050_i2,16,0.02641856191,0.372688375836,False,False,False,False,False,False
maze-32-32-4|100|2215|2000|0|14650fb0739d0383,maze,100,2215,2000,iter_cf_short2000_t050_i2,16,-0.01478494624,0.0982825567473,True,False,False,False,False,False
maze-32-32-4|50|2020|2000|0|14650fb0739d0383,maze,50,2020,2000,iter_cf_short2000_t050_i2,16,0.00595829196,0.0255710029781,False,False,False,False,False,False
maze-32-32-4|50|2026|2000|0|14650fb0739d0383,maze,50,2026,2000,iter_cf_short2000_t050_i2,16,-0.0728962818,0.0206702544081,True,False,False,False,False,False
maze-32-32-4|50|2032|2000|0|14650fb0739d0383,maze,50,2032,2000,iter_cf_short2000_t050_i2,16,-0.0375,-0.01671875,True,False,False,False,False,False
maze-32-32-4|50|2038|2000|0|14650fb0739d0383,maze,50,2038,2000,iter_cf_short2000_t050_i2,16,-0.02040816326,0.00628422100813,True,False,False,False,False,False
maze-32-32-4|50|2044|2000|0|14650fb0739d0383,maze,50,2044,2000,iter_cf_short2000_t050_i2,16,-0.06338652482,0.0698415336919,True,False,False,False,False,False
maze-32-32-4|50|2050|2000|0|14650fb0739d0383,maze,50,2050,2000,iter_cf_short2000_t050_i2,16,-0.015681983953,0.0553656090443,True,False,False,False,False,False
maze-32-32-4|50|2056|2000|0|14650fb0739d0383,maze,50,2056,2000,iter_cf_short2000_t050_i2,16,-0.015728476821,0.12236134106,True,False,False,False,False,False
maze-32-32-4|50|2062|2000|0|14650fb0739d0383,maze,50,2062,2000,iter_cf_short2000_t050_i2,16,-0.02131691142,0.0923436759794,True,False,False,False,False,False
maze-32-32-4|50|2068|2000|0|14650fb0739d0383,maze,50,2068,2000,iter_cf_short2000_t050_i2,16,-0.01163918525,0.158492967997,True,False,False,False,False,False
maze-32-32-4|50|2074|2000|0|14650fb0739d0383,maze,50,2074,2000,iter_cf_short2000_t050_i2,16,-0.02236135957,0.0841625670881,True,False,False,False,False,False
maze-32-32-4|50|2080|2000|0|14650fb0739d0383,maze,50,2080,2000,iter_cf_short2000_t050_i2,16,-0.00237868696,0.143450681894,True,False,False,False,False,False
maze-32-32-4|50|2086|2000|0|14650fb0739d0383,maze,50,2086,2000,iter_cf_short2000_t050_i2,16,-0.0715823466,0.166408772878,True,False,False,False,False,False
maze-32-32-4|50|2092|2000|0|14650fb0739d0383,maze,50,2092,2000,iter_cf_short2000_t050_i2,16,-0.07049036778,0.0868815674231,True,False,False,False,False,False
maze-32-32-4|50|2098|2000|0|14650fb0739d0383,maze,50,2098,2000,iter_cf_short2000_t050_i2,16,-0.00363070539,0.130057053943,True,False,False,False,False,False
maze-32-32-4|50|2104|2000|0|14650fb0739d0383,maze,50,2104,2000,iter_cf_short2000_t050_i2,16,-0.02194357367,0.109242051048,True,False,False,False,False,False
maze-32-32-4|50|2110|2000|0|14650fb0739d0383,maze,50,2110,2000,iter_cf_short2000_t050_i2,16,-0.13608130999,-0.0699463579856,True,False,False,False,False,False
maze-32-32-4|50|2116|2000|0|14650fb0739d0383,maze,50,2116,2000,iter_cf_short2000_t050_i2,16,-0.04052165813,0.104215183974,True,False,False,False,False,False
maze-32-32-4|50|2122|2000|0|14650fb0739d0383,maze,50,2122,2000,iter_cf_short2000_t050_i2,16,-0.01730876605,0.0907663316575,True,False,False,False,False,False
maze-32-32-4|50|2128|2000|0|14650fb0739d0383,maze,50,2128,2000,iter_cf_short2000_t050_i2,16,-0.02683037745,0.127700090949,True,False,False,False,False,False
maze-32-32-4|50|2134|2000|0|14650fb0739d0383,maze,50,2134,2000,iter_cf_short2000_t050_i2,16,-0.04298874104,0.112973387925,True,False,False,False,False,False
maze-32-32-4|50|2140|2000|0|14650fb0739d0383,maze,50,2140,2000,iter_cf_short2000_t050_i2,16,-0.03916827853,0.0575435203047,True,False,False,False,False,False
maze-32-32-4|50|2146|2000|0|14650fb0739d0383,maze,50,2146,2000,iter_cf_short2000_t050_i2,16,-0.03001876173,0.0860694183825,True,False,False,False,False,False
maze-32-32-4|50|2152|2000|0|14650fb0739d0383,maze,50,2152,2000,iter_cf_short2000_t050_i2,16,-0.04140885293,0.0414980961431,True,False,False,False,False,False
maze-32-32-4|50|2158|2000|0|14650fb0739d0383,maze,50,2158,2000,iter_cf_short2000_t050_i2,16,-0.06912028726,0.0493996858112,True,False,False,False,False,False
maze-32-32-4|50|2164|2000|0|14650fb0739d0383,maze,50,2164,2000,iter_cf_short2000_t050_i2,16,-0.02144899905,0.152253847197,True,False,False,False,False,False
maze-32-32-4|50|2170|2000|0|14650fb0739d0383,maze,50,2170,2000,iter_cf_short2000_t050_i2,16,-0.05506141465,0.0197744599788,True,False,False,False,False,False
maze-32-32-4|50|2176|2000|0|14650fb0739d0383,maze,50,2176,2000,iter_cf_short2000_t050_i2,16,-0.04448246364,0.0628742515013,True,False,False,False,False,False
maze-32-32-4|50|2182|2000|0|14650fb0739d0383,maze,50,2182,2000,iter_cf_short2000_t050_i2,16,-0.01868487244,0.0378638160262,True,False,False,False,False,False
maze-32-32-4|50|2188|2000|0|14650fb0739d0383,maze,50,2188,2000,iter_cf_short2000_t050_i2,16,-0.05953933073,0.0832790091256,True,False,False,False,False,False
maze-32-32-4|50|2194|2000|0|14650fb0739d0383,maze,50,2194,2000,iter_cf_short2000_t050_i2,16,-0.04092852779,0.0331780696425,True,False,False,False,False,False
maze-32-32-4|50|2200|2000|0|14650fb0739d0383,maze,50,2200,2000,iter_cf_short2000_t050_i2,16,-0.02109911678,0.0232151619238,True,False,False,False,False,False
maze-32-32-4|50|2206|2000|0|14650fb0739d0383,maze,50,2206,2000,iter_cf_short2000_t050_i2,16,-0.02617547261,0.0361730489619,True,False,False,False,False,False
maze-32-32-4|50|2212|2000|0|14650fb0739d0383,maze,50,2212,2000,iter_cf_short2000_t050_i2,16,-0.0358974359,0.242083333332,True,False,False,False,False,False
maze-32-32-4|50|2218|2000|0|14650fb0739d0383,maze,50,2218,2000,iter_cf_short2000_t050_i2,16,-0.0291005291,0.127617945322,True,False,False,False,False,False
random-32-32-20|100|2021|2000|0|14650fb0739d0383,random,100,2021,2000,iter_cf_short2000_t050_i2,16,-0.04887892377,-0.01286434978,True,False,False,False,False,False
random-32-32-20|100|2025|2000|0|14650fb0739d0383,random,100,2025,2000,iter_cf_short2000_t050_i2,16,-0.033757961783,-0.00254777070019,True,False,False,False,False,False
random-32-32-20|100|2027|2000|0|14650fb0739d0383,random,100,2027,2000,iter_cf_short2000_t050_i2,16,-0.07983387171,-0.0194393170288,True,False,False,False,False,False
random-32-32-20|100|2031|2000|0|14650fb0739d0383,random,100,2031,2000,iter_cf_short2000_t050_i2,16,-0.08288043479,-0.0165024909463,True,False,False,False,False,False
random-32-32-20|100|2033|2000|0|14650fb0739d0383,random,100,2033,2000,iter_cf_short2000_t050_i2,16,-0.06006419073,0.0100871160075,True,False,False,False,False,False
random-32-32-20|100|2037|2000|0|14650fb0739d0383,random,100,2037,2000,iter_cf_short2000_t050_i2,16,-0.05137135394,0.0008707009175,True,False,False,False,False,False
random-32-32-20|100|2039|2000|0|14650fb0739d0383,random,100,2039,2000,iter_cf_short2000_t050_i2,16,-0.02855826808,0.00909719023312,True,False,False,False,False,False
random-32-32-20|100|2043|2000|0|14650fb0739d0383,random,100,2043,2000,iter_cf_short2000_t050_i2,16,-0.01557338367,0.0811113732881,True,False,False,False,False,False
random-32-32-20|100|2045|2000|0|14650fb0739d0383,random,100,2045,2000,iter_cf_short2000_t050_i2,16,-0.03081105574,0.135357196795,True,False,False,False,False,False
random-32-32-20|100|2049|2000|0|14650fb0739d0383,random,100,2049,2000,iter_cf_short2000_t050_i2,16,0.00185356812,0.406271238805,False,False,False,False,False,False
random-32-32-20|100|2051|2000|0|14650fb0739d0383,random,100,2051,2000,iter_cf_short2000_t050_i2,16,0.00189304306,0.143902823786,False,False,False,False,False,False
random-32-32-20|100|2055|2000|0|14650fb0739d0383,random,100,2055,2000,iter_cf_short2000_t050_i2,16,-0.02379883251,0.311218380483,True,False,False,False,False,False
random-32-32-20|100|2057|2000|0|14650fb0739d0383,random,100,2057,2000,iter_cf_short2000_t050_i2,16,-0.06197802198,0.308630036628,True,False,False,False,False,False
random-32-32-20|100|2061|2000|0|14650fb0739d0383,random,100,2061,2000,iter_cf_short2000_t050_i2,16,-0.00958313368,0.105638076987,True,False,False,False,False,False
random-32-32-20|100|2063|2000|0|14650fb0739d0383,random,100,2063,2000,iter_cf_short2000_t050_i2,16,-0.01607142857,0.257812500003,True,False,False,False,False,False
random-32-32-20|100|2067|2000|0|14650fb0739d0383,random,100,2067,2000,iter_cf_short2000_t050_i2,16,-0.01580521145,0.224983981201,True,False,False,False,False,False
random-32-32-20|100|2069|2000|0|14650fb0739d0383,random,100,2069,2000,iter_cf_short2000_t050_i2,16,-0.05568233683,0.119323368327,True,False,False,False,False,False
random-32-32-20|100|2073|2000|0|14650fb0739d0383,random,100,2073,2000,iter_cf_short2000_t050_i2,16,-0.03087885986,0.282989219805,True,False,False,False,False,False
random-32-32-20|100|2075|2000|0|14650fb0739d0383,random,100,2075,2000,iter_cf_short2000_t050_i2,16,0.01291666667,0.13166666667,False,False,False,False,False,False
random-32-32-20|100|2079|2000|0|14650fb0739d0383,random,100,2079,2000,iter_cf_short2000_t050_i2,16,-0.04452359751,0.104980282406,True,False,False,False,False,False
random-32-32-20|100|2081|2000|0|14650fb0739d0383,random,100,2081,2000,iter_cf_short2000_t050_i2,16,-0.04152097902,0.0365093240087,True,False,False,False,False,False
random-32-32-20|100|2085|2000|0|14650fb0739d0383,random,100,2085,2000,iter_cf_short2000_t050_i2,16,-0.05893358278,0.0499220455287,True,False,False,False,False,False
random-32-32-20|100|2087|2000|0|14650fb0739d0383,random,100,2087,2000,iter_cf_short2000_t050_i2,16,-0.02656894182,0.126614750349,True,False,False,False,False,False
random-32-32-20|100|2091|2000|0|14650fb0739d0383,random,100,2091,2000,iter_cf_short2000_t050_i2,16,-0.00832562442,0.191662812213,True,False,False,False,False,False
random-32-32-20|100|2093|2000|0|14650fb0739d0383,random,100,2093,2000,iter_cf_short2000_t050_i2,16,0.00101488498,0.0665140002079,False,False,False,False,False,False
random-32-32-20|100|2097|2000|0|14650fb0739d0383,random,100,2097,2000,iter_cf_short2000_t050_i2,16,0.03321829163,0.193356341671,False,False,False,False,False,False
random-32-32-20|100|2099|2000|0|14650fb0739d0383,random,100,2099,2000,iter_cf_short2000_t050_i2,16,-0.00046598322,0.121310966141,True,False,False,False,False,False
random-32-32-20|100|2103|2000|0|14650fb0739d0383,random,100,2103,2000,iter_cf_short2000_t050_i2,16,-0.04937202252,0.04711996535,True,False,False,False,False,False
random-32-32-20|100|2105|2000|0|14650fb0739d0383,random,100,2105,2000,iter_cf_short2000_t050_i2,16,0.00651607298,0.151669355836,False,False,False,False,False,False
