agents,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
100,2720,29,61,1219,1411,0.00245187761072,0,0.00245187761072,0.00245187761072,-0.00166926496003,184,984,243,245,36,False,False,False,False,False
50,2720,31,31,609,2049,-0.000839798531025,0,-0.000839798531025,-0.000839798531025,-0.000632627643408,227,1644,178,258,55,False,False,False,False,False
