case_group,g567_evaluation_uid,map,map_family,agents,density,start_goal_regime,map_source_type,official_scenario,actor_ratio,static_flow_ratio,g556_ratio,additive_ratio,delta_vs_static_flow,relative_improvement_vs_static_flow,theta_L1_to_static_flow,theta_L1_to_g556,path_found_rate,bottleneck_metrics_note,od_overlap_metrics_note,c0_f0_summary_note
A5_clearly_beats_static_flow,4ac5fd8b3b754ad9861cdaefafe997d9c83d654869df830c8d5e6086a6044579,maze_128_128_10,maze,2500,0.168713726548792,many_to_many_bottleneck_flow,canonical_public_benchmark_map,False,3.38334479269,4.89359635085,4.89359635085,4.89359635085,-1.5102515581600002,0.3086179263432046,0.08945189459929394,0.0019433816652449352,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,7bae3b94120eecd1300ed8ce139bc197616269a6049b59ddeb42563e10c9ca1c,g567-tunnel-24x24-a-v3,tunnel,64,0.2549800796812749,warehouse_aisle_to_aisle,synthetic_stress_map,False,1.91849255039,2.57581069238,2.04294478528,2.57581069238,-0.65731814199,0.2551888397445274,0.08942972745214192,0.002001396673066276,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,96c092b80bdbef81e3ff39290bbc9228ec331311eb12a955db927f2c1aa46ffd,g567-connector-24x24-a-v3,connector,64,0.2549800796812749,warehouse_aisle_to_aisle,synthetic_stress_map,False,1.69064124783,2.16897746967,2.20883882149,4.34922010399,-0.47833622184000024,0.22053535757232964,0.08945557801023368,0.0019906362701975814,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,ef813af26197f817833dd438e9c95569b32928550100c8b7aaf6bbb39f4f3587,g567-tunnel-24x24-a-v0,tunnel,64,0.2549800796812749,opposite_side_cross_flow,synthetic_stress_map,False,1.9298245614,2.2798245614,2.11403508772,2.95701754386,-0.34999999999999987,0.15352058484055942,0.08944764802380217,0.0019428628966921852,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,1b006bfe45f4020349cf12ce8f03de2373566d5987e0dfd810c7d1be37c975c4,g567-tunnel-24x24-a-v0,tunnel,48,0.1912350597609561,opposite_side_cross_flow,synthetic_stress_map,False,1.52696629213,1.74157303371,1.56741573034,1.80898876404,-0.21460674157999993,0.12322580645546181,0.08943686372703981,0.001976355844073814,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,c96889bfde90d596821f2263cf0bcd8c0b1c72372f1fe3d9b950f57a9346e524,g567-tunnel-24x24-a-v1,tunnel,48,0.1912350597609561,warehouse_aisle_to_aisle,synthetic_stress_map,False,1.46002190581,1.60460021906,1.39539978094,1.6582694414,-0.14457831325000003,0.0901023890765117,0.08947548709218464,0.0020357810977905586,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,cca69c116d527431527207b20043f4c0618358e4f523eb8223cdf042ffb0fa95,maze_128_128_10,maze,2500,0.168713726548792,many_to_many_bottleneck_flow,canonical_public_benchmark_map,False,3.59791948897,3.93372425318,3.89197164018,6.55772725924,-0.3358047642099997,0.08536560841511377,0.08941569840624224,0.0020376177203087252,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,c3e9e2c0812251349d4ec9b128f7ee369aa6b82a442b23c01110648ca0d2f16e,g567-tunnel-24x24-a-v3,tunnel,48,0.1912350597609561,adversarial_opposing_flow,synthetic_stress_map,False,1.48847420417,1.62568605928,1.51481888035,1.90998902305,-0.1372118551099999,0.08440243079329206,0.08942743484936068,0.002004364113959011,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,5ca14a76e4781dc60b898765bd8f7f27f18c96ffab4f57874f86e70ea37b1d15,sortation_medium,public_other,2500,0.1140510948905109,many_to_many_bottleneck_flow,canonical_public_benchmark_map,False,2.07375669246,2.24687808722,2.04989140369,2.91483976956,-0.17312139475999988,0.07704974993734448,0.08958087138713357,0.0021833075985075935,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
A5_clearly_beats_static_flow,2fae11a884bb72baf4d8e75d00c0483116e98126aac8fcbeefc45974b89daad3,sortation_medium,public_other,2500,0.1140510948905109,many_to_many_bottleneck_flow,canonical_public_benchmark_map,False,2.06812330284,2.23216157844,2.05643168591,2.88561775525,-0.16403827559999984,0.07348853111011881,0.08957703584243384,0.0021730411762282916,1.0,agent_density/free_cells/path_found_rate available; explicit bottleneck metric not materialized in Gate-3B pair table,not materialized in Gate-3B pair table,not materialized in Gate-3B pair table
