candidate_id,planned,observed,pair_support_vs_static_flow,seed_block_support,stratum_support,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g539_s2_100,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_101,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_102,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_103,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_104,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_105,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_106,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_107,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_108,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_109,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_110,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_111,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_112,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_113,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_114,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_115,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_116,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_117,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_118,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_119,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_120,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_121,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_122,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_123,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_124,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_125,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_126,True,True,24,1,8,False,False,False,False,False
repair5g539_s3_127,True,True,24,1,8,False,False,False,False,False
