context_id,map,split,map_family,topology_id,start_goal_regime,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,model_version,input_mode,predicted_theta_id,theta_hash,fallback_to_g556,materialization_precheck,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_ctx_00000000,empty-32-32,heldout_topology,empty,g557_topology_000_empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000001,empty-48-48,heldout_topology,empty,g557_topology_001_empty,uniform_random,25,25,100001,500,500,250,0.5,2,b500_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000002,empty-16-16,heldout_topology,empty,g557_topology_002_empty,uniform_random,25,25,100002,500,500,250,0.5,2,b500_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000003,random-32-32-20,heldout_topology,random,g557_topology_003_random,opposite_side_cross_flow,25,25,100003,500,500,250,0.5,2,b500_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000004,random-64-64-20,heldout_topology,random,g557_topology_004_random,opposite_side_cross_flow,25,25,100004,500,500,250,0.5,2,b500_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000005,random-32-32-10,heldout_topology,random,g557_topology_005_random,opposite_side_cross_flow,25,25,100005,1000,1000,250,0.5,2,b1000_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000006,random-64-64-10,heldout_topology,random,g557_topology_006_random,same_room_local_flow,25,25,100006,1000,1000,250,0.5,2,b1000_short250_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000007,maze-32-32-4,heldout_topology,maze,g557_topology_007_maze,same_room_local_flow,25,25,100007,1000,1000,500,0.5,2,b1000_short500_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000008,maze-32-32-2,heldout_topology,maze,g557_topology_008_maze,same_room_local_flow,25,25,100008,1000,1000,500,0.5,2,b1000_short500_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_ctx_00000009,maze-128-128-2,heldout_topology,maze,g557_topology_009_maze,room_to_room_door_bottleneck,25,25,100009,1000,1000,500,0.5,2,b1000_short500_t050_i2,g557_gcst_generator_offline_failed_fallback,P,g556_c063174,theta_83695334029245,True,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
