artifact,path,exists,row_count,materialization_status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g538_decision_summary.json,True,1,present,False,False,False,False,False
direct_static_relative_labels_summary,outputs/reports/phase5p5_repair5g538_direct_static_relative_labels_summary.json,True,1,present,False,False,False,False,False
static_flow_residual_candidate_family_summary,outputs/reports/phase5p5_repair5g538_static_flow_residual_candidate_family_summary.json,True,1,present,False,False,False,False,False
static_flow_residual_candidate_probe_summary,outputs/reports/phase5p5_repair5g538_static_flow_residual_candidate_probe_summary.json,True,1,present,False,False,False,False,False
residual_candidate_evidence_summary,outputs/reports/phase5p5_repair5g538_residual_candidate_evidence_summary.json,True,1,present,False,False,False,False,False
residual_selector_summary,outputs/reports/phase5p5_repair5g538_residual_selector_summary.json,True,1,present,False,False,False,False,False
residual_blind_replay_summary,outputs/reports/phase5p5_repair5g538_residual_blind_replay_summary.json,True,1,present,False,False,False,False,False
residual_blind_evidence_summary,outputs/reports/phase5p5_repair5g538_residual_blind_evidence_summary.json,True,1,present,False,False,False,False,False
static_flow_residual_candidate_family,outputs/tables/phase5p5_repair5g538_static_flow_residual_candidate_family.csv,True,24,present,False,False,False,False,False
residual_blind_failure_cases,outputs/tables/phase5p5_repair5g538_residual_blind_failure_cases.csv,True,49,present,False,False,False,False,False
residual_blind_selected_vs_static_flow,outputs/tables/phase5p5_repair5g538_residual_blind_selected_vs_static_flow.csv,True,1037,present,False,False,False,False,False
residual_selector_manifest,artifacts/models/laur_ltm/repair5g538_residual_selector_manifest.json,True,1,present,False,False,False,False,False
repair5g538_common,scripts/repair5g538_common.py,True,1,present,False,False,False,False,False
