direct_group_key,context_budget_iteration_key,source_round,candidate_count,positive_target_candidates,positive_target_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|147|2000|0,maze-32-32-4|100|147|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|147|2000|1,maze-32-32-4|100|147|2000|1,G5.34_broad_probe,2,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|148|1000|0,maze-32-32-4|100|148|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|148|2000|0,maze-32-32-4|100|148|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|149|1000|0,maze-32-32-4|100|149|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|149|2000|0,maze-32-32-4|100|149|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|150|1000|0,maze-32-32-4|100|150|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|150|2000|0,maze-32-32-4|100|150|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|150|2000|1,maze-32-32-4|100|150|2000|1,G5.34_broad_probe,1,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|151|1000|0,maze-32-32-4|100|151|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|151|2000|0,maze-32-32-4|100|151|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|151|2000|1,maze-32-32-4|100|151|2000|1,G5.34_broad_probe,1,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|151|500|0,maze-32-32-4|100|151|500|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|152|1000|0,maze-32-32-4|100|152|1000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|152|2000|0,maze-32-32-4|100|152|2000|0,G5.34_broad_probe,11,,0,False,False,False,False,False
G5.34_broad_probe|maze-32-32-4|100|152|2000|1,maze-32-32-4|100|152|2000|1,G5.34_broad_probe,2,,0,False,False,False,False,False
