split,map_name,agents,sample_count,use_nonadditive_target_count,top1,top3,decision_accuracy,high_margin_opportunity_count,high_margin_capture_rate,global_additive_or_defer_rate
validation,empty-48-48,50,60,27,0.4444444444444444,0.9629629629629629,0.5666666666666667,12,0.6666666666666666,0.35
validation,empty-48-48,100,60,35,0.42857142857142855,0.8857142857142857,0.5833333333333334,18,0.8333333333333334,0.26666666666666666
validation,empty-48-48,200,60,29,0.3103448275862069,0.7241379310344828,0.6666666666666666,8,0.625,0.65
validation,empty-48-48,400,60,39,0.358974358974359,0.7692307692307693,0.6166666666666667,10,1.0,0.4666666666666667
validation,maze-32-32-4,50,60,46,0.043478260869565216,0.45652173913043476,0.5833333333333334,31,0.1935483870967742,0.2833333333333333
validation,maze-32-32-4,100,60,43,0.023255813953488372,0.5581395348837209,0.6166666666666667,34,0.20588235294117646,0.43333333333333335
validation,maze-32-32-4,200,60,48,0.0,0.5625,0.38333333333333336,46,0.0,0.75
validation,maze-32-32-4,400,39,26,0.0,0.5384615384615384,0.3076923076923077,26,0.0,0.6153846153846154
