agents,better,bootstrap,equal,map,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,always_additive_defer,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,laur_disable,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,laur_force_additive_direct,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5f_candidate_additive_ltm,0,10,0,0
50,9,"{'mean': -0.02965616829780001, 'ci_low': -0.040986123672599996, 'ci_high': -0.016963118228000007, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,maze-32-32-4,-0.02965616829780001,-0.03303006148399995,repair5g2_best_frozen_static_candidate,0,10,0,1
50,9,"{'mean': -0.02965616829780001, 'ci_low': -0.040986123672599996, 'ci_high': -0.016963118228000007, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,maze-32-32-4,-0.02965616829780001,-0.03303006148399995,repair5g2_frozen_static_or_selector,0,10,0,1
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g5_contextual_flow_shield_selector_disable,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g5_contextual_flow_shield_selector_force_additive_parity,0,10,0,0
50,9,"{'mean': -0.02965616829780001, 'ci_low': -0.040986123672599996, 'ci_high': -0.016963118228000007, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,maze-32-32-4,-0.02965616829780001,-0.03303006148399995,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,0,10,0,1
50,2,"{'mean': 0.00031783859760002863, 'ci_low': -0.006268906359799953, 'ci_high': 0.005461943537600022, 'prob_mean_lt_0': 0.4395, 'samples': 2000}",1,maze-32-32-4,0.00031783859760002863,0.002520153935000047,repair5g5_contextual_flow_shield_selector_runtime,1,10,0,7
50,9,"{'mean': -0.02965616829780001, 'ci_low': -0.040986123672599996, 'ci_high': -0.016963118228000007, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,maze-32-32-4,-0.02965616829780001,-0.03303006148399995,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,0,10,0,1
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g_dual_additive_parity,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g_dual_c_equiv_additive,0,10,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,always_additive_defer,0,10,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,laur_disable,0,10,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,laur_force_additive_direct,0,10,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5f_candidate_additive_ltm,0,10,0,0
100,9,"{'mean': -0.011808910787000016, 'ci_low': -0.022519807094999945, 'ci_high': 0.0010718362499999357, 'prob_mean_lt_0': 0.964, 'samples': 2000}",0,maze-32-32-4,-0.011808910787000016,-0.016825468889999917,repair5g2_best_frozen_static_candidate,0,10,0,1
100,8,"{'mean': -0.027641865356999994, 'ci_low': -0.04393206991799994, 'ci_high': -0.011513625214000057, 'prob_mean_lt_0': 0.9995, 'samples': 2000}",0,maze-32-32-4,-0.027641865356999994,-0.029612456489999994,repair5g2_frozen_static_or_selector,0,10,0,2
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g5_contextual_flow_shield_selector_disable,0,10,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g5_contextual_flow_shield_selector_force_additive_parity,0,10,0,0
100,7,"{'mean': -0.0038041468579999905, 'ci_low': -0.01682941997599998, 'ci_high': 0.009938586097999979, 'prob_mean_lt_0': 0.7255, 'samples': 2000}",0,maze-32-32-4,-0.0038041468579999905,-0.008010121690000038,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,0,10,0,3
100,3,"{'mean': 0.008520745589000001, 'ci_low': -0.0014998096349999822, 'ci_high': 0.018595623275000018, 'prob_mean_lt_0': 0.054, 'samples': 2000}",0,maze-32-32-4,0.008520745589000001,0.007214899539999875,repair5g5_contextual_flow_shield_selector_runtime,1,10,0,7
100,7,"{'mean': -0.0038041468579999905, 'ci_low': -0.01682941997599998, 'ci_high': 0.009938586097999979, 'prob_mean_lt_0': 0.7255, 'samples': 2000}",0,maze-32-32-4,-0.0038041468579999905,-0.008010121690000038,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,0,10,0,3
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g_dual_additive_parity,0,10,0,0
100,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g_dual_c_equiv_additive,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,random-32-32-20,0.0,0.0,always_additive_defer,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,random-32-32-20,0.0,0.0,laur_disable,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,random-32-32-20,0.0,0.0,laur_force_additive_direct,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,random-32-32-20,0.0,0.0,repair5f_candidate_additive_ltm,0,10,0,0
50,7,"{'mean': -0.029308845260000015, 'ci_low': -0.04330203815600002, 'ci_high': -0.013895810256000018, 'prob_mean_lt_0': 1.0, 'samples': 2000}",3,random-32-32-20,-0.029308845260000015,-0.03377226221999996,repair5g2_best_frozen_static_candidate,0,10,0,0
50,7,"{'mean': -0.029308845260000015, 'ci_low': -0.04330203815600002, 'ci_high': -0.013895810256000018, 'prob_mean_lt_0': 1.0, 'samples': 2000}",3,random-32-32-20,-0.029308845260000015,-0.03377226221999996,repair5g2_frozen_static_or_selector,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,random-32-32-20,0.0,0.0,repair5g5_contextual_flow_shield_selector_disable,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,random-32-32-20,0.0,0.0,repair5g5_contextual_flow_shield_selector_force_additive_parity,0,10,0,0
50,7,"{'mean': -0.029308845260000015, 'ci_low': -0.04330203815600002, 'ci_high': -0.013895810256000018, 'prob_mean_lt_0': 1.0, 'samples': 2000}",3,random-32-32-20,-0.029308845260000015,-0.03377226221999996,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,0,10,0,0
