ltm_target_map,map,contexts,complete_triples,ltm_30s_success_rate,ltm_30s_median_ratio,static_flow_30s_success_rate,static_flow_30s_median_ratio,gate3b_actor_30s_success_rate,gate3b_actor_30s_median_ratio,actor_vs_ltm_median_relative_quality_improvement,actor_vs_ltm_success_gain_count,actor_vs_ltm_success_regression_count,actor_vs_static_flow_median_relative_quality_improvement,actor_vs_static_flow_success_gain_count,actor_vs_static_flow_success_regression_count,static_flow_vs_ltm_median_relative_quality_improvement,static_flow_vs_ltm_success_gain_count,static_flow_vs_ltm_success_regression_count
empty-32-32,empty_32_32,75,75,1.0,1.06377325066,1.0,1.04459064327,1.0,1.03659447349,0.012700534756225474,0,0,0.001396648048323349,0,0,0.007692307695330919,0,0
empty-48-48,empty_48_48,73,73,1.0,1.07779792319,1.0,1.05861949358,1.0,1.06225186597,0.007483629562921262,0,0,-0.0019490839293781971,0,0,0.0085106382938501,0,0
family_backfill:empty,empty_16_16,75,75,1.0,1.14312617702,1.0,1.11615245009,1.0,1.12096774194,0.015873015877655324,0,0,0.0,0,0,0.01654411764731022,0,0
family_backfill:maze,g567-maze-48x32-a-v0,3,3,1.0,1.03112840467,1.0,1.03112840467,1.0,1.0233463035,0.017301038069128274,0,0,0.017301038069128274,0,0,0.0,0,0
family_backfill:maze,g567-maze-48x32-a-v1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0
family_backfill:maze,g567-maze-48x32-a-v2,3,3,1.0,1.01675977654,1.0,1.01675977654,1.0,1.00483091787,0.016483516487083127,0,0,0.010989010992398804,0,0,0.0,0,0
family_backfill:maze,g567-maze-48x32-a-v3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0
family_backfill:maze,maze_128_128_1,66,66,0.8939393939393939,1.17746435214,0.8939393939393939,1.221584166,0.8939393939393939,1.27319015352,-0.0622890261739039,0,0,-0.03778046345352031,0,0,-0.020438094342404886,0,0
family_backfill:maze,maze_128_128_10,62,62,1.0,1.13443362272,1.0,1.08874412285,1.0,1.09408988158,0.0,0,0,-0.00783243085026368,0,0,0.017786402790716367,0,0
family_backfill:random,g567-random-16x16-a-v3,1,1,1.0,1.1546961326,1.0,1.07182320442,1.0,1.09944751381,0.047846889956752674,0,0,-0.02577319587417254,0,0,0.07177033493079876,0,0
family_backfill:random,g567-random-24x24-a-v0,5,5,1.0,1.39391979301,1.0,1.40649762282,1.0,1.44664842681,-0.007065217395623059,0,0,-0.017316017316352107,0,0,0.020881670527933487,0,0
family_backfill:random,g567-random-24x24-a-v2,7,7,1.0,1.03557312253,1.0,1.01581027668,1.0,1.0101010101,0.026717557252166443,0,0,0.007782101167391737,0,0,0.013274336279767615,0,0
family_backfill:random,g567-random-32x32-a-v0,12,12,0.8333333333333334,1.1025900445199999,0.8333333333333334,1.055590669575,0.8333333333333334,1.0506573344699999,0.003634060556042054,0,0,0.003641286874380453,0,0,0.0,0,0
family_backfill:random,g567-random-40x40-b-v0,7,7,1.0,1.04377104377,1.0,1.04187817259,1.0,1.03045685279,0.019354838707761453,0,0,0.017467248901635504,0,0,0.0013679890622795728,0,0
family_backfill:random,g567-random-40x40-b-v2,10,10,1.0,1.08399733747,1.0,1.065566435195,0.9,1.05440229062,0.019788918203877945,0,1,0.0006784260577588711,0,1,0.003181892510946476,0,0
family_backfill:random,g567-random-40x40-b-v3,1,1,1.0,3.34793659596,1.0,3.53805628726,1.0,3.64286704561,-0.08809320045245086,0,0,-0.029623824450562792,0,0,-0.05678712420343326,0,0
family_backfill:random,random_32_32_10,27,27,1.0,1.03401360544,1.0,1.02068965517,1.0,1.01045296167,0.01577287066142531,0,0,0.0077519379845723095,0,0,0.006346328195812505,0,0
family_backfill:random,random_64_64_10,33,33,1.0,1.24130462079,1.0,1.2414615771,1.0,1.25609575445,-0.007533269962244819,0,0,-0.010985614081427134,0,0,0.0,0,0
family_backfill:warehouse,g567-warehouse-32x24-a-v0,3,3,1.0,1.05785123967,1.0,1.04398826979,1.0,1.02346041056,0.01966292134118443,0,0,0.011811023626923557,0,0,0.007812500000073785,0,0
