agents,map,scen,seed,selector_better_than_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_selected_source_method,selector_worse_than_static,static_delta_ratio_vs_ltm
50,maze-32-32-4,maze-32-32-4-random-161.scen,161,False,0.014471780020000047,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.014471780020000047
50,maze-32-32-4,maze-32-32-4-random-162.scen,162,False,-0.03214285713999998,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.03214285713999998
50,maze-32-32-4,maze-32-32-4-random-163.scen,163,False,0.023057644109999886,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,0.023057644109999886
50,maze-32-32-4,maze-32-32-4-random-164.scen,164,False,-0.05050155655499999,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.05050155655499999
50,maze-32-32-4,maze-32-32-4-random-165.scen,165,False,-0.021403508772000035,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,False,-0.021403508772000035
100,maze-32-32-4,maze-32-32-4-random-126.scen,126,False,0.012595005429999917,0.020412595010000034,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.007817589580000117
100,maze-32-32-4,maze-32-32-4-random-127.scen,127,True,-0.019932899160000073,-0.00019735543999988003,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.019735543720000193
100,maze-32-32-4,maze-32-32-4-random-128.scen,128,True,-0.04959687271000002,-0.019056926460000012,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.030539946250000005
100,maze-32-32-4,maze-32-32-4-random-129.scen,129,False,-0.016887816639999942,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.016887816639999942
100,maze-32-32-4,maze-32-32-4-random-130.scen,130,True,-0.03266007734999987,-0.029222174469999862,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.00343790288000001
100,maze-32-32-4,maze-32-32-4-random-131.scen,131,True,-0.06126521652999983,-0.04450209538999994,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.016763121139999893
100,maze-32-32-4,maze-32-32-4-random-132.scen,132,False,-0.031331592689999965,0.006408734859999932,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,-0.0377403275499999
100,maze-32-32-4,maze-32-32-4-random-133.scen,133,True,-0.06686046510999999,-0.049194991050000025,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.017665474059999964
100,maze-32-32-4,maze-32-32-4-random-134.scen,134,True,0.017414601479999847,-0.018754186200000023,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,0.03616878767999987
100,maze-32-32-4,maze-32-32-4-random-135.scen,135,True,-0.027893320290000023,-0.02422314656000002,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,False,-0.0036701737300000037
