map,agents,seed,scen,oracle_source_method,oracle_source_component,lacam_star_ltm_success,oracle_success,lacam_star_ltm_ratio,oracle_ratio,oracle_delta_ratio_vs_ltm
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.1244870041,1.07934336525,-0.045143638849999945
maze-32-32-4,50,27,maze-32-32-4-random-27.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.21225937183,1.15197568389,-0.060283687940000164
maze-32-32-4,50,28,maze-32-32-4-random-28.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.20773930754,1.16904276986,-0.03869653767999992
maze-32-32-4,50,29,maze-32-32-4-random-29.scen,repair5g1_global_additive_lf0p025_min0p75,global_f_small_lambda,True,True,1.17483189241,1.15802113353,-0.016810758880000165
maze-32-32-4,50,30,maze-32-32-4-random-30.scen,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.17231638418,1.11186440678,-0.06045197739999986
maze-32-32-4,50,31,maze-32-32-4-random-31.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,flow_shield,True,True,1.16510731976,1.13318657127,-0.03192074848999993
maze-32-32-4,50,32,maze-32-32-4-random-32.scen,repair5g1_agent_c100_b125_w075_d100_lf0p2_min0p75,agent_progress_f,True,True,1.19058823529,1.14211764706,-0.048470588229999834
maze-32-32-4,50,33,maze-32-32-4-random-33.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.26583407672,1.18019625335,-0.08563782337000014
maze-32-32-4,50,34,maze-32-32-4-random-34.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.21993291806,1.15955917585,-0.060373742210000136
maze-32-32-4,50,35,maze-32-32-4-random-35.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,0.805848903331,0.780259951259,-0.02558895207199996
maze-32-32-4,50,36,maze-32-32-4-random-36.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.18970917226,1.13154362416,-0.05816554809999985
maze-32-32-4,50,37,maze-32-32-4-random-37.scen,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,flow_shield,True,True,1.15581283164,1.09937288953,-0.05643994211000014
maze-32-32-4,50,38,maze-32-32-4-random-38.scen,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,flow_shield,True,True,1.14997202015,1.13878007834,-0.011191941810000161
maze-32-32-4,50,39,maze-32-32-4-random-39.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.1679389313,1.11908396947,-0.04885496182999982
maze-32-32-4,50,40,maze-32-32-4-random-40.scen,repair5g1_wait_c100_b100_w075_d095_wp0p25_wn1,wait_gated,True,True,1.22747415066,1.17725258493,-0.05022156573000003
maze-32-32-4,50,41,maze-32-32-4-random-41.scen,repair5g1_global_additive_lf0p1_min0p75,global_f_small_lambda,True,True,1.16258992806,1.1376498801,-0.024940047960000156
maze-32-32-4,50,42,maze-32-32-4-random-42.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,flow_shield,True,True,1.12705882353,1.08705882353,-0.040000000000000036
maze-32-32-4,50,43,maze-32-32-4-random-43.scen,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,flow_shield,True,True,1.16685022026,1.14262114537,-0.024229074890000035
maze-32-32-4,50,44,maze-32-32-4-random-44.scen,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,flow_shield,True,True,1.22322322322,1.15565565566,-0.06756756756000004
maze-32-32-4,50,45,maze-32-32-4-random-45.scen,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,flow_shield,True,True,0.85776330076,0.829533116178,-0.028230184581999995
maze-32-32-4,100,26,maze-32-32-4-random-26.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.28905176363,1.19125057261,-0.09780119102000007
maze-32-32-4,100,27,maze-32-32-4-random-27.scen,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,flow_shield,True,True,1.32956588749,1.28435653737,-0.045209350119999936
maze-32-32-4,100,28,maze-32-32-4-random-28.scen,repair5g1_random_static_diagnostic,diagnostic,True,True,1.31144010767,1.3001345895,-0.011305518169999917
maze-32-32-4,100,29,maze-32-32-4-random-29.scen,repair5g_dual_c_equiv_c100_b100_w075_d095,c_equiv,True,True,1.25472887768,1.21034047919,-0.04438839848999998
maze-32-32-4,100,30,maze-32-32-4-random-30.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,flow_shield,True,True,1.23217503218,1.20231660232,-0.02985842985999998
maze-32-32-4,100,31,maze-32-32-4-random-31.scen,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,flow_shield,True,True,1.29341164454,1.25306435138,-0.040347293159999964
maze-32-32-4,100,32,maze-32-32-4-random-32.scen,repair5g_dual_c_equiv_c125_b125_w075_d095,c_equiv,True,True,1.29425079221,1.26437301947,-0.02987777273999992
maze-32-32-4,100,33,maze-32-32-4-random-33.scen,repair5g_dual_c_equiv_c100_b125_w075_d100,c_equiv,True,True,1.29030006978,1.26308443824,-0.027215631540000063
maze-32-32-4,100,34,maze-32-32-4-random-34.scen,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,flow_shield,True,True,1.34837644469,1.26884975234,-0.07952669234999998
maze-32-32-4,100,35,maze-32-32-4-random-35.scen,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,flow_shield,True,True,1.05004570384,1.01668190128,-0.033363802560000044
maze-32-32-4,100,36,maze-32-32-4-random-36.scen,repair5g1_agent_c125_b125_w075_d095_lf0p1_min0p5,agent_progress_f,True,True,1.28498103102,1.22762776166,-0.05735326936000007
maze-32-32-4,100,37,maze-32-32-4-random-37.scen,repair5g1_wait_c100_b100_w075_d095_wp0p75_wn1p25,wait_gated,True,True,1.24199623352,1.20998116761,-0.03201506591000003
maze-32-32-4,100,38,maze-32-32-4-random-38.scen,repair5g1_agent_c125_b125_w075_d095_lf0p05_min1,agent_progress_f,True,True,1.30211480363,1.25075528701,-0.051359516620000045
maze-32-32-4,100,39,maze-32-32-4-random-39.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,flow_shield,True,True,1.33366509082,1.25578502115,-0.07788006967000016
maze-32-32-4,100,40,maze-32-32-4-random-40.scen,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,flow_shield,True,True,1.42832211419,1.29842931937,-0.12989279481999993
maze-32-32-4,100,41,maze-32-32-4-random-41.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.273131881,1.25884282033,-0.014289060670000131
maze-32-32-4,100,42,maze-32-32-4-random-42.scen,repair5g1_agent_c100_b125_w075_d100_lf0p05_min1,agent_progress_f,True,True,1.24876237624,1.17722772277,-0.07153465346999988
maze-32-32-4,100,43,maze-32-32-4-random-43.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.27938247012,1.23032868526,-0.049053784860000116
maze-32-32-4,100,44,maze-32-32-4-random-44.scen,repair5g1_global_c100_b125_w075_d100_lf0p1_min0p75,global_f_small_lambda,True,True,1.30298786181,1.22945845005,-0.07352941175999983
maze-32-32-4,100,45,maze-32-32-4-random-45.scen,repair5g1_global_c125_b125_w075_d095_lf0p1_min0p75,global_f_small_lambda,True,True,1.08425763767,1.05993383927,-0.024323798399999985
random-32-32-20,50,26,random-32-32-20-random-26.scen,repair5g1_wait_c125_b125_w075_d095_wp0p75_wn1p25,wait_gated,True,True,1.10743061773,1.09489704566,-0.012533572069999943
random-32-32-20,50,27,random-32-32-20-random-27.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.13200379867,1.081671415,-0.050332383670000036
random-32-32-20,50,28,random-32-32-20-random-28.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.12136325852,1.08395677473,-0.03740648378999989
random-32-32-20,50,29,random-32-32-20-random-29.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.16873889876,1.10301953819,-0.06571936056999994
random-32-32-20,50,30,random-32-32-20-random-30.scen,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.13783269962,1.0788973384,-0.05893536122000009
random-32-32-20,50,31,random-32-32-20-random-31.scen,repair5g1_agent_c100_b125_w075_d100_lf0p2_min0p5,agent_progress_f,True,True,1.09322033898,1.0686440678,-0.024576271179999942
random-32-32-20,50,32,random-32-32-20-random-32.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.1320754717,1.10548885077,-0.02658662092999986
random-32-32-20,50,33,random-32-32-20-random-33.scen,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,flow_shield,True,True,1.13006029285,1.08354866494,-0.046511627910000186
random-32-32-20,50,34,random-32-32-20-random-34.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.07410795974,1.05397987191,-0.020128087830000085
random-32-32-20,50,35,random-32-32-20-random-35.scen,repair5g1_wait_c125_b125_w075_d095_wp0p75_wn1p25,wait_gated,True,True,1.1432748538,1.08576998051,-0.05750487328999987
random-32-32-20,50,36,random-32-32-20-random-36.scen,repair5g1_agent_additive_lf0p025_min0p75,agent_progress_f,True,True,1.15151515152,1.08571428571,-0.06580086581
random-32-32-20,50,37,random-32-32-20-random-37.scen,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.13076923077,1.09914529915,-0.03162393161999999
random-32-32-20,50,38,random-32-32-20-random-38.scen,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,True,True,0.477297493643,0.470032691609,-0.007264802033999984
random-32-32-20,50,39,random-32-32-20-random-39.scen,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.12626728111,1.09585253456,-0.030414746549999983
random-32-32-20,50,40,random-32-32-20-random-40.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.16459074733,1.09786476868,-0.06672597864999985
random-32-32-20,50,41,random-32-32-20-random-41.scen,repair5g1_agent_c125_b125_w075_d095_lf0p01_min1,agent_progress_f,True,True,1.0985267035,1.09116022099,-0.007366482509999939
random-32-32-20,50,42,random-32-32-20-random-42.scen,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,flow_shield,True,True,1.10410958904,1.09223744292,-0.011872146119999982
random-32-32-20,50,43,random-32-32-20-random-43.scen,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,flow_shield,True,True,1.14634146341,1.10225140713,-0.044090056279999956
random-32-32-20,50,44,random-32-32-20-random-44.scen,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,True,True,1.09055501461,1.09055501461,0.0
random-32-32-20,50,45,random-32-32-20-random-45.scen,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,True,True,1.1123388582,1.06629834254,-0.04604051565999989
random-32-32-20,100,26,random-32-32-20-random-26.scen,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,True,1.25625274243,1.18824045634,-0.0680122860900001
random-32-32-20,100,27,random-32-32-20-random-27.scen,repair5g1_agent_additive_lf0p025_min0p75,agent_progress_f,True,True,1.30574162679,1.18708133971,-0.11866028707999998
