path,exists,rows,size_bytes,sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
outputs/reports/phase5p5_repair5g551_decision_summary.json,True,1,1506,774c1e195c842ca685a2589c80507ec2a448a417a0ed6dfbed9d1b8beb30d4bc,False,False,False,False,False
outputs/reports/phase5p5_repair5g551_iteration_label_expansion_summary.json,True,1,976,6b7a596d29f7f1c96ea11d053324639a76b02e0081d67de100154741c6cd1892,False,False,False,False,False
outputs/reports/phase5p5_repair5g551_checkpoint_policy_summary.json,True,1,987,619a37053f25adf72d48354f75499dd5464188544a89a9638b25fd139556ac72,False,False,False,False,False
outputs/reports/phase5p5_repair5g551_generated_theta_targeted_summary.json,True,1,1182,6bc1232d5d26520eabaecd21b966fd4f47e0eb8540b62902bacfee97cc54841c,False,False,False,False,False
outputs/reports/phase5p5_repair5g551_targeted_failure_autopsy_summary.json,True,1,1236,0581e5d11bcfb3cc55b97c706b12109ba716c9184a0a05c67ac53d6430e3c7a6,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_policy_family_eval.csv,True,11,2532,b34b43fb487ca9a6158707d7c8b7b76a58fefbd1b5ab2e443457a6df56cf296b,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_candidates.csv,True,27,7569,c187ea4ec5db15d0f93b4111e1c42a79cd6f6484cae54be707d2158f96e17682,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_by_stratum.csv,True,16,2313,794f85194f8980567c9c8aa74e60ed41f050c20a54c613f7fe1124e9c29c54d5,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_failure_cases.csv,True,993,795685,009c9d27ad13854f546805d83d2157e4fe7258b62fc4d446b35e42c85312a1ef,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_iteration_hard_negative_cases.csv,True,1689,1182379,865df8332d3dae6ddedfd2f7028f327c20643d4b7a42baaabc0ffcf024239d27,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_iteration_safe_useful_cases.csv,True,5000,3700364,2828d8ce4e242817d59da40e8dcecac8b8acc6198234fa513ac5293db9b7e758,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_vs_static_flow.csv,True,44994,35479367,9a05856067e091c59187176c9c4dd0c86f41af5b4e1d40094376d7e810bff36f,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_vs_additive.csv,True,44994,35148658,902c33e039837311d5300ccd94ab8d6c16dc5ac9941ade0f9eae15af040cc4d7,False,False,False,False,False
