feature,comparison,train_n,other_n,train_mean,other_mean,train_std,other_std,standardized_mean_diff,train_q10,other_q10,train_q50,other_q50,train_q90,other_q90
agents,validation_all,1439,458,187.35232800555943,177.292576419214,133.9769937872972,128.68025770172756,0.0765842684597605,50.0,50.0,100.0,100.0,400.0,400.0
agents,validation_map:empty-48-48,1439,240,187.35232800555943,187.5,133.9769937872972,134.0475661845451,0.0011019287884441902,50.0,50.0,100.0,150.0,400.0,400.0
agents,validation_map:maze-32-32-4,1439,218,187.35232800555943,166.05504587155963,133.9769937872972,121.51202114144347,0.1665197226744408,50.0,50.0,100.0,100.0,400.0,400.0
free_cells,validation_all,1439,458,3968.798471160528,1583.3624454148471,3065.0752537285603,756.1261618033424,1.0685954726135478,819.0,790.0,3232.0,2304.0,9776.0,2304.0
free_cells,validation_map:empty-48-48,1439,240,3968.798471160528,2304.0,3065.0752537285603,0.0,0.7681314100426047,819.0,2304.0,3232.0,2304.0,9776.0,2304.0
free_cells,validation_map:maze-32-32-4,1439,218,3968.798471160528,790.0,3065.0752537285603,0.0,1.4666850037360277,819.0,790.0,3232.0,790.0,9776.0,790.0
density,validation_all,1439,458,0.09659773918863744,0.14269439914874793,0.11986248523409848,0.1310479118724951,0.36707066939707367,0.010229132569558102,0.021701388888888888,0.048828125,0.08680555555555555,0.2442002442002442,0.25316455696202533
density,validation_map:empty-48-48,1439,240,0.09659773918863744,0.08138020833333347,0.11986248523409848,0.058180367267597795,0.16152357008287224,0.010229132569558102,0.021701388888888888,0.048828125,0.06510416666666666,0.2442002442002442,0.1736111111111111
density,validation_map:maze-32-32-4,1439,218,0.09659773918863744,0.2101962605969109,0.11986248523409848,0.15381268498916895,0.823855459434703,0.010229132569558102,0.06329113924050633,0.048828125,0.12658227848101267,0.2442002442002442,0.5063291139240507
map_width,validation_all,1439,458,87.11535788742182,40.38427947598253,56.95556739960897,7.990765250233476,1.1490843312317298,32.0,32.0,64.0,48.0,170.0,48.0
map_width,validation_map:empty-48-48,1439,240,87.11535788742182,48.0,56.95556739960897,0.0,0.9712390227517802,32.0,48.0,64.0,48.0,170.0,48.0
map_width,validation_map:maze-32-32-4,1439,218,87.11535788742182,32.0,56.95556739960897,0.0,1.3685209397101716,32.0,32.0,64.0,32.0,170.0,32.0
map_height,validation_all,1439,458,56.4954829742877,40.38427947598253,18.76517631147985,7.990765250233476,1.1171322212700103,32.0,32.0,64.0,48.0,84.0,48.0
map_height,validation_map:empty-48-48,1439,240,56.4954829742877,48.0,18.76517631147985,0.0,0.6402512314151503,32.0,48.0,64.0,48.0,84.0,48.0
map_height,validation_map:maze-32-32-4,1439,218,56.4954829742877,32.0,18.76517631147985,0.0,1.846070810319234,32.0,32.0,64.0,32.0,84.0,32.0
obstacle_ratio,validation_all,1439,458,0.22757607964956197,0.1087694459606987,0.13255601651876942,0.11412591971158585,0.9605602663592571,0.0,0.0,0.20166015625,0.0,0.4381346741595189,0.228515625
obstacle_ratio,validation_map:empty-48-48,1439,240,0.22757607964956197,0.0,0.13255601651876942,0.0,2.4279635641173543,0.0,0.0,0.20166015625,0.0,0.4381346741595189,0.0
obstacle_ratio,validation_map:maze-32-32-4,1439,218,0.22757607964956197,0.228515625,0.13255601651876942,0.0,0.01002382096225634,0.0,0.228515625,0.20166015625,0.228515625,0.4381346741595189,0.228515625
iteration,validation_all,1439,458,1.4989576094510075,1.4497816593886463,1.1177226786592773,1.1149490149953798,0.04405118070416478,0.0,0.0,1.0,1.0,3.0,3.0
iteration,validation_map:empty-48-48,1439,240,1.4989576094510075,1.5,1.1177226786592773,1.118033988749895,0.0009324722623731411,0.0,0.0,1.0,1.5,3.0,3.0
iteration,validation_map:maze-32-32-4,1439,218,1.4989576094510075,1.3944954128440368,1.1177226786592773,1.1089158985975658,0.0938287700614083,0.0,0.0,1.0,1.0,3.0,3.0
node_budget,validation_all,1439,458,1039.8332175121611,1081.703056768559,877.1582773269099,1784.4504686719363,0.029779409116914148,0.0,0.0,960.0,800.0,2250.0,1903.0
node_budget,validation_map:empty-48-48,1439,240,1039.8332175121611,574.6666666666666,877.1582773269099,338.3783221320311,0.6997135820928567,0.0,0.0,960.0,740.0,2250.0,850.0
node_budget,validation_map:maze-32-32-4,1439,218,1039.8332175121611,1639.908256880734,877.1582773269099,2443.1938772554313,0.32691558546836175,0.0,0.0,960.0,1015.0,2250.0,3740.0
elapsed_ms,validation_all,1439,458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elapsed_ms,validation_map:empty-48-48,1439,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elapsed_ms,validation_map:maze-32-32-4,1439,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_remaining_sec,validation_all,1439,458,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0
time_remaining_sec,validation_map:empty-48-48,1439,240,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0
time_remaining_sec,validation_map:maze-32-32-4,1439,218,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0
