map_family,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,1440,1,0,240,1199,0.000722477440912,0,0.000722477440912,0.000722477440912,0.00077517392476,207,799,193,207,49,False,False,False,False,False
random,1280,64,50,182,984,-0.00283934844763,0,-0.00283934844763,-0.00283934844763,0.000551625880887,196,684,104,246,37,False,False,False,False,False
warehouse,1120,37,38,886,159,0,0,0,0,-0.000223214285714,0,159,0,38,0,False,False,False,False,False
