policy_name,policy_entries,non_static_region_count,expected_non_static_selection_rate,fallback_to_static_flow_rate,fallback_to_family_static_rate,fallback_to_best_fixed_rate,fallback_to_additive_rate,expected_regression_vs_static_flow,expected_regression_vs_family_static,expected_quality_delta_vs_ladder,evaluated_contexts,non_static_selection_rate,fallback_distribution,expected_vs_static_flow_pairs,expected_vs_static_flow_success_regression_count,expected_vs_static_flow_success_gain_count,expected_vs_static_flow_both_fail_count,expected_vs_static_flow_quality_only_pairs,expected_vs_static_flow_quality_only_mean_delta,expected_vs_static_flow_quality_only_median_delta,expected_vs_static_flow_quality_ci_low,expected_vs_static_flow_quality_ci_high,expected_vs_static_flow_mean_corrected_delta,expected_vs_static_flow_better_count,expected_vs_static_flow_equal_count,expected_vs_static_flow_worse_count,expected_vs_static_flow_safe_high_margin_count,expected_vs_static_flow_safe_low_margin_count,expected_vs_family_static_pairs,expected_vs_family_static_success_regression_count,expected_vs_family_static_success_gain_count,expected_vs_family_static_both_fail_count,expected_vs_family_static_quality_only_pairs,expected_vs_family_static_quality_only_mean_delta,expected_vs_family_static_quality_only_median_delta,expected_vs_family_static_quality_ci_low,expected_vs_family_static_quality_ci_high,expected_vs_family_static_mean_corrected_delta,expected_vs_family_static_better_count,expected_vs_family_static_equal_count,expected_vs_family_static_worse_count,expected_vs_family_static_safe_high_margin_count,expected_vs_family_static_safe_low_margin_count,expected_vs_ladder_pairs,expected_vs_ladder_success_regression_count,expected_vs_ladder_success_gain_count,expected_vs_ladder_both_fail_count,expected_vs_ladder_quality_only_pairs,expected_vs_ladder_quality_only_mean_delta,expected_vs_ladder_quality_only_median_delta,expected_vs_ladder_quality_ci_low,expected_vs_ladder_quality_ci_high,expected_vs_ladder_mean_corrected_delta,expected_vs_ladder_better_count,expected_vs_ladder_equal_count,expected_vs_ladder_worse_count,expected_vs_ladder_safe_high_margin_count,expected_vs_ladder_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
P0_static_flow_only,18,0,0,1,0,0,0,0,15,-0.0060161336214,1560,0,{'static_flow_shield': 1560},1560,0,0,584,976,0,0,0,0,0,0,976,0,0,0,1560,15,11,569,965,-0.00157369672718,0,-0.00157369672718,-0.00157369672718,-0.000332447013926,171,642,152,182,31,840,7,5,147,681,-0.0060161336214,0,-0.0060161336214,-0.0060161336214,-0.0042821273764,170,411,100,175,11,False,False,False,False,False
P1_frozen_family_static_only,18,0,0,0,1,0,0,11,0,-0.00398509888616,1560,0,{'frozen_family_static_goal_aware': 1560},1560,11,15,569,965,0.00157369672718,0,0.00157369672718,0.00157369672718,0.000332447013926,152,642,171,167,29,1560,0,0,580,980,0,0,0,0,0,0,980,0,0,0,840,6,6,146,682,-0.00398509888616,0,-0.00398509888616,-0.00398509888616,-0.00323552076233,85,586,11,91,5,False,False,False,False,False
P2_deployable_static_ladder_only,18,0,0,0.0555555555556,0.333333333333,0.111111111111,0.5,5,6,0,840,0,"{'additive_ltm': 120, 'best_fixed_static_goal_aware': 160, 'frozen_family_static_goal_aware': 480, 'static_flow_shield': 80}",840,5,7,147,681,0.0060161336214,0,0.0060161336214,0.0060161336214,0.0042821273764,100,411,170,107,14,840,6,6,146,682,0.00398509888616,0,0.00398509888616,0.00398509888616,0.00323552076233,11,586,85,17,3,840,0,0,152,688,0,0,0,0,0,0,688,0,0,0,False,False,False,False,False
P3_ladder_plus_overlay_high_margin_only,18,1,0.142857142857,0.0555555555556,0.333333333333,0.111111111111,0.444444444444,5,6,-0.00594095907009,840,0.142857142857,"{'best_fixed_static_goal_aware': 160, 'frozen_family_static_goal_aware': 480, 'static_flow_shield': 80}",840,5,7,147,681,1.41074242996e-05,0,1.41074242996e-05,1.41074242996e-05,-0.000583801004824,160,401,120,167,27,840,6,6,146,682,-0.00200812668602,0,-0.00200812668602,-0.00200812668602,-0.00163040761889,69,585,28,75,14,840,0,0,152,688,-0.00594095907009,0,-0.00594095907009,-0.00594095907009,-0.00486592838122,88,600,0,88,5,False,False,False,False,False
P4_ladder_plus_overlay_nonnegative,18,1,0.142857142857,0.0555555555556,0.333333333333,0.111111111111,0.444444444444,5,6,-0.00594095907009,840,0.142857142857,"{'best_fixed_static_goal_aware': 160, 'frozen_family_static_goal_aware': 480, 'static_flow_shield': 80}",840,5,7,147,681,1.41074242996e-05,0,1.41074242996e-05,1.41074242996e-05,-0.000583801004824,160,401,120,167,27,840,6,6,146,682,-0.00200812668602,0,-0.00200812668602,-0.00200812668602,-0.00163040761889,69,585,28,75,14,840,0,0,152,688,-0.00594095907009,0,-0.00594095907009,-0.00594095907009,-0.00486592838122,88,600,0,88,5,False,False,False,False,False
P5_ultra_conservative_overlay,18,1,0.142857142857,0.0555555555556,0.333333333333,0.111111111111,0.444444444444,5,6,-0.00594095907009,840,0.142857142857,"{'best_fixed_static_goal_aware': 160, 'frozen_family_static_goal_aware': 480, 'static_flow_shield': 80}",840,5,7,147,681,1.41074242996e-05,0,1.41074242996e-05,1.41074242996e-05,-0.000583801004824,160,401,120,167,27,840,6,6,146,682,-0.00200812668602,0,-0.00200812668602,-0.00200812668602,-0.00163040761889,69,585,28,75,14,840,0,0,152,688,-0.00594095907009,0,-0.00594095907009,-0.00594095907009,-0.00486592838122,88,600,0,88,5,False,False,False,False,False
P6_staticflow_positive_residual_but_family_guard,18,1,0.142857142857,0.0555555555556,0.333333333333,0.111111111111,0.444444444444,5,6,-0.00594095907009,840,0.142857142857,"{'best_fixed_static_goal_aware': 160, 'frozen_family_static_goal_aware': 480, 'static_flow_shield': 80}",840,5,7,147,681,1.41074242996e-05,0,1.41074242996e-05,1.41074242996e-05,-0.000583801004824,160,401,120,167,27,840,6,6,146,682,-0.00200812668602,0,-0.00200812668602,-0.00200812668602,-0.00163040761889,69,585,28,75,14,840,0,0,152,688,-0.00594095907009,0,-0.00594095907009,-0.00594095907009,-0.00486592838122,88,600,0,88,5,False,False,False,False,False
