check,passed,leakage_found,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
future_solver_outcome_not_model_facing,True,False,False,False,False,False,False
candidate_quality_delta_not_model_facing,True,False,False,False,False,False,False
theta_cluster_true_label_not_raw_feature,True,False,False,False,False,False,False
static_flow_same_replay_outcome_not_feature,True,False,False,False,False,False,False
