agents,c_equiv_delta_ratio_vs_ltm,classification,flow_shield_hurts_c_equiv_safe,joint_ltm_classification,map,seed,selector_avoids_harm_vs_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_missed_gain_vs_static,selector_source_method,static_delta_ratio_vs_ltm
100,0.002316602320000083,selector_wins_over_static,False,mixed,maze-32-32-4,61,True,-0.050193050189999866,-0.05199485198999998,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0.0018018018000001135
100,0.012164333260000104,selector_wins_over_static,False,both_win_or_tie_ltm,maze-32-32-4,62,False,-0.05095249024000004,-0.04934588018999997,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,-0.001606610050000068
100,0.01747949936000004,static_wins_over_selector,False,mixed,maze-32-32-4,63,False,0.020069054819999987,0.03129046180999984,True,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,-0.01122140698999985
100,-0.0028848675499999477,selector_wins_over_static,False,mixed,maze-32-32-4,64,True,-0.053238919480000035,-0.05455022292000011,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0.0013113034400000778
100,-0.0814491264099999,selector_wins_over_static,False,both_win_or_tie_ltm,maze-32-32-4,65,False,-0.07939362795000005,-0.04856115108000014,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,-0.030832476869999903
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,46,False,-0.040634291379999965,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.040634291379999965
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,47,False,-0.07712532865999999,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.07712532865999999
50,-0.015045135399999854,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,48,False,-0.04413239718999984,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.04413239718999984
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,49,False,-0.014155712839999834,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.014155712839999834
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,50,False,-0.017094017094000047,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.017094017094000047
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,51,False,-0.0481189851299999,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.0481189851299999
50,0.0016906170799999565,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,52,False,-0.031276415890000075,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.031276415890000075
50,-0.017291066279999878,selector_static_tie,True,both_lose_to_ltm,random-32-32-20,53,False,0.014409221910000047,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.014409221910000047
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,54,False,-0.022842639590000102,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.022842639590000102
50,-0.008856682769999846,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,55,False,-0.06682769725999993,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.06682769725999993
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,56,False,0.0,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,57,False,-0.03590192645000001,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.03590192645000001
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,58,False,-0.059643687059999895,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.059643687059999895
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,59,False,0.0,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.0
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,60,False,-0.0181124880800001,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.0181124880800001
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,61,False,0.0,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.0
50,-0.014381591559999851,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,62,False,-0.036433365289999964,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.036433365289999964
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,63,False,-0.005612722169999973,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.005612722169999973
50,0.015820149870000133,selector_static_tie,False,both_lose_to_ltm,random-32-32-20,64,False,0.015820149870000133,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.015820149870000133
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,random-32-32-20,65,False,-0.03770491802999998,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.03770491802999998
100,0.0,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,46,False,-0.051609848490000054,0.022253787879999987,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.07386363637000004
100,-0.028859367849999984,selector_wins_over_static,False,both_win_or_tie_ltm,random-32-32-20,47,False,-0.020155748969999943,-0.0004580852000000135,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.01969766376999993
100,0.0,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,48,False,-0.009195402300000044,0.03494252873999981,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.044137931039999856
100,-0.003668042180000164,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,49,False,-0.010087116000000007,0.016506189820000072,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.02659330582000008
100,0.019088669951000004,selector_wins_over_static,False,both_win_or_tie_ltm,random-32-32-20,50,False,-0.028940886698999968,-0.013854679802999925,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.015086206896000043
100,-0.017513882950000115,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,51,False,-0.038017941050000115,0.06322084578999987,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.10123878683999998
100,0.0,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,52,False,-0.03985171455000014,0.00695088045000003,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.04680259500000017
100,0.01691638473000001,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,53,False,-0.00918318027999998,0.03576607057000003,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.04494925085000001
100,0.01674008810999994,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,54,False,-0.037444933920000034,0.017621145379999925,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.05506607929999996
100,-0.03606279168999982,selector_wins_over_static,False,both_win_or_tie_ltm,random-32-32-20,55,False,-0.08952057700999982,-0.0033941450999999123,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.08612643190999991
100,-0.016893477239999788,static_wins_over_selector,False,both_win_or_tie_ltm,random-32-32-20,56,False,-0.09432191459999983,0.011262318160000007,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.10558423275999984
