row_type,model,policy,fold_id,eval_scope,context_budget_pairs,selected_policy_utility,safe_policy_sim_utility,candidate_induced_no_solution_count,budget_sensitive_failure_count,safe_positive_selected_count,static_recovery_capture_count,fallback_rate,action_class_accuracy,use_new_vs_fallback_accuracy,selected_candidate_match_rate,region_match_rate,warehouse_candidate_induced_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
model_fold,budget_sensitive_failure_classifier,budget_sensitive_failure_classifier,leave_map_family_maze,fold_dev,40,0.01267552166,0.01267552166,0,0,18,0,0.0,0.45,0.6,0.3,0.6,0,False,False,False,False,False
model_fold,budget_sensitive_failure_classifier,budget_sensitive_failure_classifier,leave_map_family_random,fold_dev,40,0.008145200914,0.008145200914,0,0,18,1,0.0,0.5,0.4,0.05,0.15,0,False,False,False,False,False
model_fold,budget_sensitive_failure_classifier,budget_sensitive_failure_classifier,leave_map_family_warehouse,fold_dev,40,0.0,0.0,6,0,0,0,0.0,0.775,0.95,0.0,0.075,6,False,False,False,False,False
