candidate_id,candidate_region,candidate_family,candidate_purpose,candidate_source,candidate_fingerprint,raw_pool_selected,selected_for_execution,include_in_probe,selection_rank,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,source_candidate,nearest_g518_candidate,nearest_g518_distance,nearest_old14_candidate,nearest_old14_distance,nearest_g521_candidate,nearest_g521_distance,exact_duplicate_of_retained_g518,exact_duplicate_of_old14,exact_duplicate_of_g521
repair5g59_additive_fallback,old14,old14,control,old14,additive_or_unknown,False,True,True,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,
repair5g59_block_heavy_flow_guard,old14,old14,control,old14,1.000000|1.500000|1.000000|0.500000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_c_only_f_disabled,old14,old14,control,old14,1.250000|1.250000|0.000000|0.750000|0.950000|1.000000|0.000000|0.000000|1,False,True,True,,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True,False,False,False,False,False,,,,,,,,,,
repair5g59_commit_heavy_flow_guard,old14,old14,control,old14,1.500000|1.000000|1.000000|0.750000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_fast_decay_low_shield,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.900000|1.000000|0.200000|0.500000|0,False,True,True,,1.25,1.25,1.0,0.75,0.9,1.0,0.2,0.5,False,False,False,False,False,False,,,,,,,,,,
repair5g59_flow_decay,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.950000|0.950000|0.350000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_high_beta_cap_safe,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.950000|1.000000|0.600000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_light_cong_light_flow,old14,old14,control,old14,1.000000|1.000000|0.750000|0.750000|0.980000|1.000000|0.250000|0.500000|0,False,True,True,,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False,False,False,False,False,False,,,,,,,,,,
repair5g59_low_beta_high_cap,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.950000|1.000000|0.200000|1.250000|0,False,True,True,,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False,False,False,False,False,False,,,,,,,,,,
repair5g59_slow_decay_high_shield,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.980000|1.000000|0.500000|1.000000|0,False,True,True,,1.25,1.25,1.0,0.75,0.98,1.0,0.5,1.0,False,False,False,False,False,False,,,,,,,,,,
repair5g59_static_abstain_candidate,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_static_flow_shield,old14,old14,control,old14,1.250000|1.250000|1.000000|0.750000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_wait_aggressive,old14,old14,control,old14,1.250000|1.250000|1.000000|1.000000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g59_wait_conservative,old14,old14,control,old14,1.250000|1.250000|1.000000|0.500000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,g518_retained,control,g518_retained,1.250000|1.250000|1.000000|0.500000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,g518_retained,control,g518_retained,1.200000|1.350000|1.000000|0.700000|0.950000|1.000000|0.600000|0.750000|0,False,True,True,,1.2,1.35,1.0,0.7,0.95,1.0,0.6,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,g518_retained,g518_retained,control,g518_retained,0.900000|1.500000|1.000000|0.450000|0.950000|1.000000|0.450000|0.750000|0,False,True,True,,0.9,1.5,1.0,0.45,0.95,1.0,0.45,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,g518_retained,g518_retained,control,g518_retained,1.250000|1.250000|1.000000|0.350000|0.950000|1.000000|0.300000|0.750000|0,False,True,True,,1.25,1.25,1.0,0.35,0.95,1.0,0.3,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,g518_retained,control,g518_retained,0.900000|1.400000|1.000000|0.450000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,0.9,1.4,1.0,0.45,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,g518_retained,control,g518_retained,1.200000|1.150000|1.000000|0.700000|0.950000|1.000000|0.600000|0.750000|0,False,True,True,,1.2,1.15,1.0,0.7,0.95,1.0,0.6,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,g518_retained,control,g518_retained,0.900000|1.650000|1.000000|0.450000|0.950000|1.000000|0.350000|0.750000|0,False,True,True,,0.9,1.65,1.0,0.45,0.95,1.0,0.35,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,g518_retained,g518_retained,control,g518_retained,1.200000|1.150000|1.000000|0.700000|0.950000|1.000000|0.550000|0.750000|0,False,True,True,,1.2,1.15,1.0,0.7,0.95,1.0,0.55,0.75,False,False,False,False,False,False,,,,,,,,,,
repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,g521_previous_wave,g521_previous_wave,previous-wave analysis-only comparison,g521_previous_wave,0.900000|1.500000|1.000000|0.450000|0.950000|1.000000|0.450000|0.750000|0,False,False,False,,0.9,1.5,1.0,0.45,0.95,1.0,0.45,0.75,False,False,False,False,False,False,,,,,,,,,,
