split,run_id,checkpoint_id,map_name,agents,seed,iteration,target_rule_original,target_rule_executable,predicted_rule,top1_correct,top3_correct,raw_original_top1_correct,target_family,predicted_family,family_top1_correct,harmful_update,harmful_update_probability,harmful_prediction,selected_rule_harmful,predicted_rule_delta_ratio_vs_additive,target_delta_ratio_vs_additive,neutral,top3_rules,predicted_score
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter0,empty-16-16,50,1,0,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,0,0.6267983913421631,1,0,0.0,0.077519379845,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",0.6979950666427612
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter1,empty-16-16,50,1,1,wait_heavy,wait_heavy,additive_ltm,0,0,0,wait,additive,0,0,0.4626027047634125,1,0,0.0,0.244186046512,0,"[""additive_ltm""]",-0.0015700459480285645
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter2,empty-16-16,50,1,2,block_light,block_light,additive_ltm,0,0,0,block,additive,0,1,0.29374271631240845,1,0,0.0,0.0968992248062,0,"[""additive_ltm""]",0.14012107253074646
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter3,empty-16-16,50,1,3,block_heavy,block_heavy,additive_ltm,0,0,0,block,additive,0,1,0.2909701466560364,1,0,0.0,0.0077519379845,0,"[""additive_ltm"", ""block_light""]",0.5705200433731079
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter0,empty-16-16,100,1,0,wait_light,wait_light,additive_ltm,0,0,0,wait,additive,0,1,0.697136640548706,1,0,0.0,0.0951923076923,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",0.33046209812164307
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter1,empty-16-16,100,1,1,block_heavy,block_heavy,additive_ltm,0,0,0,block,additive,0,1,0.42229679226875305,1,0,0.0,0.0346153846154,0,"[""additive_ltm""]",0.00892689824104309
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter2,empty-16-16,100,1,2,decay_095,decay_095,additive_ltm,0,0,0,decay,additive,0,0,0.4005889296531677,1,0,0.0,0.128846153846,0,"[""additive_ltm""]",0.058448463678359985
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter3,empty-16-16,100,1,3,decay_090,decay_090,additive_ltm,0,0,0,decay,additive,0,1,0.46161967515945435,1,0,0.0,0.0471153846154,0,"[""additive_ltm""]",0.13407230377197266
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter0,empty-16-16,200,1,0,commit_heavy,commit_heavy,additive_ltm,0,0,0,commit,additive,0,1,0.7295652627944946,1,0,0.0,1.14440611138,0,"[""additive_ltm"", ""decay_090"", ""decay_095""]",-0.061645567417144775
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter1,empty-16-16,200,1,1,block_light,block_light,additive_ltm,0,0,0,block,additive,0,1,0.667171835899353,1,0,0.0,0.203548546082,0,"[""additive_ltm""]",0.39945918321609497
