candidate_index,candidate_id,method,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,min_edge_cost,max_edge_cost,existing_project_owned_alias,new_g533_adapter_added,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,source,hypothesis,new_g534_adapter_added,method_parser_family,intended_hypothesis,expected_risk_strata,expected_improvement_strata,adapter_change_required,is_new_alias,implemented_new_aliases,project_owned_adapter_only
0,repair5g59_static_flow_shield,repair5g59_static_flow_shield,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,static_anchor,validated static flow-shield baseline,False,repair5g59_alias,validated static-flow shield anchor,baseline/control,deployable static anchor,False,False,False,True
1,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,static_anchor,stronger bounded flow shield,False,repair5g59_alias,best fixed static goal-aware anchor,baseline/control,deployable static anchor,False,False,False,True
2,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,static_anchor,lower beta with higher cap,False,repair5g59_alias,best maze family static anchor,baseline/control,deployable static anchor,False,False,False,True
3,repair5g59_wait_aggressive,repair5g59_wait_aggressive,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,static_anchor,penalizes waits aggressively,False,repair5g59_alias,best random family static anchor,baseline/control,deployable static anchor,False,False,False,True
4,repair5g59_additive_fallback,repair5g59_additive_fallback,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,True,none,0.25,10.0,True,False,False,False,False,False,False,static_anchor,additive LTM baseline,False,repair5g59_alias,best warehouse family static anchor,baseline/control,deployable static anchor,False,False,False,True
5,repair5g538_low_beta_b015_cap040,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p15_max0p4_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.15,0.4,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,residual_low_beta,,,repair5g518_grid,lower beta and cap around static-flow,low shield may underuse flow,safe low-beta static-flow residual,False,False,False,True
6,repair5g538_low_beta_b020_cap045,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p2_max0p45_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.2,0.45,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,residual_low_beta,,,repair5g518_grid,lower beta with conservative cap,low shield may lose maze flow benefit,random/warehouse safety,False,False,False,True
7,repair5g538_low_beta_b025_cap050,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p5_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.25,0.5,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,residual_low_beta,,,repair5g518_grid,mild beta residual,moderate low-beta risk,static-flow low-margin opportunities,False,False,False,True
8,repair5g538_low_beta_b030_cap075,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p3_max0p75_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.3,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,residual_low_beta,,,repair5g518_grid,near static beta with lower cap,low cap can miss corridor benefit,safe flow shield dampening,False,False,False,True
9,repair5g538_flow_decay_df090,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,1.25,1.25,1.0,0.75,0.95,0.9,0.35,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,residual_flow_decay,,,repair5g518_grid,strong F-channel decay,may forget useful flow too quickly,maze 2000 flow reset,False,False,False,True
