artifact,path,exists,rows_or_file,bytes,sha256_if_compact,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g555_decision_summary.json,True,1,1196,42e21855c3a45eaf75b8f4a4db9cce9bbbf22acbf31f5d92274a152869f5e87b,False,False,False,False,False
corrected_validation_summary,outputs/reports/phase5p5_repair5g555_corrected_validation_summary.json,True,1,831,9e7711ee355bf6170106d19eeb91a0168d96de3d5cff8637fdfe7abf534a8382,False,False,False,False,False
blind_summary,outputs/reports/phase5p5_repair5g555_blind_summary.json,True,1,734,fab2db2829b51878011aaa9c7f0f7c6df5057639a8dc3f9e00b3974426686900,False,False,False,False,False
blind_candidate_leaderboard,outputs/tables/phase5p5_repair5g555_blind_candidate_leaderboard.csv,True,3,3696,ece545f8cde7b00c8e5315798653a0a6c36fd7766c677a65d4ac50e9833a3c46,False,False,False,False,False
final_candidate_theta,outputs/tables/phase5p5_repair5g555_final_candidate_theta.csv,True,1,2067,4297f3fa4bdf67c27f616eadb836fbba6033537c28e71a7837b5ee9e8f09cbd2,False,False,False,False,False
