source_round,source_stage,path,label_role,exists,rows,generated_rows,unique_candidates,unique_contexts,g554_contexts,bytes,sha256_if_compact,commit_policy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554,stage1_fresh_screening,outputs/logs/phase5p5_repair5g554_stage1_fresh_screening/stage1_fresh_screening_results.csv,mixed_primary_if_g554_present_else_auxiliary,True,260096,257048,3000,1016,84,386532395,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g554,stage2_nearmiss_expansion,outputs/logs/phase5p5_repair5g554_stage2_nearmiss_expansion/stage2_nearmiss_expansion_results.csv,primary_vs_g554_c00051,True,360013,353770,170,2081,2081,531831393,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g555,validation,outputs/logs/phase5p5_repair5g555_validation/validation_results.csv,primary_vs_g554_c00051,True,120010,87280,8,10910,10910,185471230,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g555,blind,outputs/logs/phase5p5_repair5g555_blind/blind_results.csv,primary_vs_g554_c00051_holdout,True,120000,60000,3,20000,20000,172212242,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g550,fulltheta_expansion,outputs/logs/phase5p5_repair5g550_fulltheta_expansion/fulltheta_expansion_results.csv,auxiliary_vs_old_hand_staticflow,True,68570,64820,8192,1176,0,79952602,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g550,active_theta_search,outputs/logs/phase5p5_repair5g550_active_theta_search/active_theta_search_results.csv,auxiliary_vs_old_hand_staticflow,True,50065,49600,8192,155,0,57738910,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g550,generated_theta_targeted,outputs/logs/phase5p5_repair5g550_generated_theta_targeted/generated_theta_targeted_results.csv,auxiliary_vs_old_hand_staticflow,True,30006,25005,128,1135,0,46475500,ad8e83afd81603e74287aaf7c7d10bf72921340d2a9c2e3d681b91f1f75f90d2,commit_if_in_scope,False,False,False,False,False
g551,iteration_label_expansion,outputs/logs/phase5p5_repair5g551_iteration_label_expansion/iteration_label_expansion_results.csv,auxiliary_vs_old_hand_staticflow,True,64011,53904,416,2279,0,107063877,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
g551,generated_theta_targeted,outputs/logs/phase5p5_repair5g551_generated_theta_targeted/generated_theta_targeted_results.csv,auxiliary_vs_old_hand_staticflow,True,60012,50010,27,2080,0,102103363,,do_not_commit_raw_csv_over_50mb,False,False,False,False,False
