failure_against,map_family,agents,budget_ms,iteration,selected_candidate,baseline_candidate,success_regression,quality_delta_ratio,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,False,0.05903560162,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,500,0,repair5g59_static_flow_shield,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,500,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,500,0,repair5g59_static_flow_shield,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,500,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,500,0,repair5g59_static_flow_shield,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,500,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,50,1000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
additive,random,100,2000,1,repair5g59_wait_aggressive,repair5g59_additive_fallback,True,,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.05270588236,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01555352241,False,False,False,False,False
static_flow,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.04610655737,False,False,False,False,False
static_flow,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.04610655737,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.09238395673,False,False,False,False,False
static_flow,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.02027940513,False,False,False,False,False
static_flow,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.02062328139,False,False,False,False,False
static_flow,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01879010083,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01540436457,False,False,False,False,False
static_flow,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01540436457,False,False,False,False,False
static_flow,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01118067978,False,False,False,False,False
static_flow,maze,50,2000,final,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01073345259,False,False,False,False,False
static_flow,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
static_flow,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_static_flow_shield,True,,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01799242425,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.02952380952,False,False,False,False,False
best_family_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01809523809,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01642710472,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.03114186851,False,False,False,False,False
best_family_static,random,100,500,0,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
best_family_static,random,100,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01432181971,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01166666667,False,False,False,False,False
best_family_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01166666667,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.00529100529,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01956947162,False,False,False,False,False
best_family_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01956947162,False,False,False,False,False
best_family_static,random,100,500,0,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
best_family_static,random,100,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,True,,False,False,False,False,False
best_family_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01910219675,False,False,False,False,False
best_family_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01910219675,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_high_beta_cap_safe,False,0.0545882353,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01799242425,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.02952380952,False,False,False,False,False
primary_static,random,50,2000,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01809523809,False,False,False,False,False
primary_static,random,50,2000,1,repair5g59_static_flow_shield,repair5g59_wait_aggressive,False,0.01642710472,False,False,False,False,False
primary_static,maze,50,2000,1,repair5g59_low_beta_high_cap,repair5g59_static_flow_shield,False,0.01555352241,False,False,False,False,False
primary_static,warehouse,50,2000,0,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
primary_static,warehouse,50,2000,final,repair5g59_additive_fallback,repair5g59_high_beta_cap_safe,True,,False,False,False,False,False
