candidate_id,generated_theta_uid,registry_role,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,replay_phase,method
g556_c063174,,g561_replay_g556_baseline,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,False,False,False,False,False,,
g561_g0_direct_actor_932ff70a9c2c,ca5130f7febed9d0e8e182d3d52e65f16edf74d8e915c3b9ba22efa4201c5d5e,g561_replay_actor_theta,1.2493200302124023,1.1594165563583374,1.2659001350402832,0.725360631942749,0.7796816229820251,1.0301028490066528,0.6918763518333435,0.9814795255661011,1.0,0.671909749507904,0.640710175037384,0.35145506262779236,0.9138315916061401,1.0,10.746353149414062,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_826903132e4d,d7696898f8dedfb1c6c8b2c6fd08a4cde299dc9f347af85345a1eb3050cf7c24,g561_replay_actor_theta,1.251220703125,1.1583048105239868,1.2572240829467773,0.725178599357605,0.7719560861587524,1.0347989797592163,0.692933976650238,0.9816468358039856,1.0,0.6789864897727966,0.6403147578239441,0.34595566987991333,0.9030945301055908,1.0,10.765562057495117,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_578107b99e99,8ec7888e0731fcb47fe9890e52be775074f6e2643bdfc7cf57029b7a2ee4d46b,g561_replay_actor_theta,1.2473020553588867,1.1815696954727173,1.3009964227676392,0.7667600512504578,0.7652637958526611,1.0376715660095215,0.694747269153595,0.9785505533218384,1.0,0.6534727215766907,0.6451815366744995,0.338952898979187,0.8831436634063721,0.9985669255256653,10.549752235412598,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_53ccfc888e77,cf4ebc0b1f70a93fe3a72a01c66be9a5d54db0627d3c13f229446ac6b7a76312,g561_replay_actor_theta,1.2450380325317383,1.160396695137024,1.26626718044281,0.7304880619049072,0.773479163646698,1.0307377576828003,0.692011833190918,0.9808875322341919,1.0,0.6767843961715698,0.6413084864616394,0.35073113441467285,0.9039875864982605,1.0,10.74680233001709,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_d915ed5aa531,99bcdfdcc2c6da68ab00b97aac06e8bccf82fe2055be69dd2cf3a7fdbaa65c3c,g561_replay_actor_theta,1.2509125471115112,1.1574815511703491,1.2462958097457886,0.7269394397735596,0.7514621615409851,1.0427658557891846,0.6940448880195618,0.98122638463974,1.0,0.6827347278594971,0.6445549130439758,0.3392258882522583,0.8836873769760132,1.0,10.779642105102539,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_40967381076f,2b454219d400c382590f000deea23f2e9aa648a67845f9881074ab9ef90bfcb6,g561_replay_actor_theta,1.2417644262313843,1.1878293752670288,1.278254508972168,0.7789366245269775,0.7741630673408508,1.0548030138015747,0.6955200433731079,0.9775256514549255,1.0,0.6553023457527161,0.633906900882721,0.334393173456192,0.8574120998382568,1.0,10.626644134521484,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_1f8fc7c2b4bb,59861d06b2474a144734635ff376bf612635bd3c4d4c04a9c179de3dd61b9d91,g561_replay_actor_theta,1.2413246631622314,1.1616538763046265,1.2579262256622314,0.7403357028961182,0.7634448409080505,1.032422423362732,0.6926651000976562,0.9800086617469788,1.0,0.6804946064949036,0.644778311252594,0.347402960062027,0.8833640217781067,0.999081552028656,10.765178680419922,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_24d57c67339d,c6fd9285325ca2e4b7121a45b43c6cd97ca2842f1123441e19cb7b3cb562283e,g561_replay_actor_theta,1.2487452030181885,1.1599599123001099,1.2500509023666382,0.733357310295105,0.7464471459388733,1.0430532693862915,0.6940903663635254,0.9806545972824097,1.0,0.6808777451515198,0.6459178924560547,0.3425459563732147,0.8915666341781616,0.999925971031189,10.781070709228516,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
g561_g0_direct_actor_37ba931e8335,a0a46f7798afced8844763fd0aa54cc72880e426ea66c3cd0db591ecbed84dd3,g561_replay_actor_theta,1.2330710887908936,1.206496000289917,1.2526614665985107,0.7937244176864624,0.7831025719642639,1.0732964277267456,0.7002114057540894,0.9763752818107605,1.0,0.6445820331573486,0.6102126240730286,0.335834801197052,0.83829665184021,1.0,10.681448936462402,1,0,0,False,False,False,False,False,corrected_g560_scalar_replay,G0_direct_actor
