registry_row_id,candidate_id,registry_label,candidate_group,theta_cluster,changed_field_for_smoke_pair,materialization_family,bounded_updateparams,full_only_field_varied,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g549_registry_000001,repair5g549_theta_549000001,static_flow_local_perturbation_fulltheta_0000,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,static_flow_local_perturbation_fulltheta,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1.03503932992,0.95,1,1.23452993094,1.20241499517,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000002,repair5g549_theta_549000002,lambda_flow_lambda_cong_sweep_0001,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,lambda_flow_lambda_cong_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.703692592615,0.0762838474323,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000003,repair5g549_theta_549000003,alpha_flow_wait_progress_sweep_0002,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.5445501609,0.95,1,1,0.640902218196,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000004,repair5g549_theta_549000004,edge_cost_clamp_sweep_0003,edge_cost_clamp_sweep,edge_cost_clamp_sweep,edge_cost_clamp_sweep,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.849183551633,10.1785956428,1,0,0,False,False,False,False,False
g549_registry_000005,repair5g549_theta_549000005,goal_projection_mode_ablation_0004,goal_projection_mode_ablation,goal_projection_mode_ablation,goal_projection_mode_ablation,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.46084407831,0.35,0.75,1,11,0,1,0,False,False,False,False,False
g549_registry_000006,repair5g549_theta_549000006,alpha_cong_commit_nonprogress_sweep_0005,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep,repair5g549_fulltheta_registry,True,True,1.25,0.612231025538,1.25,0.75,0.75,1,1,0.95,1,0.825583348833,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000007,repair5g549_theta_549000007,g543_true_near_signal_neighborhood_0006,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,g543_true_near_signal_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.660884478231,0.321962756074,0.938327623345,1,11,1,0,0,False,False,False,False,False
g549_registry_000008,repair5g549_theta_549000008,g546_g548_safe_no_gain_neighborhood_0007,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,g546_g548_safe_no_gain_neighborhood,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,0.695458009084,0.95,1,0.972872204256,1,0.35,0.75,0.407684134632,11,1,0,0,False,False,False,False,False
g549_registry_000009,repair5g549_theta_549000009,surrogate_guided_theta_if_model_exists_0008,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,surrogate_guided_theta_if_model_exists,repair5g549_fulltheta_registry,True,True,1.25,1.49003971992,1.25,0.75,0.75,1,1,0.95,1,0.711585476829,0.9074000852,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g549_registry_000010,repair5g549_theta_549000010,negative_control_0009,negative_control,negative_control,negative_control,repair5g549_fulltheta_registry,True,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.3124513751,0.662446675107,0.35,0.75,1,9.34274531451,0,0,1,False,False,False,False,False
