model,bootstrap_sample,top3_safe_oracle_capture_rate,safe_policy_sim_utility,candidate_induced_no_solution_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
agent_density_specialist_mixture,0,0.13333333333333333,0.0061468311254999995,9,False,False,False,False,False
agent_density_specialist_mixture,1,0.125,0.006253711380333332,4,False,False,False,False,False
agent_density_specialist_mixture,2,0.13333333333333333,0.007618618686833335,8,False,False,False,False,False
agent_density_specialist_mixture,3,0.15833333333333333,0.0073418197580833325,6,False,False,False,False,False
agent_density_specialist_mixture,4,0.05,0.008679490818833336,9,False,False,False,False,False
agent_density_specialist_mixture,5,0.15,0.00786050162883333,9,False,False,False,False,False
agent_density_specialist_mixture,6,0.11666666666666667,0.004753547769583336,9,False,False,False,False,False
agent_density_specialist_mixture,7,0.175,0.007503583040749998,8,False,False,False,False,False
agent_density_specialist_mixture,8,0.15,0.004818444712666668,6,False,False,False,False,False
agent_density_specialist_mixture,9,0.16666666666666666,0.007708359982750002,8,False,False,False,False,False
agent_density_specialist_mixture,10,0.14166666666666666,0.009488943181083332,6,False,False,False,False,False
agent_density_specialist_mixture,11,0.10833333333333334,0.009606267595333333,5,False,False,False,False,False
agent_density_specialist_mixture,12,0.13333333333333333,0.008821977529999999,8,False,False,False,False,False
agent_density_specialist_mixture,13,0.15,0.008405242181,5,False,False,False,False,False
agent_density_specialist_mixture,14,0.10833333333333334,0.009600228806333337,6,False,False,False,False,False
agent_density_specialist_mixture,15,0.11666666666666667,0.009338851121833332,7,False,False,False,False,False
agent_density_specialist_mixture,16,0.18333333333333332,0.005914582729999996,5,False,False,False,False,False
agent_density_specialist_mixture,17,0.125,0.009220374975166668,6,False,False,False,False,False
agent_density_specialist_mixture,18,0.125,0.006362194429083334,6,False,False,False,False,False
agent_density_specialist_mixture,19,0.18333333333333332,0.005773201564000001,5,False,False,False,False,False
agent_density_specialist_mixture,20,0.075,0.004932441569666669,8,False,False,False,False,False
agent_density_specialist_mixture,21,0.15,0.005119461249583334,4,False,False,False,False,False
agent_density_specialist_mixture,22,0.11666666666666667,0.007426443757333332,10,False,False,False,False,False
agent_density_specialist_mixture,23,0.1,0.008686166862250006,5,False,False,False,False,False
agent_density_specialist_mixture,24,0.09166666666666666,0.005786953100083333,3,False,False,False,False,False
agent_density_specialist_mixture,25,0.15,0.006632136531166665,10,False,False,False,False,False
agent_density_specialist_mixture,26,0.16666666666666666,0.007554381577583332,11,False,False,False,False,False
agent_density_specialist_mixture,27,0.125,0.005846418284916667,11,False,False,False,False,False
agent_density_specialist_mixture,28,0.125,0.008714335954333335,6,False,False,False,False,False
agent_density_specialist_mixture,29,0.14166666666666666,0.005714115013416666,6,False,False,False,False,False
agent_density_specialist_mixture,30,0.11666666666666667,0.006056532708249998,4,False,False,False,False,False
agent_density_specialist_mixture,31,0.10833333333333334,0.007908635361666664,6,False,False,False,False,False
agent_density_specialist_mixture,32,0.19166666666666668,0.003338494969583332,6,False,False,False,False,False
agent_density_specialist_mixture,33,0.10833333333333334,0.0084960214515,6,False,False,False,False,False
agent_density_specialist_mixture,34,0.13333333333333333,0.007310350703916666,8,False,False,False,False,False
agent_density_specialist_mixture,35,0.14166666666666666,0.009250296190499998,8,False,False,False,False,False
agent_density_specialist_mixture,36,0.125,0.008680041989583335,8,False,False,False,False,False
agent_density_specialist_mixture,37,0.09166666666666666,0.006595696735750001,4,False,False,False,False,False
agent_density_specialist_mixture,38,0.18333333333333332,0.006468369735000002,14,False,False,False,False,False
agent_density_specialist_mixture,39,0.10833333333333334,0.007548218457333332,3,False,False,False,False,False
agent_density_specialist_mixture,40,0.125,0.006466897852999997,7,False,False,False,False,False
agent_density_specialist_mixture,41,0.16666666666666666,0.004291107437583334,6,False,False,False,False,False
agent_density_specialist_mixture,42,0.1,0.0074034338802500006,11,False,False,False,False,False
agent_density_specialist_mixture,43,0.14166666666666666,0.008311565793083337,7,False,False,False,False,False
agent_density_specialist_mixture,44,0.13333333333333333,0.007865162556916666,5,False,False,False,False,False
agent_density_specialist_mixture,45,0.15833333333333333,0.008093452834416669,13,False,False,False,False,False
agent_density_specialist_mixture,46,0.15,0.006081908092750001,9,False,False,False,False,False
agent_density_specialist_mixture,47,0.2,0.004440139125083333,6,False,False,False,False,False
agent_density_specialist_mixture,48,0.14166666666666666,0.010089855497083333,9,False,False,False,False,False
agent_density_specialist_mixture,49,0.10833333333333334,0.008456507255333331,7,False,False,False,False,False
agent_density_specialist_mixture,50,0.13333333333333333,0.0068682037238333325,8,False,False,False,False,False
agent_density_specialist_mixture,51,0.1,0.008752907740500004,5,False,False,False,False,False
agent_density_specialist_mixture,52,0.14166666666666666,0.008545496181666667,2,False,False,False,False,False
agent_density_specialist_mixture,53,0.13333333333333333,0.007290131533749998,12,False,False,False,False,False
agent_density_specialist_mixture,54,0.14166666666666666,0.007571986361166666,7,False,False,False,False,False
agent_density_specialist_mixture,55,0.15833333333333333,0.0050063171525,6,False,False,False,False,False
agent_density_specialist_mixture,56,0.15,0.007908609276666667,3,False,False,False,False,False
agent_density_specialist_mixture,57,0.09166666666666666,0.008770829045166665,14,False,False,False,False,False
agent_density_specialist_mixture,58,0.125,0.009307792273083332,6,False,False,False,False,False
agent_density_specialist_mixture,59,0.225,0.006661683415249999,10,False,False,False,False,False
agent_density_specialist_mixture,60,0.10833333333333334,0.009334037885333336,7,False,False,False,False,False
agent_density_specialist_mixture,61,0.08333333333333333,0.0087246897055,10,False,False,False,False,False
agent_density_specialist_mixture,62,0.11666666666666667,0.01272408446708333,7,False,False,False,False,False
agent_density_specialist_mixture,63,0.15,0.006143320462833332,10,False,False,False,False,False
agent_density_specialist_mixture,64,0.14166666666666666,0.008822033269666664,5,False,False,False,False,False
agent_density_specialist_mixture,65,0.15,0.00728118235825,5,False,False,False,False,False
agent_density_specialist_mixture,66,0.11666666666666667,0.006171482955583333,8,False,False,False,False,False
agent_density_specialist_mixture,67,0.21666666666666667,0.005799340766999997,4,False,False,False,False,False
agent_density_specialist_mixture,68,0.10833333333333334,0.008300219612833332,10,False,False,False,False,False
agent_density_specialist_mixture,69,0.13333333333333333,0.00326233066325,8,False,False,False,False,False
agent_density_specialist_mixture,70,0.16666666666666666,0.005560547917583334,3,False,False,False,False,False
agent_density_specialist_mixture,71,0.14166666666666666,0.006441684098166668,5,False,False,False,False,False
agent_density_specialist_mixture,72,0.11666666666666667,0.006263653410499999,4,False,False,False,False,False
agent_density_specialist_mixture,73,0.125,0.007958273707499996,7,False,False,False,False,False
agent_density_specialist_mixture,74,0.15,0.005633432328583332,8,False,False,False,False,False
agent_density_specialist_mixture,75,0.13333333333333333,0.006939329829500002,6,False,False,False,False,False
agent_density_specialist_mixture,76,0.175,0.006176689758666669,11,False,False,False,False,False
agent_density_specialist_mixture,77,0.15833333333333333,0.0021763539002499998,5,False,False,False,False,False
agent_density_specialist_mixture,78,0.15833333333333333,0.006801252295833335,6,False,False,False,False,False
agent_density_specialist_mixture,79,0.16666666666666666,0.005128182431250001,5,False,False,False,False,False
