topology_id,map,map_family,graph_cache_path,free_cells,directed_edge_count_proxy,node_feature_count,edge_feature_count,node_features,edge_features,bottleneck_score_proxy,structural_positional_encoding,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_topology_000_empty,empty-32-32,empty,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_000_empty_graph_features.parquet,1024,4096,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.217914074172,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_001_empty,empty-48-48,empty,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_001_empty_graph_features.parquet,2304,9216,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.286335437329,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_002_empty,empty-16-16,empty,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_002_empty_graph_features.parquet,256,1024,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.314598930802,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_003_random,random-32-32-20,random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_003_random_graph_features.parquet,819,3276,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.129762900474,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_004_random,random-64-64-20,random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_004_random_graph_features.parquet,3276,13104,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.133726642547,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_005_random,random-32-32-10,random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_005_random_graph_features.parquet,921,3684,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.120139319721,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_006_random,random-64-64-10,random,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_006_random_graph_features.parquet,3686,14744,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.114237631525,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_007_maze,maze-32-32-4,maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_007_maze_graph_features.parquet,737,2948,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.66486008028,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_008_maze,maze-32-32-2,maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_008_maze_graph_features.parquet,819,3276,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.527938954122,grid_xy_degree_betweenness_proxy,False,False,False,False,False
g557_topology_009_maze,maze-128-128-2,maze,/root/shared-nvme/czr004_g557_remote_artifacts/features/g557_topology_009_maze_graph_features.parquet,13107,52428,13,7,x_norm;y_norm;degree;is_dead_end;is_corridor_cell;is_room_interior;is_door_candidate;is_articulation_or_near_cut;local_obstacle_density;static_betweenness_approx;start_density;goal_density;pre_run_node_flow_prior,orientation;undirected_edge_betweenness_approx;shortest_path_flow_prior;opposing_flow_prior;flow_imbalance;corridor_axis_alignment;potential_head_on_conflict_prior,0.42497476005,grid_xy_degree_betweenness_proxy,False,False,False,False,False
