candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00942,random,100,1000,stage1_short1000_t100_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,100,1000,stage1_short5000_t100_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,100,2000,stage1_short1000_t050_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,100,2000,stage1_short2000_t100_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,100,500,stage1_short1000_t050_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,100,500,stage1_short2000_t100_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short1000_t050_i2,5,0,5,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short1000_t050_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short1000_t100_i2,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short1000_t100_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short2000_t050_i2,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short2000_t050_i4,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short2000_t100_i2,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short2000_t100_i4,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short5000_t050_i2,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short5000_t050_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short5000_t100_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,1000,stage1_short5000_t100_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short1000_t050_i2,4,0,4,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short1000_t050_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short1000_t100_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short1000_t100_i4,4,0,4,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short2000_t050_i2,4,0,4,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short2000_t050_i4,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short2000_t100_i2,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short2000_t100_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short5000_t050_i2,4,0,4,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short5000_t050_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short5000_t100_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,2000,stage1_short5000_t100_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short1000_t050_i2,4,0,4,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short1000_t050_i4,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short1000_t100_i2,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short1000_t100_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short2000_t050_i2,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short2000_t050_i4,4,0,4,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short2000_t100_i2,3,0,3,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short2000_t100_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short5000_t050_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short5000_t050_i4,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short5000_t100_i2,1,0,1,0,0,0,False,False,False,False,False
g554_c00942,random,50,500,stage1_short5000_t100_i4,2,0,2,0,0,0,False,False,False,False,False
g554_c00948,random,100,1000,stage1_short1000_t100_i4,1,0,1,0.04285714286,0,1,False,False,False,False,False
g554_c00948,random,100,1000,stage1_short5000_t100_i2,1,0,1,-0.02722658053,1,0,False,False,False,False,False
g554_c00948,random,100,2000,stage1_short1000_t050_i2,1,0,1,0.03089143866,0,1,False,False,False,False,False
g554_c00948,random,100,2000,stage1_short2000_t100_i4,1,0,1,-0.00368493782,0,0,False,False,False,False,False
g554_c00948,random,100,500,stage1_short1000_t050_i4,1,0,1,0.01829561868,0,1,False,False,False,False,False
g554_c00948,random,100,500,stage1_short2000_t100_i2,1,0,1,0.0099384761,0,1,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short1000_t050_i2,4,0,4,0.006225959535,2,2,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short1000_t050_i4,2,0,2,0.0145667267,0,2,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short1000_t100_i2,3,0,3,-0.01058836592,2,0,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short1000_t100_i4,1,0,1,-0.01012461059,1,0,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short2000_t050_i2,3,0,3,0.00945057427333,0,2,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short2000_t050_i4,3,0,3,-0.0109213751367,1,1,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short2000_t100_i2,3,0,3,0.01249970178,1,2,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short2000_t100_i4,4,0,4,-0.00648811912,3,0,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short5000_t050_i2,2,0,2,-0.004775266275,1,1,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short5000_t050_i4,2,0,2,0.00862272212,0,1,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short5000_t100_i2,1,0,1,0.02333931777,0,1,False,False,False,False,False
g554_c00948,random,50,1000,stage1_short5000_t100_i4,1,0,1,0.0008912656,0,0,False,False,False,False,False
g554_c00948,random,50,2000,stage1_short1000_t050_i2,4,0,4,0.0077006004525,2,2,False,False,False,False,False
g554_c00948,random,50,2000,stage1_short1000_t050_i4,2,0,2,0.00143887012,1,1,False,False,False,False,False
g554_c00948,random,50,2000,stage1_short1000_t100_i2,1,0,1,-0.00898692811,1,0,False,False,False,False,False
g554_c00948,random,50,2000,stage1_short1000_t100_i4,4,0,4,-0.0068173528575,2,0,False,False,False,False,False
g554_c00948,random,50,2000,stage1_short2000_t050_i2,4,0,4,0.010998770765,0,2,False,False,False,False,False
g554_c00948,random,50,2000,stage1_short2000_t050_i4,3,0,3,-0.00431322543667,2,1,False,False,False,False,False
