baseline_level,map_family,budget_ms,agents,support_rows,success_regression_count_vs_additive,success_gain_count_vs_additive,quality_only_mean_delta_vs_additive,quality_only_mean_delta_vs_static_flow,fallback_or_additive_selection_rate,top_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
additive_ltm,maze,1000,100,50,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,maze,1000,50,60,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,maze,2000,100,51,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,maze,2000,50,63,0,0,0,0.017627662923,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,maze,500,100,50,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,maze,500,50,50,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,random,1000,100,50,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,random,1000,50,96,0,0,0,-0.0001402961808,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,random,2000,100,81,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,random,2000,50,73,0,0,0,0.0253684380905,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,random,500,100,50,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,random,500,50,50,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,warehouse,1000,100,12,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,warehouse,1000,50,20,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,warehouse,2000,100,6,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,warehouse,2000,50,19,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,warehouse,500,100,14,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
additive_ltm,warehouse,500,50,20,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_budget_static_goal_aware,maze,1000,100,50,28,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_budget_static_goal_aware,maze,1000,50,60,28,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_budget_static_goal_aware,maze,2000,100,51,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_budget_static_goal_aware,maze,2000,50,63,0,1,-0.0213963400881,-0.00241994414744,0,repair5g59_flow_decay,False,False,False,False,False
best_budget_static_goal_aware,maze,500,100,50,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_budget_static_goal_aware,maze,500,50,50,28,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_budget_static_goal_aware,random,1000,100,50,28,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_budget_static_goal_aware,random,1000,50,96,35,0,-0.0037371446844,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_budget_static_goal_aware,random,2000,100,81,7,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_budget_static_goal_aware,random,2000,50,73,2,4,-0.0264158615345,0.000238009626071,0,repair5g59_flow_decay,False,False,False,False,False
best_budget_static_goal_aware,random,500,100,50,21,1,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_budget_static_goal_aware,random,500,50,50,28,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_budget_static_goal_aware,warehouse,1000,100,12,0,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_budget_static_goal_aware,warehouse,1000,50,20,0,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_budget_static_goal_aware,warehouse,2000,100,6,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_budget_static_goal_aware,warehouse,2000,50,19,0,3,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_budget_static_goal_aware,warehouse,500,100,14,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_budget_static_goal_aware,warehouse,500,50,20,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_budget_static_goal_aware,maze,1000,100,50,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
best_family_budget_static_goal_aware,maze,1000,50,60,0,0,0,0,0,repair5g59_static_flow_shield,False,False,False,False,False
best_family_budget_static_goal_aware,maze,2000,100,51,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_family_budget_static_goal_aware,maze,2000,50,63,0,1,-0.0213963400881,-0.00241994414744,0,repair5g59_flow_decay,False,False,False,False,False
best_family_budget_static_goal_aware,maze,500,100,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_family_budget_static_goal_aware,maze,500,50,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_family_budget_static_goal_aware,random,1000,100,50,28,0,0,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_family_budget_static_goal_aware,random,1000,50,96,35,0,-0.0037371446844,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_family_budget_static_goal_aware,random,2000,100,81,33,1,-0.00237781617889,0,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_family_budget_static_goal_aware,random,2000,50,73,32,1,-0.00459594264385,0.0460036969746,0,repair5g59_c_only_f_disabled,False,False,False,False,False
best_family_budget_static_goal_aware,random,500,100,50,21,1,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_budget_static_goal_aware,random,500,50,50,28,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_budget_static_goal_aware,warehouse,1000,100,12,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_budget_static_goal_aware,warehouse,1000,50,20,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_budget_static_goal_aware,warehouse,2000,100,6,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_family_budget_static_goal_aware,warehouse,2000,50,19,0,3,0,0,0,repair5g59_flow_decay,False,False,False,False,False
best_family_budget_static_goal_aware,warehouse,500,100,14,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_budget_static_goal_aware,warehouse,500,50,20,0,0,0,0,0,repair5g59_block_heavy_flow_guard,False,False,False,False,False
best_family_static_goal_aware,maze,1000,100,50,28,0,0,0,0,repair5g59_low_beta_high_cap,False,False,False,False,False
best_family_static_goal_aware,maze,1000,50,60,28,0,0,0,0,repair5g59_low_beta_high_cap,False,False,False,False,False
best_family_static_goal_aware,maze,2000,100,51,28,0,0,0,0,repair5g59_low_beta_high_cap,False,False,False,False,False
best_family_static_goal_aware,maze,2000,50,63,30,0,-0.0251393134004,-0.00377870457729,0,repair5g59_low_beta_high_cap,False,False,False,False,False
best_family_static_goal_aware,maze,500,100,50,0,0,0,0,0,repair5g59_low_beta_high_cap,False,False,False,False,False
best_family_static_goal_aware,maze,500,50,50,28,0,0,0,0,repair5g59_low_beta_high_cap,False,False,False,False,False
best_family_static_goal_aware,random,1000,100,50,28,0,0,0,0,repair5g59_wait_aggressive,False,False,False,False,False
best_family_static_goal_aware,random,1000,50,96,38,0,0,0,0,repair5g59_wait_aggressive,False,False,False,False,False
best_family_static_goal_aware,random,2000,100,81,35,0,0,0,0,repair5g59_wait_aggressive,False,False,False,False,False
best_family_static_goal_aware,random,2000,50,73,32,1,-0.0486691044746,0.00193053514385,0,repair5g59_wait_aggressive,False,False,False,False,False
best_family_static_goal_aware,random,500,100,50,22,3,0,0,0,repair5g59_wait_aggressive,False,False,False,False,False
best_family_static_goal_aware,random,500,50,50,28,0,0,0,0,repair5g59_wait_aggressive,False,False,False,False,False
best_family_static_goal_aware,warehouse,1000,100,12,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_family_static_goal_aware,warehouse,1000,50,20,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_family_static_goal_aware,warehouse,2000,100,6,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_family_static_goal_aware,warehouse,2000,50,19,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_family_static_goal_aware,warehouse,500,100,14,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_family_static_goal_aware,warehouse,500,50,20,0,0,0,0,1,repair5g59_additive_fallback,False,False,False,False,False
best_fixed_static_goal_aware,maze,1000,100,50,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,maze,1000,50,60,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,maze,2000,100,51,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,maze,2000,50,63,1,0,-0.0180761133587,0.000313975479245,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,maze,500,100,50,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,maze,500,50,50,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,random,1000,100,50,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,random,1000,50,96,10,0,0.0001402961808,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,random,2000,100,81,7,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,random,2000,50,73,1,1,-0.0315620441968,-0.00334129820091,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,random,500,100,50,5,9,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,random,500,50,50,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,warehouse,1000,100,12,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,warehouse,1000,50,20,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,warehouse,2000,100,6,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,warehouse,2000,50,19,3,1,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,warehouse,500,100,14,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_fixed_static_goal_aware,warehouse,500,50,20,0,0,0,0,0,repair5g59_high_beta_cap_safe,False,False,False,False,False
best_safe_static_oracle_upper_bound,maze,1000,100,50,0,0,0,0,0,repair5g59_flow_decay,False,False,False,False,False
