plan_row_id,context_id,g568_method,agent_count,solver_internal_time_limit_sec,process_hard_timeout_sec,row_budget_audit_decision,row_budget_audit_failures
g568_ltm30_labeltrain1000_existingrow_00000000,g567_gate3b_calibration_00175,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000001,g567_gate3b_calibration_00175,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000002,g567_gate3b_calibration_00174,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000003,g567_gate3b_calibration_00174,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000004,g567_gate3b_calibration_00176,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000005,g567_gate3b_calibration_00176,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000006,g567_gate3b_calibration_00172,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000007,g567_gate3b_calibration_00172,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000008,g567_gate3b_calibration_00173,ltm_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000009,g567_gate3b_calibration_00173,static_flow_30s,16,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000010,g567_gate3b_calibration_00208,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000011,g567_gate3b_calibration_00208,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000012,g567_gate3b_calibration_00213,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000013,g567_gate3b_calibration_00213,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000014,g567_gate3b_calibration_00210,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000015,g567_gate3b_calibration_00210,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000016,g567_gate3b_calibration_00209,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000017,g567_gate3b_calibration_00209,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000018,g567_gate3b_calibration_00211,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000019,g567_gate3b_calibration_00211,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000020,g567_gate3b_calibration_00212,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000021,g567_gate3b_calibration_00212,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000022,g567_gate3b_calibration_00214,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000023,g567_gate3b_calibration_00214,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000024,g567_gate3b_calibration_00205,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000025,g567_gate3b_calibration_00205,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000026,g567_gate3b_calibration_00206,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000027,g567_gate3b_calibration_00206,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000028,g567_gate3b_calibration_00207,ltm_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000029,g567_gate3b_calibration_00207,static_flow_30s,64,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000030,g567_gate3b_calibration_00224,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000031,g567_gate3b_calibration_00224,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000032,g567_gate3b_calibration_00231,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000033,g567_gate3b_calibration_00231,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000034,g567_gate3b_calibration_00229,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000035,g567_gate3b_calibration_00229,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000036,g567_gate3b_calibration_00230,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000037,g567_gate3b_calibration_00230,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000038,g567_gate3b_calibration_00228,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000039,g567_gate3b_calibration_00228,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000040,g567_gate3b_calibration_00232,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000041,g567_gate3b_calibration_00232,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000042,g567_gate3b_calibration_00222,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000043,g567_gate3b_calibration_00222,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000044,g567_gate3b_calibration_00226,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000045,g567_gate3b_calibration_00226,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000046,g567_gate3b_calibration_00221,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000047,g567_gate3b_calibration_00221,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000048,g567_gate3b_calibration_00236,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000049,g567_gate3b_calibration_00236,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000050,g567_gate3b_calibration_00235,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000051,g567_gate3b_calibration_00235,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000052,g567_gate3b_calibration_00223,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000053,g567_gate3b_calibration_00223,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000054,g567_gate3b_calibration_00233,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000055,g567_gate3b_calibration_00233,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000056,g567_gate3b_calibration_00227,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000057,g567_gate3b_calibration_00227,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000058,g567_gate3b_calibration_00225,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000059,g567_gate3b_calibration_00225,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000060,g567_gate3b_calibration_00234,ltm_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000061,g567_gate3b_calibration_00234,static_flow_30s,256,30.0,60.0,pass,
g568_ltm30_labeltrain1000_existingrow_00000062,g567_gate3b_calibration_00238,ltm_30s,384,30.0,60.0,pass,
