split,contexts,complete_triples,ltm_30s_success_rate,ltm_30s_median_ratio,static_flow_30s_success_rate,static_flow_30s_median_ratio,gate3b_actor_30s_success_rate,gate3b_actor_30s_median_ratio,actor_vs_ltm_median_relative_quality_improvement,actor_vs_ltm_success_gain_count,actor_vs_ltm_success_regression_count,actor_vs_static_flow_median_relative_quality_improvement,actor_vs_static_flow_success_gain_count,actor_vs_static_flow_success_regression_count,static_flow_vs_ltm_median_relative_quality_improvement,static_flow_vs_ltm_success_gain_count,static_flow_vs_ltm_success_regression_count
CALIBRATION,72,72,1.0,1.23394490725,1.0,1.2278307477250001,0.8888888888888888,1.249760329885,-0.01094012732642977,0,8,-0.016115931902925942,0,8,0.0019759526346165646,0,0
DEVELOPMENT,166,166,1.0,1.108429467925,1.0,1.089139610785,1.0,1.09479286158,0.006801858925101035,0,0,-0.0031330309446678975,0,0,0.0062122610086587015,0,0
