map_family,agents,nominal_budget_ms,horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,solver_rows_materialized,finite_ratio_rows,finite_ratio_rate,static_flow_rows,static_flow_success_rate,both_success_quality_pairs_vs_static_flow,candidate_recognized_all,fulltheta_fingerprint_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,evaluable,selection_reason
maze,100,2000,c0_short2000_t050_i2,2000,0.5,2,35,35,1,5,1,20,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,100,2000,c0_short5000_t050_i2,5000,0.5,2,35,35,1,5,1,20,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,50,2000,c0_short1000_t050_i2,1000,0.5,2,42,41,0.97619047619,6,0.833333333333,20,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,50,2000,c0_short2000_t050_i2,2000,0.5,2,42,41,0.97619047619,6,0.833333333333,20,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,50,2000,c0_short5000_t050_i2,5000,0.5,2,42,41,0.97619047619,6,0.833333333333,20,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,50,2000,g549_core_short1000_t050_i2,1000,0.5,2,1020,985,0.96568627451,34,0.970588235294,886,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,50,2000,g549_core_short2000_t050_i2,2000,0.5,2,960,960,1,32,1,864,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
maze,50,2000,g549_core_short5000_t050_i2,5000,0.5,2,960,960,1,32,1,864,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,100,2000,c0_short1000_t050_i2,1000,0.5,2,42,39,0.928571428571,6,1,22,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,100,2000,c0_short2000_t050_i2,2000,0.5,2,42,42,1,6,1,24,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,100,2000,c0_short5000_t050_i2,5000,0.5,2,42,42,1,6,1,24,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,c0_short1000_t050_i2,1000,0.5,2,42,42,1,6,1,24,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,c0_short2000_t050_i2,2000,0.5,2,42,42,1,6,1,24,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,c0_short5000_t050_i2,5000,0.5,2,42,42,1,6,1,24,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,c0_short500_t050_i2,500,0.5,2,42,42,1,6,1,24,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,g549_core_short1000_t050_i2,1000,0.5,2,1770,1766,0.997740112994,59,1,1590,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,g549_core_short2000_t050_i2,2000,0.5,2,1770,1767,0.998305084746,59,1,1591,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
random,50,2000,g549_core_short5000_t050_i2,5000,0.5,2,1740,1738,0.998850574713,58,1,1565,True,1,False,False,False,False,False,True,static_flow_success_rate>=0.20 and finite_ratio_rate>=0.20 and both_success_pairs>=20
