candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed,acquisition_family,candidate_source_family,multi_fidelity_stage,multi_fidelity_screening_backend,screened_from_full_response_surface,response_screening_score,response_surface_selected_rank,response_context_selected_rank,response_context_candidate_pool_rows,response_surface_candidate_pool_rows,response_surface_selected_rows,coverage_first_candidate,response_candidate_pass,primary_30s_exploratory_full_lattice_skipped,large_agent_30s_exploratory_full_lattice_skipped,selected_for_30s_exact_acquisition,primary_exact_solver_internal_time_limit_sec,primary_exact_process_hard_timeout_sec,selected_for_primary_exact_acquisition,raw_actor_variant_id
g567_g568_ltm30_existingrow_a5_s568_48052a191961,,,,,,,,,,,,,False,False,False,False,False,1.2500213384628296,1.1580219268798828,1.2500249147415161,0.7500000596046448,0.7500001192092896,1.040339708328247,0.6932659149169922,0.9799358248710632,1.0,0.6841555237770081,0.650000274181366,0.342875212430954,0.8705121874809265,1.0,10.830082893371582,1,0,0,1dae5a544d9cc6f7ddbac5b930df7cc78ef42d1b384fa5a7ae5f1a7eb85178c4,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_11249053f258,,,,,,,,,,,,,False,False,False,False,False,1.2500009536743164,1.158004879951477,1.250001072883606,0.7500009536743164,0.7500013709068298,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841554045677185,0.6500000357627869,0.34346094727516174,0.8714274168014526,1.0,10.833011627197266,1,0,0,c19d57e0672ea770e9fa0f73c01b91aa4742a278ca379d98e4387102b59c041f,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_96cfd2d0b101,,,,,,,,,,,,,False,False,False,False,False,1.250012993812561,1.1580150127410889,1.250015139579773,0.7500001192092896,0.7500001788139343,1.040339708328247,0.6932659149169922,0.9799358248710632,1.0,0.6841545701026917,0.6499988436698914,0.3433206081390381,0.871208131313324,1.0,10.83230972290039,1,0,0,b1bb51674672eea942084ed8945c5056363c92c2357fb1bc309bec775c49bf46,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_5026e7d80630,,,,,,,,,,,,,False,False,False,False,False,1.2510626316070557,1.158889651298523,1.2512397766113281,0.7498598694801331,0.7498037815093994,1.040339708328247,0.6932659149169922,0.9799358248710632,1.0,0.68415367603302,0.6499974727630615,0.34279537200927734,0.8703874349594116,1.0,10.829684257507324,1,0,0,03fe46528ed6a10b852f26387c1b0a45a127ce9597f193384c0d3e0e904c93ba,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_29f92a53ea7b,,,,,,,,,,,,,False,False,False,False,False,1.2501534223556519,1.1581320762634277,1.2501790523529053,0.7499817609786987,0.7499744296073914,1.040339708328247,0.6932659149169922,0.9799358248710632,1.0,0.6841557025909424,0.6500005125999451,0.3426826596260071,0.8702113628387451,1.0,10.829120635986328,1,0,0,b95005797eb0b672159e1b28af7b6beff8ec1a7a4c81e2e070464732fd91e057,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_bab42b38055b,,,,,,,,,,,,,False,False,False,False,False,1.2501534223556519,1.1581320762634277,1.2501790523529053,0.7499817609786987,0.7499744296073914,1.040339708328247,0.6932659149169922,0.9799358248710632,1.0,0.6841557025909424,0.6500005125999451,0.3426826596260071,0.8702113628387451,1.0,10.829120635986328,1,0,0,57326c7185e8ea297b3d577f7cc77f207026fc8418a4012f1e8f4b6d29e7dbf5,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_8198ef4c1fdd,,,,,,,,,,,,,False,False,False,False,False,1.2499995231628418,1.158003807067871,1.2499994039535522,0.750000536441803,0.7500007748603821,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841551065444946,0.6499996185302734,0.343203604221344,0.8710253238677979,1.0,10.831725120544434,1,0,0,433bd5588429a3dc9b287efbb50a8a0f802705c130f04f5a3e1954817bcbc61a,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_46c0e8da7977,,,,,,,,,,,,,False,False,False,False,False,1.2500008344650269,1.158004879951477,1.2500009536743164,0.7500003576278687,0.750000536441803,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841548681259155,0.64999920129776,0.3433532416820526,0.8712591528892517,1.0,10.832473754882812,1,0,0,db7094c1775f0e0e1fd32a01e59d4da0da56335eaf67db79de50a92f26915c2e,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_fd052b7fa464,,,,,,,,,,,,,False,False,False,False,False,1.2499995231628418,1.158003807067871,1.2499994039535522,0.7500002980232239,0.7500004768371582,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999165534973,0.3432405889034271,0.87108314037323,1.0,10.831910133361816,1,0,0,292c6810b6100dddeaa18295c002d7baaf59e5b36a1ca063499ab6256aeb1421,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
g567_g568_ltm30_existingrow_a5_s568_4f33e0aea728,,,,,,,,,,,,,False,False,False,False,False,1.2499991655349731,1.1580034494400024,1.2499990463256836,0.7500002980232239,0.7500004172325134,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841554045677185,0.6500000357627869,0.3431086242198944,0.8708769083023071,1.0,10.831250190734863,1,0,0,42d8446977873025eaff2f0e91c302e06f2fdd40eb424b066e11a1a58b6adf7f,g567_actor_generated_theta,g568_ltm30_existingrow,g567_A5_phase5p5_repair5g567_a5_hierarchical_od_perceiver_actor_seed568,A5,568,,,,,,,,,,,,,,,,,,,,
