ltm_target_map,selected_map,match_type,fallback,map_family,agent_tier,available_contexts,development_contexts,calibration_contexts,selected_for_primary_subset,agent_count_primary_ltm_style
empty-32-32,empty_32_32,normalized,False,empty,16,5,0,5,True,True
empty-32-32,empty_32_32,normalized,False,empty,24,6,0,6,False,True
empty-32-32,empty_32_32,normalized,False,empty,32,22,0,22,False,True
empty-32-32,empty_32_32,normalized,False,empty,64,10,0,10,True,True
empty-32-32,empty_32_32,normalized,False,empty,80,6,0,6,False,True
empty-32-32,empty_32_32,normalized,False,empty,256,16,0,16,True,True
empty-32-32,empty_32_32,normalized,False,empty,384,8,0,8,True,True
empty-32-32,empty_32_32,normalized,False,empty,512,2,0,2,True,True
empty-48-48,empty_48_48,normalized,False,empty,16,4,4,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,24,4,4,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,32,9,9,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,48,4,4,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,80,12,12,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,192,9,9,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,256,8,8,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,384,3,3,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,768,16,16,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,1000,4,4,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,12,19,19,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,24,1,1,0,False,True
random-32-32-20,random_32_32_20,normalized,False,random,48,15,15,0,False,True
random-32-32-20,random_32_32_20,normalized,False,random,64,7,7,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,80,9,9,0,False,True
random-32-32-20,random_32_32_20,normalized,False,random,192,10,10,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,256,9,9,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,384,5,5,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,8,9,9,0,False,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,16,11,11,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,24,16,16,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,32,13,13,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,48,12,12,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,384,5,5,0,True,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,12,8,8,0,False,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,16,1,1,0,True,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,80,3,3,0,True,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,512,3,3,0,True,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,768,10,10,0,False,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,1000,3,3,0,True,True
random-64-64-20,random_64_64_10,fallback_same_family,True,random,1500,5,5,0,True,True
room-64-64-8,,missing,False,room,,0,0,0,False,False
warehouse-10-20-10-2-1,g567-warehouse-64x40-b-v2,fallback_same_family,True,warehouse,12,1,0,1,True,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,12,8,0,8,False,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,16,8,0,8,True,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,32,1,0,1,False,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,80,5,0,5,True,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,128,8,0,8,False,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,192,3,0,3,True,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,384,3,0,3,False,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,512,5,0,5,True,True
warehouse-10-20-10-2-2,warehouse_small,fallback_same_family,True,warehouse,768,9,0,9,True,True
