candidate_id,candidate_family,candidate_role,rows,finite_rows,oracle_win_count,mean_score,mean_delta_vs_static,helpful_vs_static_count,harmful_vs_static_count,nearest_old_candidate,nearest_old_param_distance,better_than_nearest_old_rows,tied_nearest_old_rows,worse_than_nearest_old_rows,dominated_by_nearest_old,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new_candidate,12,9,0,1.2526509524922222,0.0015673471751933333,2,3,repair5g59_block_heavy_flow_guard,0.11180339887498945,2,2,5,False,0.9,1.5,1.0,0.45,0.95,1.0,0.35,0.75,False
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,g518_new_candidate,12,8,2,1.2276652973225,-0.0194627930029175,4,0,repair5g59_block_heavy_flow_guard,0.15,4,0,4,False,0.9,1.5,1.0,0.45,0.95,1.0,0.45,0.75,False
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new_candidate,12,10,0,1.2517330410420002,-0.00251497626535,4,4,repair5g59_block_heavy_flow_guard,0.187082869338697,2,0,8,False,0.9,1.65,1.0,0.45,0.95,1.0,0.35,0.75,False
repair5g518_grid_c1p20_b1p35_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,g518_new_candidate,12,8,0,1.2579959836175,0.010867893290155,2,4,repair5g59_static_abstain_candidate,0.15811388300841903,2,2,4,False,1.2,1.35,1.0,0.8,0.95,1.0,0.25,0.75,False
repair5g518_grid_c1p20_b1p55_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,g518_new_candidate,12,10,0,1.2537593955759998,-0.0004886217315039994,4,6,repair5g59_high_beta_cap_safe,0.3122498999199199,2,0,7,False,1.2,1.55,1.0,0.7,0.95,1.0,0.55,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,g518_new_candidate,12,9,0,1.260923137378889,0.009839532063697776,2,5,repair5g59_wait_conservative,0.15000000000000002,0,0,9,True,1.25,1.25,1.0,0.35,0.95,1.0,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,g518_new_candidate,12,9,0,1.2495071020222221,-0.0015765032953108892,4,2,repair5g59_wait_conservative,0.07071067811865474,4,0,5,False,1.25,1.25,1.0,0.45,0.95,1.0,0.3,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,g518_new_candidate,12,10,2,1.248033877214,-0.006214140094348,6,4,repair5g59_wait_conservative,0.0,0,10,0,False,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df0p92_beta0p35_max0p75_c0,flow_decay,g518_new_candidate,12,10,0,1.2542480173079997,0.0,0,0,repair5g59_flow_decay,0.058309518948452904,0,10,0,False,1.25,1.25,1.0,0.75,0.9,0.92,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p98_beta0p35_max0p75_c0,flow_decay,g518_new_candidate,12,10,0,1.2542480173079997,0.0,0,0,repair5g59_static_abstain_candidate,0.036055512754639835,0,10,0,False,1.25,1.25,1.0,0.75,0.92,0.98,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p88_beta0p35_max0p75_c0,flow_decay,g518_new_candidate,12,10,0,1.2542480173079997,0.0,0,0,repair5g59_flow_decay,0.06999999999999995,0,10,0,False,1.25,1.25,1.0,0.75,0.95,0.88,0.35,0.75,False
repair5g518_grid_c1p35_b1p15_f1p00_w0p80_dc0p95_df1p00_beta0p25_max0p75_c0,static_boundary,g518_new_candidate,12,9,0,1.2759953718755557,0.02491176656009333,0,7,repair5g59_static_abstain_candidate,0.18027756377319956,0,2,7,True,1.35,1.15,1.0,0.8,0.95,1.0,0.25,0.75,False
repair5g59_additive_fallback,additive,old14_control,12,8,0,1.37296725514,0.1258391648164,0,8,,,0,0,0,False,,,,,,,,,
repair5g59_block_heavy_flow_guard,block_heavy,old14_control,12,10,4,1.238156290516,-0.016091726790184,6,4,,,0,0,0,False,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False
repair5g59_c_only_f_disabled,static_boundary,old14_control,12,10,0,1.3535130475919999,0.09926503028492002,0,10,,,0,0,0,False,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True
repair5g59_commit_heavy_flow_guard,commit_heavy,old14_control,12,9,0,1.2550057080955557,0.0070645377284555555,0,4,,,0,0,0,False,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False
repair5g59_fast_decay_low_shield,flow_decay,old14_control,12,9,0,1.2946099203555554,0.04666874998904444,0,9,,,0,0,0,False,1.25,1.25,1.0,0.75,0.9,1.0,0.2,0.5,False
repair5g59_flow_decay,flow_decay,old14_control,12,10,0,1.2542480173079997,0.0,0,0,,,0,0,0,False,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False
repair5g59_high_beta_cap_safe,high_beta,old14_control,12,9,0,1.24587405839,-0.0052095469252755565,4,3,,,0,0,0,False,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False
repair5g59_light_cong_light_flow,static_boundary,old14_control,12,9,0,1.2920650410266665,0.045435510603833336,0,9,,,0,0,0,False,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False
repair5g59_low_beta_high_cap,low_beta_high_cap,old14_control,12,9,0,1.2762744650977778,0.029644934673768893,0,9,,,0,0,0,False,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False
repair5g59_slow_decay_high_shield,flow_decay,old14_control,12,10,2,1.3266290468839999,0.072381029575076,2,8,,,0,0,0,False,1.25,1.25,1.0,0.75,0.98,1.0,0.5,1.0,False
repair5g59_static_abstain_candidate,static,old14_control,12,10,0,1.2542480173079997,0.0,0,0,,,0,0,0,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False
repair5g59_static_flow_shield,static,old14_control,12,10,0,1.2542480173079997,0.0,0,0,,,0,0,0,False,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False
repair5g59_wait_aggressive,wait_aggressive,old14_control,12,8,0,1.244468130385,-0.0026599599378849996,4,4,,,0,0,0,False,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False
repair5g59_wait_conservative,wait_conservative,old14_control,12,10,0,1.248033877214,-0.006214140094348,6,4,,,0,0,0,False,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False
