"name","hidden","epochs","lr","wd","seed","top1","top3","recall","precision","mean_delta","neutral_rate"
"h32_wd1e3_e300_s11","32","300","0.006","0.001","11","0.19868995633187772","0.5240174672489083","0.9392265193370166","0.43478260869565216","0.007830488420402487","0.12445414847161572"
"h48_wd1e3_e400_s11","48","400","0.006","0.001","11","0.16593886462882096","0.5327510917030568","0.8729281767955801","0.5080385852090032","-0.008414014528025418","0.2052401746724891"
"h64_wd1e3_e500_s11","64","500","0.004","0.001","11","0.22270742358078602","0.5152838427947598","0.8121546961325967","0.47419354838709676","0.012042371718549126","0.10698689956331878"
"h64_wd2e3_e500_s13","64","500","0.004","0.002","13","0.17903930131004367","0.4912663755458515","0.7790055248618785","0.46688741721854304","0.0035741236793073836","0.32751091703056767"
"h96_wd1e3_e500_s17","96","500","0.004","0.001","17","0.16812227074235808","0.4978165938864629","0.8839779005524862","0.47058823529411764","0.0005685450847030357","0.1222707423580786"
"h128_wd2e3_e700_s19","128","700","0.003","0.002","19","0.1222707423580786","0.4890829694323144","0.5082872928176796","0.5082872928176796","-0.011069228795499321","0.1222707423580786"
