plan_row_id,context_key,map,map_family,agents,seed,seed_block,budget_ms,risk_stage,context_source,ltm_max_iterations,role,candidate_id,method,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g541_extension_plan_00000000,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000001,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000002,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000003,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000004,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,param::repair5g539_s1_000,repair5g539_s1_000,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000005,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,param::repair5g539_s1_026,repair5g539_s1_026,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc1p00_df1p00_beta0p6_max0p75_c0,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000006,maze-32-32-4|100|826|1000,maze-32-32-4,maze,100,826,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,param::repair5g539_s2_089,repair5g539_s2_089,repair5g518_grid_c1p4_b1p6_f1p00_w0p65_dc0p95_df0p9_beta0p3_max0p75_c0,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000007,maze-32-32-4|100|827|1000,maze-32-32-4,maze,100,827,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000008,maze-32-32-4|100|827|1000,maze-32-32-4,maze,100,827,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False
g541_extension_plan_00000009,maze-32-32-4|100|827|1000,maze-32-32-4,maze,100,827,820_839,1000,g541_balanced_support_extension,g541_fresh_seed_826_905,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,real_solver_execution_required,False,False,False,False,False
