candidate_id,candidate_family,candidate_role,rows,finite_rows,oracle_win_count,mean_score,mean_delta_vs_static,helpful_vs_static_count,harmful_vs_static_count,nearest_old_candidate,nearest_old_param_distance,better_than_nearest_old_rows,tied_nearest_old_rows,worse_than_nearest_old_rows,dominated_by_nearest_old,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new_candidate,12,8,0,1.230051945365,-0.01707614496036,6,0,repair5g59_block_heavy_flow_guard,0.15000000000000002,2,2,3,False,0.9,1.4,1.0,0.45,0.95,1.0,0.35,0.75,False
repair5g518_grid_c0p90_b1p50_f1p00_w0p55_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new_candidate,12,9,0,1.2487675295044443,-0.0023160758098166668,2,4,repair5g59_block_heavy_flow_guard,0.11180339887498948,3,2,3,False,0.9,1.5,1.0,0.55,0.95,1.0,0.35,0.75,False
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,g518_new_candidate,12,10,0,1.2560674139340002,0.0018193966261840007,4,6,repair5g59_block_heavy_flow_guard,0.21213203435596423,2,2,5,False,0.9,1.65,1.0,0.45,0.95,1.0,0.45,0.75,False
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,g518_new_candidate,12,10,2,1.25867154525,0.004423527942459998,6,4,repair5g59_high_beta_cap_safe,0.12247448713915901,6,0,2,False,1.2,1.35,1.0,0.7,0.95,1.0,0.6,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,g518_new_candidate,12,9,0,1.248348724541111,-0.002734880774667778,4,3,repair5g59_wait_conservative,0.15811388300841897,4,2,3,False,1.25,1.25,1.0,0.35,0.95,1.0,0.3,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,g518_new_candidate,12,9,0,1.2494209771255553,-0.0016626281901622215,4,5,repair5g59_wait_conservative,0.04999999999999999,2,4,3,False,1.25,1.25,1.0,0.45,0.95,1.0,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,g518_new_candidate,12,10,0,1.253244706908,-0.0010033103992399997,4,6,repair5g59_wait_conservative,0.04999999999999999,2,2,6,False,1.25,1.25,1.0,0.5,0.95,1.0,0.3,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p88_df0p98_beta0p35_max0p75_c0,flow_decay,g518_new_candidate,12,10,0,1.2542480173079997,0.0,0,0,repair5g59_static_abstain_candidate,0.07280109889280514,0,10,0,False,1.25,1.25,1.0,0.75,0.88,0.98,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p88_beta0p35_max0p75_c0,flow_decay,g518_new_candidate,12,10,0,1.2542480173079997,0.0,0,0,repair5g59_flow_decay,0.076157731058639,0,9,0,False,1.25,1.25,1.0,0.75,0.92,0.88,0.35,0.75,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p92_df0p95_beta0p35_max0p75_c0,flow_decay,g518_new_candidate,12,10,0,1.2542480173079997,0.0,0,0,repair5g59_flow_decay,0.029999999999999916,0,9,0,False,1.25,1.25,1.0,0.75,0.92,0.95,0.35,0.75,False
