split,sample_count,non_neutral_count,harmful_update_count,feature_count,rule_vocab,rule_class_distribution,best_rule_histogram
all,1897,1484,782,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 325, ""block_light"": 163, ""commit_heavy"": 316, ""decay_090"": 98, ""decay_095"": 87, ""neutral_additive"": 413, ""wait_heavy"": 213, ""wait_light"": 282}","{""additive_ltm"": 165, ""block_heavy"": 379, ""block_light"": 194, ""commit_heavy"": 351, ""decay_090"": 126, ""decay_095"": 114, ""wait_heavy"": 255, ""wait_light"": 313}"
train,1439,1135,601,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 248, ""block_light"": 130, ""commit_heavy"": 240, ""decay_090"": 72, ""decay_095"": 60, ""neutral_additive"": 304, ""wait_heavy"": 162, ""wait_light"": 223}","{""additive_ltm"": 119, ""block_heavy"": 289, ""block_light"": 156, ""commit_heavy"": 265, ""decay_090"": 85, ""decay_095"": 83, ""wait_heavy"": 195, ""wait_light"": 247}"
validation,458,349,181,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 77, ""block_light"": 33, ""commit_heavy"": 76, ""decay_090"": 26, ""decay_095"": 27, ""neutral_additive"": 109, ""wait_heavy"": 51, ""wait_light"": 59}","{""additive_ltm"": 46, ""block_heavy"": 90, ""block_light"": 38, ""commit_heavy"": 86, ""decay_090"": 41, ""decay_095"": 31, ""wait_heavy"": 60, ""wait_light"": 66}"
