sample_index,best_risk_auc_or_balanced_accuracy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,0.712340247257,False,False,False,False,False
1,0.720627866675,False,False,False,False,False
2,0.704712915559,False,False,False,False,False
3,0.721690987877,False,False,False,False,False
4,0.703530433858,False,False,False,False,False
5,0.730636029628,False,False,False,False,False
6,0.698199067024,False,False,False,False,False
7,0.728546253786,False,False,False,False,False
8,0.718385713499,False,False,False,False,False
9,0.705507743058,False,False,False,False,False
10,0.748921097022,False,False,False,False,False
11,0.741833266531,False,False,False,False,False
12,0.735694219775,False,False,False,False,False
13,0.734386980418,False,False,False,False,False
14,0.732636651549,False,False,False,False,False
15,0.749269201198,False,False,False,False,False
16,0.738258287953,False,False,False,False,False
17,0.734741225241,False,False,False,False,False
18,0.750760039845,False,False,False,False,False
19,0.744189812782,False,False,False,False,False
20,0.723719168314,False,False,False,False,False
21,0.743841235919,False,False,False,False,False
22,0.703212170252,False,False,False,False,False
23,0.751748026497,False,False,False,False,False
24,0.706018222787,False,False,False,False,False
25,0.726833246405,False,False,False,False,False
26,0.724790744996,False,False,False,False,False
27,0.698720592302,False,False,False,False,False
28,0.711519951063,False,False,False,False,False
29,0.741065741006,False,False,False,False,False
30,0.736425573243,False,False,False,False,False
31,0.709221872469,False,False,False,False,False
32,0.718861201335,False,False,False,False,False
33,0.733739629364,False,False,False,False,False
34,0.739924609509,False,False,False,False,False
35,0.71770512809,False,False,False,False,False
36,0.718697852394,False,False,False,False,False
37,0.716300400355,False,False,False,False,False
38,0.741668591774,False,False,False,False,False
39,0.729516328544,False,False,False,False,False
40,0.748130975678,False,False,False,False,False
41,0.700250550635,False,False,False,False,False
42,0.702948537364,False,False,False,False,False
43,0.716047494023,False,False,False,False,False
44,0.72549247676,False,False,False,False,False
45,0.747186179448,False,False,False,False,False
46,0.69684272957,False,False,False,False,False
47,0.72286951346,False,False,False,False,False
48,0.71733311219,False,False,False,False,False
49,0.721666631636,False,False,False,False,False
50,0.733596472385,False,False,False,False,False
51,0.710079106496,False,False,False,False,False
52,0.69720131618,False,False,False,False,False
53,0.742910837638,False,False,False,False,False
54,0.730671102104,False,False,False,False,False
55,0.752766641902,False,False,False,False,False
56,0.732703578664,False,False,False,False,False
57,0.736163287406,False,False,False,False,False
58,0.732558517217,False,False,False,False,False
59,0.728251861675,False,False,False,False,False
60,0.719578528186,False,False,False,False,False
61,0.751940218319,False,False,False,False,False
62,0.723118325361,False,False,False,False,False
63,0.707654611287,False,False,False,False,False
64,0.731686367637,False,False,False,False,False
65,0.730418474913,False,False,False,False,False
66,0.724850290144,False,False,False,False,False
67,0.713971828976,False,False,False,False,False
68,0.741991290889,False,False,False,False,False
69,0.744033506359,False,False,False,False,False
70,0.728149481453,False,False,False,False,False
71,0.705477880461,False,False,False,False,False
72,0.704453287722,False,False,False,False,False
73,0.735609427608,False,False,False,False,False
74,0.732944041865,False,False,False,False,False
75,0.749538459588,False,False,False,False,False
