policy_key,map_family,map,agents,budget_ms,iteration_bucket,selected_role,selected_candidate,ladder_baseline_role,ladder_baseline_candidate,overlay_applied,source_policy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze|50|500|final,maze,maze-32-32-4,50,500,final,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,False,P2_deployable_static_ladder_only,False,False,False,False,False
maze|50|1000|final,maze,maze-32-32-4,50,1000,final,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,False,P2_deployable_static_ladder_only,False,False,False,False,False
maze|50|2000|final,maze,maze-32-32-4,50,2000,final,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,False,P2_deployable_static_ladder_only,False,False,False,False,False
maze|100|500|final,maze,maze-32-32-4,100,500,final,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,False,P2_deployable_static_ladder_only,False,False,False,False,False
maze|100|1000|final,maze,maze-32-32-4,100,1000,final,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,False,P2_deployable_static_ladder_only,False,False,False,False,False
maze|100|2000|final,maze,maze-32-32-4,100,2000,final,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,False,P2_deployable_static_ladder_only,False,False,False,False,False
random|50|500|final,random,random-32-32-20,50,500,final,static_flow_shield,repair5g59_static_flow_shield,static_flow_shield,repair5g59_static_flow_shield,False,P2_deployable_static_ladder_only,False,False,False,False,False
random|50|1000|final,random,random-32-32-20,50,1000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
random|50|2000|final,random,random-32-32-20,50,2000,final,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,False,P2_deployable_static_ladder_only,False,False,False,False,False
random|100|500|final,random,random-32-32-20,100,500,final,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,False,P2_deployable_static_ladder_only,False,False,False,False,False
random|100|1000|final,random,random-32-32-20,100,1000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
warehouse|50|500|final,warehouse,warehouse-10-20-10-2-1,50,500,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
warehouse|50|1000|final,warehouse,warehouse-10-20-10-2-1,50,1000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
warehouse|50|2000|final,warehouse,warehouse-10-20-10-2-1,50,2000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
warehouse|100|500|final,warehouse,warehouse-10-20-10-2-1,100,500,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
warehouse|100|1000|final,warehouse,warehouse-10-20-10-2-1,100,1000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
warehouse|100|2000|final,warehouse,warehouse-10-20-10-2-1,100,2000,final,additive_ltm,repair5g59_additive_fallback,additive_ltm,repair5g59_additive_fallback,False,P2_deployable_static_ladder_only,False,False,False,False,False
