policy_role,paired_against_role,direct_group_key,context_budget_iteration_key,context_key,map,map_family,agents,seed,budget_ms,iteration,selected_candidate,baseline_candidate,baseline_ratio,selected_ratio,corrected_delta_ratio_for_mean,quality_delta_ratio,success_regression,success_gain,both_fail,both_success,safe_high_margin_gain,safe_low_margin_gain,equal_vs_baseline,safe_worse,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,maze-32-32-4|50|936|500|final,maze-32-32-4|50|936|500,maze-32-32-4,maze,50,936,500,final,repair5g59_static_flow_shield,repair5g59_low_beta_high_cap,1.37231759657,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|932|500|final,random-32-32-20|100|932|500,random-32-32-20,random,100,932,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.23090745732,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|949|500|final,random-32-32-20|100|949|500,random-32-32-20,random,100,949,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.26982758621,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|957|500|final,random-32-32-20|100|957|500,random-32-32-20,random,100,957,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.2555410691,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|964|500|final,random-32-32-20|100|964|500,random-32-32-20,random,100,964,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.30083811204,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|975|500|final,random-32-32-20|100|975|500,random-32-32-20,random,100,975,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.28551660517,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,random-32-32-20|100|978|500|final,random-32-32-20|100|978|500,random-32-32-20,random,100,978,500,final,repair5g59_static_flow_shield,repair5g59_wait_aggressive,1.300456621,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|908|2000|final,random-32-32-20|100|908|2000,random-32-32-20,random,100,908,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.24759825328,1.27991266376,0.03231441048,0.03231441048,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|913|2000|final,random-32-32-20|100|913|2000,random-32-32-20,random,100,913,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.20435510888,1.22319932998,0.0188442211,0.0188442211,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|923|2000|final,random-32-32-20|100|923|2000,random-32-32-20,random,100,923,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.23409779316,1.2509736045,0.01687581134,0.01687581134,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|928|2000|final,random-32-32-20|100|928|2000,random-32-32-20,random,100,928,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.33406400701,1.34151687856,0.00745287155,0.00745287155,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|933|2000|final,random-32-32-20|100|933|2000,random-32-32-20,random,100,933,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.22194092827,1.23122362869,0.00928270042,0.00928270042,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|934|2000|final,random-32-32-20|100|934|2000,random-32-32-20,random,100,934,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.2514489523,1.27418635756,0.02273740526,0.02273740526,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|935|2000|final,random-32-32-20|100|935|2000,random-32-32-20,random,100,935,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.25157232704,1.29056603774,0.0389937107,0.0389937107,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|936|2000|final,random-32-32-20|100|936|2000,random-32-32-20,random,100,936,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.22575107296,1.2356223176,0.00987124464,0.00987124464,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|940|2000|final,random-32-32-20|100|940|2000,random-32-32-20,random,100,940,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.22623345367,1.24468511833,0.01845166466,0.01845166466,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|941|2000|final,random-32-32-20|100|941|2000,random-32-32-20,random,100,941,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.24265402844,1.25213270142,0.00947867298,0.00947867298,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|944|2000|final,random-32-32-20|100|944|2000,random-32-32-20,random,100,944,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.28480146052,1.29301688727,0.00821542675,0.00821542675,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|945|2000|final,random-32-32-20|100|945|2000,random-32-32-20,random,100,945,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.23969871511,1.2711564023,0.03145768719,0.03145768719,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|946|2000|final,random-32-32-20|100|946|2000,random-32-32-20,random,100,946,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.23629409265,1.24691882703,0.01062473438,0.01062473438,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|954|2000|final,random-32-32-20|100|954|2000,random-32-32-20,random,100,954,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.2111425111,1.2220427937,0.0109002826,0.0109002826,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|955|2000|final,random-32-32-20|100|955|2000,random-32-32-20,random,100,955,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.22391304348,1.24434782609,0.02043478261,0.02043478261,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|958|2000|final,random-32-32-20|100|958|2000,random-32-32-20,random,100,958,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.20494247976,1.23178525778,0.02684277802,0.02684277802,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|962|2000|final,random-32-32-20|100|962|2000,random-32-32-20,random,100,962,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.24132091448,1.25148179509,0.01016088061,0.01016088061,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|963|2000|final,random-32-32-20|100|963|2000,random-32-32-20,random,100,963,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.24091627172,1.25868878357,0.01777251185,0.01777251185,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|965|2000|final,random-32-32-20|100|965|2000,random-32-32-20,random,100,965,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.22222222222,1.24417009602,0.0219478738,0.0219478738,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|967|2000|final,random-32-32-20|100|967|2000,random-32-32-20,random,100,967,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.27226345083,1.28432282004,0.01205936921,0.01205936921,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|968|2000|final,random-32-32-20|100|968|2000,random-32-32-20,random,100,968,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.25987261146,1.29299363057,0.03312101911,0.03312101911,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|970|2000|final,random-32-32-20|100|970|2000,random-32-32-20,random,100,970,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.20561941252,1.22009365688,0.01447424436,0.01447424436,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|971|2000|final,random-32-32-20|100|971|2000,random-32-32-20,random,100,971,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.23321708806,1.24934612031,0.01612903225,0.01612903225,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|973|2000|final,random-32-32-20|100|973|2000,random-32-32-20,random,100,973,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.25846702317,1.27852049911,0.02005347594,0.02005347594,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|977|2000|final,random-32-32-20|100|977|2000,random-32-32-20,random,100,977,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.20913358942,1.21468203158,0.00554844216,0.00554844216,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,static_flow_shield,,random-32-32-20|100|978|2000|final,random-32-32-20|100|978|2000,random-32-32-20,random,100,978,2000,final,repair5g541_refine_017,repair5g59_static_flow_shield,1.27488584475,1.29360730594,0.01872146119,0.01872146119,False,False,False,True,False,False,False,True,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|906|2000|final,warehouse-10-20-10-2-1|50|906|2000,warehouse-10-20-10-2-1,warehouse,50,906,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.08659286593,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|907|2000|final,warehouse-10-20-10-2-1|50|907|2000,warehouse-10-20-10-2-1,warehouse,50,907,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.0744651292,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|927|2000|final,warehouse-10-20-10-2-1|50|927|2000,warehouse-10-20-10-2-1,warehouse,50,927,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.06063694268,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|932|2000|final,warehouse-10-20-10-2-1|50|932|2000,warehouse-10-20-10-2-1,warehouse,50,932,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.09682365827,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|940|2000|final,warehouse-10-20-10-2-1|50|940|2000,warehouse-10-20-10-2-1,warehouse,50,940,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.08745781777,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
g541_frozen_stratum_policy,frozen_family_static_goal_aware,,warehouse-10-20-10-2-1|50|974|2000|final,warehouse-10-20-10-2-1|50|974|2000,warehouse-10-20-10-2-1,warehouse,50,974,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.10796984383,,0.25,,True,False,False,False,False,False,False,False,False,False,False,False,False
