split,map_name,sample_count,non_neutral_count,harmful_update_count,stable_label_distribution,executable_label_distribution,edge_truncation_rate,trace_truncation_rate
train,empty-16-16,180,148,133,"{""block_heavy"": 36, ""block_light"": 11, ""commit_heavy"": 27, ""decay_090"": 9, ""decay_095"": 12, ""neutral_additive"": 32, ""wait_heavy"": 7, ""wait_light"": 46}","{""additive_ltm"": 32, ""block_heavy"": 36, ""block_light"": 11, ""commit_heavy"": 27, ""decay_090"": 9, ""decay_095"": 12, ""wait_heavy"": 7, ""wait_light"": 46}",1.0,1.0
train,empty-32-32,240,171,124,"{""block_heavy"": 50, ""block_light"": 5, ""commit_heavy"": 59, ""decay_090"": 2, ""decay_095"": 3, ""neutral_additive"": 69, ""wait_heavy"": 7, ""wait_light"": 45}","{""additive_ltm"": 69, ""block_heavy"": 50, ""block_light"": 5, ""commit_heavy"": 59, ""decay_090"": 2, ""decay_095"": 3, ""wait_heavy"": 7, ""wait_light"": 45}",1.0,1.0
train,maze-32-32-2,210,155,123,"{""block_heavy"": 32, ""block_light"": 17, ""commit_heavy"": 44, ""decay_090"": 8, ""decay_095"": 8, ""neutral_additive"": 55, ""wait_heavy"": 10, ""wait_light"": 36}","{""additive_ltm"": 55, ""block_heavy"": 32, ""block_light"": 17, ""commit_heavy"": 44, ""decay_090"": 8, ""decay_095"": 8, ""wait_heavy"": 10, ""wait_light"": 36}",1.0,1.0
train,random-32-32-10,240,176,140,"{""block_heavy"": 57, ""block_light"": 12, ""commit_heavy"": 42, ""decay_090"": 9, ""decay_095"": 4, ""neutral_additive"": 64, ""wait_heavy"": 12, ""wait_light"": 40}","{""additive_ltm"": 64, ""block_heavy"": 57, ""block_light"": 12, ""commit_heavy"": 42, ""decay_090"": 9, ""decay_095"": 4, ""wait_heavy"": 12, ""wait_light"": 40}",1.0,1.0
train,random-32-32-20,240,184,171,"{""block_heavy"": 39, ""block_light"": 12, ""commit_heavy"": 51, ""decay_090"": 8, ""decay_095"": 9, ""neutral_additive"": 56, ""wait_heavy"": 19, ""wait_light"": 46}","{""additive_ltm"": 56, ""block_heavy"": 39, ""block_light"": 12, ""commit_heavy"": 51, ""decay_090"": 8, ""decay_095"": 9, ""wait_heavy"": 19, ""wait_light"": 46}",1.0,1.0
train,random-64-64-10,240,121,40,"{""block_heavy"": 34, ""commit_heavy"": 78, ""decay_095"": 2, ""neutral_additive"": 119, ""wait_heavy"": 2, ""wait_light"": 5}","{""additive_ltm"": 119, ""block_heavy"": 34, ""commit_heavy"": 78, ""decay_095"": 2, ""wait_heavy"": 2, ""wait_light"": 5}",1.0,1.0
train,random-64-64-20,240,141,74,"{""block_heavy"": 49, ""commit_heavy"": 63, ""decay_095"": 1, ""neutral_additive"": 99, ""wait_heavy"": 10, ""wait_light"": 18}","{""additive_ltm"": 99, ""block_heavy"": 49, ""commit_heavy"": 63, ""decay_095"": 1, ""wait_heavy"": 10, ""wait_light"": 18}",1.0,1.0
train,room-32-32-4,231,196,166,"{""block_heavy"": 42, ""block_light"": 20, ""commit_heavy"": 56, ""decay_090"": 10, ""decay_095"": 13, ""neutral_additive"": 35, ""wait_heavy"": 10, ""wait_light"": 45}","{""additive_ltm"": 35, ""block_heavy"": 42, ""block_light"": 20, ""commit_heavy"": 56, ""decay_090"": 10, ""decay_095"": 13, ""wait_heavy"": 10, ""wait_light"": 45}",1.0,1.0
train,room-64-64-8,240,139,110,"{""block_heavy"": 43, ""block_light"": 18, ""commit_heavy"": 30, ""decay_090"": 1, ""decay_095"": 4, ""neutral_additive"": 101, ""wait_heavy"": 6, ""wait_light"": 37}","{""additive_ltm"": 101, ""block_heavy"": 43, ""block_light"": 18, ""commit_heavy"": 30, ""decay_090"": 1, ""decay_095"": 4, ""wait_heavy"": 6, ""wait_light"": 37}",1.0,1.0
train,warehouse-10-20-10-2-1,240,169,141,"{""block_heavy"": 31, ""block_light"": 14, ""commit_heavy"": 63, ""decay_090"": 8, ""decay_095"": 9, ""neutral_additive"": 71, ""wait_heavy"": 12, ""wait_light"": 32}","{""additive_ltm"": 71, ""block_heavy"": 31, ""block_light"": 14, ""commit_heavy"": 63, ""decay_090"": 8, ""decay_095"": 9, ""wait_heavy"": 12, ""wait_light"": 32}",1.0,1.0
train,warehouse-20-40-10-2-1,225,91,32,"{""block_heavy"": 20, ""commit_heavy"": 49, ""decay_090"": 3, ""decay_095"": 4, ""neutral_additive"": 134, ""wait_heavy"": 6, ""wait_light"": 9}","{""additive_ltm"": 134, ""block_heavy"": 20, ""commit_heavy"": 49, ""decay_090"": 3, ""decay_095"": 4, ""wait_heavy"": 6, ""wait_light"": 9}",0.9822222222222222,0.9822222222222222
validation,empty-48-48,240,130,54,"{""block_heavy"": 50, ""block_light"": 1, ""commit_heavy"": 69, ""decay_090"": 1, ""decay_095"": 1, ""neutral_additive"": 110, ""wait_light"": 8}","{""additive_ltm"": 110, ""block_heavy"": 50, ""block_light"": 1, ""commit_heavy"": 69, ""decay_090"": 1, ""decay_095"": 1, ""wait_light"": 8}",1.0,1.0
validation,maze-32-32-4,219,163,119,"{""block_heavy"": 36, ""block_light"": 11, ""commit_heavy"": 40, ""decay_090"": 6, ""decay_095"": 12, ""neutral_additive"": 56, ""wait_heavy"": 19, ""wait_light"": 39}","{""additive_ltm"": 56, ""block_heavy"": 36, ""block_light"": 11, ""commit_heavy"": 40, ""decay_090"": 6, ""decay_095"": 12, ""wait_heavy"": 19, ""wait_light"": 39}",1.0,1.0
