theta_cluster,map_family,agents,nominal_budget_ms,horizon_id,support_pairs,pair_rows,seed_block_support,success_regression_count,success_regression_rate,quality_only_mean_delta_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,bootstrap_ci_lower,bootstrap_ci_upper,region_status,interpretation,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
alpha_cong_commit_nonprogress_sweep,random,50,2000,c0_short1000_t050_i2,1180,1200,6,10,0.00833333333333,0.00254374481035,482,567,0.000568622402268,0.00428588064858,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,50,2000,c0_short1000_t050_i2,1177,1200,6,13,0.0108333333333,0.000284451501795,500,461,-0.000846870938473,0.00144432540037,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
edge_cost_clamp_sweep,random,100,2000,c0_short1000_t050_i2,79,580,3,71,0.122413793103,0.00218458117101,27,41,-0.00228689520468,0.00637920988215,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
edge_cost_clamp_sweep,random,50,2000,c0_short1000_t050_i2,1172,1200,6,18,0.015,0.00255087722163,433,447,0.00107909360987,0.00396442951837,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
g546_g548_safe_no_gain_neighborhood,random,100,2000,c0_short1000_t050_i2,90,580,3,60,0.103448275862,0.00797514457044,35,42,0.00138056816933,0.0160301168329,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
g546_g548_safe_no_gain_neighborhood,random,50,2000,c0_short1000_t050_i2,1182,1200,6,8,0.00666666666667,0.00529132599783,418,589,0.00377043836076,0.00658730138197,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
goal_projection_mode_ablation,random,100,2000,c0_short1000_t050_i2,103,580,3,47,0.0810344827586,0.0176849521029,32,60,0.00953934152524,0.0258553157307,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
goal_projection_mode_ablation,random,100,2000,c0_short2000_t050_i2,318,580,3,2,0.00344827586207,0.00523470770509,140,156,-0.000434041986689,0.0114833959654,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
goal_projection_mode_ablation,random,50,2000,c0_short1000_t050_i2,1182,1200,6,8,0.00666666666667,0.00447300100368,514,536,0.00190984320691,0.00721004593855,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
lambda_flow_lambda_cong_sweep,random,50,2000,c0_short1000_t050_i2,1182,1200,6,8,0.00666666666667,0.00245143341901,491,528,0.000658693805988,0.00404041458734,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
negative_control,random,100,2000,c0_short1000_t050_i2,120,580,3,30,0.051724137931,0.0233262791797,39,69,0.0134860520925,0.0346632718577,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
negative_control,random,100,2000,c0_short2000_t050_i2,314,580,3,6,0.0103448275862,0.0150343991063,136,159,0.00716411273979,0.0232457643426,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
negative_control,random,50,2000,c0_short1000_t050_i2,1187,1200,6,3,0.0025,0.00967836439094,542,563,0.00582784206011,0.013773387395,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
static_flow_local_perturbation_fulltheta,random,100,2000,c0_short1000_t050_i2,88,580,3,62,0.106896551724,0.000745910953977,38,35,-0.00506628543489,0.00649091960443,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
static_flow_local_perturbation_fulltheta,random,50,2000,c0_short1000_t050_i2,1184,1200,6,6,0.005,0.00349902404037,468,538,0.00203226581272,0.00477710352039,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
surrogate_guided_theta_if_model_exists,random,100,2000,c0_short1000_t050_i2,88,580,3,62,0.106896551724,0.00539872290886,40,39,-0.00272920904432,0.0124195154061,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
surrogate_guided_theta_if_model_exists,random,50,2000,c0_short1000_t050_i2,1178,1200,6,12,0.01,0.00892937880757,390,629,0.00723547062045,0.0105601400009,non_evaluable,negative_delta_is_better_quality_ratio,False,False,False,False,False
