evaluation_uid,instance_uid,split,physical_map_sha256,map,map_family,agent_count,budget_ms,label_state,original_row_count,positive_rows,safe_nonimproving_rows,safe_rows,harmful_rows,censored_rows,noise_margin,candidate_rows,min_verified_coverage,verified_no_positive_requires_coverage,verified_no_positive_supported,candidate_rows_count_as_independent_contexts,g563_split,g563_physical_group,g563_split_seed
006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,89ca8a418e6e740c3f3a40979e38832755b3e30177f3d4ca4821c74d10892860,train,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,empty-8-8,empty,16,500,MIXED_FRONTIER,65,30,2,32,33,0,0.0,65,4,True,False,False,train,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,563
0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,e18a5d07f45e4b543368a2d9eec432055b710cd8f040b0cafa7ad2248dd3b89d,train,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,room-40-32-8,room,96,1000,MIXED_FRONTIER,65,43,1,44,21,0,0.0,65,4,True,False,False,blind,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,563
0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,b29cb5508b79b79cc653e0da90ca6367ca157807ddf3acfb94858c52b56e9698,train,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,g559-synth-game-brc-32,game,32,5000,MIXED_FRONTIER,65,38,1,39,26,0,0.0,65,4,True,False,False,train,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,563
0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,38e1b40ee04cfed380e677f2655fc7e01a787931d1dc3a15dcfdd3c6b4e8df5a,train,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,g559-synth-loop-chain-36,irregular_bottleneck,64,2000,MIXED_FRONTIER,65,1,1,2,63,0,0.0,65,4,True,False,False,train,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,563
00b3f456f77df0e1a35ae679fc5ee3616299ac4996db13f9b1b0e5bddd57b292,9c3a1d4f960a321682172e15050378cba07762efbdfa26b76d143ed7a01b68bf,train,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,random-8-8-20,random,32,5000,CENSORED_UNKNOWN,65,0,1,1,0,64,0.0,65,4,True,False,False,train,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,563
00c473d161a66342da243eed1da54c488835e7efecb0bd7c33f49e7a8240e62c,d95225a4a10a341fc2794b84b3b49ff52d61188ac0d60f194d34fbf2f505d5ef,validation,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,g559-synth-city-berlin-32,city,64,500,CENSORED_UNKNOWN,65,0,1,1,0,64,0.0,65,4,True,False,False,train,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,563
0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,bb69052451f683302280ac95ff1f89b98203b2aa2648e0ef325f075de2457ef2,train,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,empty-8-8,empty,16,500,MIXED_FRONTIER,65,34,2,36,29,0,0.0,65,4,True,False,False,train,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,563
01739cdeba8188a1cd12a891c8731c54bdcb345754ece202e6f31adba94625ff,2334ac1766b19d62673f6798604642ef80984f487e302594bbc1d4bc4cf5b4ee,validation,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,g559-synth-warehouse-a-32,warehouse,128,2000,CENSORED_UNKNOWN,65,0,1,1,0,64,0.0,65,4,True,False,False,heldout,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,563
017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,heldout,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,g559-synth-string-40,irregular_bottleneck,128,500,MIXED_FRONTIER,65,47,1,48,17,0,0.0,65,4,True,False,False,validation,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,563
01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,4b87876bbda81f875368e4873037f803b0c72da2041c36bbf92dbf9cd55500f8,train,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,random-8-8-20,random,32,5000,MIXED_FRONTIER,65,5,1,6,59,0,0.0,65,4,True,False,False,train,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,563
