affects_selected_flow_shield_comparison,agents,classification,left_expanded_nodes,left_makespan,left_method,left_ratio,left_returncode,left_returncode_classification,left_runtime_ms,left_success,left_sum_of_loss,left_time_to_first_solution_ms,ltm_iteration_budget,map,method,mismatched_fields,mode,repeat_index,right_expanded_nodes,right_makespan,right_method,right_ratio,right_returncode,right_returncode_classification,right_runtime_ms,right_success,right_sum_of_loss,right_time_to_first_solution_ms,scen,seed,source,time_budget_sec
False,100,time_budget_sensitivity,820,124,lacam_star_ltm,1.30364464692,0,ok,2817.826,True,5723,508,,maze-32-32-4,repair5g_dual_c_equiv_additive,"sum_of_loss,sum_of_loss_ratio",,,724,124,repair5g_dual_c_equiv_additive,1.34897494305,0,ok,3026.0036,True,5922,456,maze-32-32-4-random-85.scen,85,g3_broader,3
False,100,time_budget_sensitivity,987,132,lacam_star_ltm,1.42089552239,0,ok,2938.3273,True,5712,519,,maze-32-32-4,laur_disable,"sum_of_loss,sum_of_loss_ratio,makespan",,,854,151,laur_disable,1.42611940299,0,ok,3043.0264,True,5733,521,maze-32-32-4-random-87.scen,87,g3_broader,3
False,100,time_budget_sensitivity,987,132,lacam_star_ltm,1.42089552239,0,ok,2938.3273,True,5712,519,,maze-32-32-4,laur_force_additive_direct,"sum_of_loss,sum_of_loss_ratio,makespan",,,863,151,laur_force_additive_direct,1.42611940299,0,ok,3020.4823,True,5733,504,maze-32-32-4-random-87.scen,87,g3_broader,3
False,100,time_budget_sensitivity,987,132,lacam_star_ltm,1.42089552239,0,ok,2938.3273,True,5712,519,,maze-32-32-4,repair5g_dual_additive_parity,"sum_of_loss,sum_of_loss_ratio,makespan",,,854,151,repair5g_dual_additive_parity,1.42611940299,0,ok,3115.3718,True,5733,550,maze-32-32-4-random-87.scen,87,g3_broader,3
False,100,time_budget_sensitivity,987,132,lacam_star_ltm,1.42089552239,0,ok,2938.3273,True,5712,519,,maze-32-32-4,repair5g_dual_c_equiv_additive,"sum_of_loss,sum_of_loss_ratio,makespan",,,854,151,repair5g_dual_c_equiv_additive,1.42611940299,0,ok,3522.28,True,5733,571,maze-32-32-4-random-87.scen,87,g3_broader,3
False,100,returncode2_no_solution_equivalent,191,190,lacam_star_ltm,1.16549253731,0,ok,3135.0057,True,9761,2991,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,91,,repair5f_candidate_additive_ltm,,2,returncode2_no_solution_equivalent,3141.0561,False,,,warehouse-10-20-10-2-1-random-67.scen,67,g3_broader,3
False,100,returncode2_no_solution_equivalent,191,190,lacam_star_ltm,1.16549253731,0,ok,3135.0057,True,9761,2991,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,53,,laur_disable,,2,returncode2_no_solution_equivalent,3119.3164,False,,,warehouse-10-20-10-2-1-random-67.scen,67,g3_broader,3
False,100,returncode2_no_solution_equivalent,191,190,lacam_star_ltm,1.16549253731,0,ok,3135.0057,True,9761,2991,,warehouse-10-20-10-2-1,laur_force_additive_direct,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,1,,laur_force_additive_direct,,2,returncode2_no_solution_equivalent,3182.7614,False,,,warehouse-10-20-10-2-1-random-67.scen,67,g3_broader,3
False,100,returncode2_no_solution_equivalent,261,259,lacam_star_ltm,1.18293766662,0,ok,6477.7656,True,9318,2903,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,145,,laur_disable,,2,returncode2_no_solution_equivalent,3121.6014,False,,,warehouse-10-20-10-2-1-random-68.scen,68,g3_broader,3
False,100,returncode2_no_solution_equivalent,261,259,lacam_star_ltm,1.18293766662,0,ok,6477.7656,True,9318,2903,,warehouse-10-20-10-2-1,laur_force_additive_direct,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,217,,laur_force_additive_direct,,2,returncode2_no_solution_equivalent,3125.3563,False,,,warehouse-10-20-10-2-1-random-68.scen,68,g3_broader,3
False,100,returncode2_no_solution_equivalent,261,259,lacam_star_ltm,1.18293766662,0,ok,6477.7656,True,9318,2903,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,145,,repair5g_dual_additive_parity,,2,returncode2_no_solution_equivalent,3143.5646,False,,,warehouse-10-20-10-2-1-random-68.scen,68,g3_broader,3
False,100,returncode2_no_solution_equivalent,261,259,lacam_star_ltm,1.18293766662,0,ok,6477.7656,True,9318,2903,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,213,,repair5g_dual_c_equiv_additive,,2,returncode2_no_solution_equivalent,3131.6744,False,,,warehouse-10-20-10-2-1-random-68.scen,68,g3_broader,3
False,100,returncode2_no_solution_equivalent,237,235,lacam_star_ltm,1.18993559655,0,ok,6565.6076,True,10901,2865,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,185,,laur_disable,,2,returncode2_no_solution_equivalent,3131.8086,False,,,warehouse-10-20-10-2-1-random-69.scen,69,g3_broader,3
False,100,returncode2_no_solution_equivalent,237,235,lacam_star_ltm,1.18993559655,0,ok,6565.6076,True,10901,2865,,warehouse-10-20-10-2-1,laur_force_additive_direct,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,174,,laur_force_additive_direct,,2,returncode2_no_solution_equivalent,3136.323,False,,,warehouse-10-20-10-2-1-random-69.scen,69,g3_broader,3
False,100,returncode2_no_solution_equivalent,187,186,lacam_star_ltm,1.16390041494,0,ok,3098.716,True,9537,2965,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,170,,laur_disable,,2,returncode2_no_solution_equivalent,3133.8577,False,,,warehouse-10-20-10-2-1-random-73.scen,73,g3_broader,3
False,100,returncode2_no_solution_equivalent,187,185,lacam_star_ltm,1.17809281205,0,ok,6630.756,True,10637,2923,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,155,,repair5g_dual_additive_parity,,2,returncode2_no_solution_equivalent,3137.3108,False,,,warehouse-10-20-10-2-1-random-74.scen,74,g3_broader,3
False,100,returncode2_no_solution_equivalent,187,185,lacam_star_ltm,1.17809281205,0,ok,6630.756,True,10637,2923,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,182,,repair5g_dual_c_equiv_additive,,2,returncode2_no_solution_equivalent,3124.3821,False,,,warehouse-10-20-10-2-1-random-74.scen,74,g3_broader,3
False,100,returncode2_no_solution_equivalent,225,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3125.6582,False,,,,warehouse-10-20-10-2-1,always_additive_defer,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,245,243,always_additive_defer,1.18253543728,0,ok,6657.2693,True,8843,2927,warehouse-10-20-10-2-1-random-76.scen,76,g3_broader,3
False,100,returncode2_no_solution_equivalent,225,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3125.6582,False,,,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,244,243,repair5f_candidate_additive_ltm,1.18253543728,0,ok,3094.3728,True,8843,2959,warehouse-10-20-10-2-1-random-76.scen,76,g3_broader,3
False,100,returncode2_no_solution_equivalent,226,225,lacam_star_ltm,1.15984811367,0,ok,3091.6498,True,9469,2980,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,99,,repair5f_candidate_additive_ltm,,2,returncode2_no_solution_equivalent,3135.1502,False,,,warehouse-10-20-10-2-1-random-77.scen,77,g3_broader,3
False,100,returncode2_no_solution_equivalent,226,225,lacam_star_ltm,1.15984811367,0,ok,3091.6498,True,9469,2980,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,158,,laur_disable,,2,returncode2_no_solution_equivalent,3156.2853,False,,,warehouse-10-20-10-2-1-random-77.scen,77,g3_broader,3
False,100,returncode2_no_solution_equivalent,226,225,lacam_star_ltm,1.15984811367,0,ok,3091.6498,True,9469,2980,,warehouse-10-20-10-2-1,laur_force_additive_direct,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,117,,laur_force_additive_direct,,2,returncode2_no_solution_equivalent,3125.2309,False,,,warehouse-10-20-10-2-1-random-77.scen,77,g3_broader,3
False,100,returncode2_no_solution_equivalent,226,225,lacam_star_ltm,1.15984811367,0,ok,3091.6498,True,9469,2980,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,127,,repair5g_dual_additive_parity,,2,returncode2_no_solution_equivalent,3118.9623,False,,,warehouse-10-20-10-2-1-random-77.scen,77,g3_broader,3
False,100,returncode2_no_solution_equivalent,226,225,lacam_star_ltm,1.15984811367,0,ok,3091.6498,True,9469,2980,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,159,,repair5g_dual_c_equiv_additive,,2,returncode2_no_solution_equivalent,3134.0847,False,,,warehouse-10-20-10-2-1-random-77.scen,77,g3_broader,3
False,100,returncode2_no_solution_equivalent,201,199,lacam_star_ltm,1.1969897652,0,ok,6451.6034,True,9941,2783,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,175,,repair5f_candidate_additive_ltm,,2,returncode2_no_solution_equivalent,3120.0695,False,,,warehouse-10-20-10-2-1-random-79.scen,79,g3_broader,3
False,100,returncode2_no_solution_equivalent,200,198,lacam_star_ltm,1.10749628897,0,ok,6566.9559,True,8953,2885,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,191,,laur_disable,,2,returncode2_no_solution_equivalent,3127.4478,False,,,warehouse-10-20-10-2-1-random-80.scen,80,g3_broader,3
False,100,returncode2_no_solution_equivalent,105,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3119.0279,False,,,,warehouse-10-20-10-2-1,always_additive_defer,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,187,185,always_additive_defer,1.15162855163,0,ok,6692.3066,True,8309,2895,warehouse-10-20-10-2-1-random-82.scen,82,g3_broader,3
False,100,returncode2_no_solution_equivalent,105,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3119.0279,False,,,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,186,185,repair5f_candidate_additive_ltm,1.15162855163,0,ok,3076.1988,True,8309,2955,warehouse-10-20-10-2-1-random-82.scen,82,g3_broader,3
False,100,returncode2_no_solution_equivalent,105,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3119.0279,False,,,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,187,185,laur_disable,1.15162855163,0,ok,6730.9116,True,8309,2936,warehouse-10-20-10-2-1-random-82.scen,82,g3_broader,3
False,100,returncode2_no_solution_equivalent,105,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3119.0279,False,,,,warehouse-10-20-10-2-1,laur_force_additive_direct,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,186,185,laur_force_additive_direct,1.15162855163,0,ok,3089.1859,True,8309,2948,warehouse-10-20-10-2-1-random-82.scen,82,g3_broader,3
False,100,returncode2_no_solution_equivalent,105,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3119.0279,False,,,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,186,185,repair5g_dual_additive_parity,1.15162855163,0,ok,3103.8958,True,8309,2985,warehouse-10-20-10-2-1-random-82.scen,82,g3_broader,3
False,100,returncode2_no_solution_equivalent,105,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3119.0279,False,,,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,186,185,repair5g_dual_c_equiv_additive,1.15162855163,0,ok,3065.0978,True,8309,2943,warehouse-10-20-10-2-1-random-82.scen,82,g3_broader,3
False,100,returncode2_no_solution_equivalent,214,212,lacam_star_ltm,1.18320422968,0,ok,6676.7026,True,9623,2928,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,208,,laur_disable,,2,returncode2_no_solution_equivalent,3127.4218,False,,,warehouse-10-20-10-2-1-random-85.scen,85,g3_broader,3
False,100,returncode2_no_solution_equivalent,214,212,lacam_star_ltm,1.18320422968,0,ok,6676.7026,True,9623,2928,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,37,,repair5g_dual_additive_parity,,2,returncode2_no_solution_equivalent,3123.7391,False,,,warehouse-10-20-10-2-1-random-85.scen,85,g3_broader,3
False,100,returncode2_no_solution_equivalent,214,212,lacam_star_ltm,1.18320422968,0,ok,6676.7026,True,9623,2928,,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,63,,repair5g_dual_c_equiv_additive,,2,returncode2_no_solution_equivalent,3139.1823,False,,,warehouse-10-20-10-2-1-random-85.scen,85,g3_broader,3
False,100,returncode2_no_solution_equivalent,115,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3134.8964,False,,,,warehouse-10-20-10-2-1,always_additive_defer,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,216,215,always_additive_defer,1.1489284417,0,ok,3082.6447,True,9489,2956,warehouse-10-20-10-2-1-random-86.scen,86,g3_broader,3
False,100,returncode2_no_solution_equivalent,193,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3142.6486,False,,,,warehouse-10-20-10-2-1,always_additive_defer,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,194,192,always_additive_defer,1.17745010805,0,ok,6522.8256,True,9263,2886,warehouse-10-20-10-2-1-random-88.scen,88,g3_broader,3
False,100,returncode2_no_solution_equivalent,193,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3142.6486,False,,,,warehouse-10-20-10-2-1,repair5f_candidate_additive_ltm,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,194,192,repair5f_candidate_additive_ltm,1.17745010805,0,ok,6722.7663,True,9263,2935,warehouse-10-20-10-2-1-random-88.scen,88,g3_broader,3
False,100,returncode2_no_solution_equivalent,193,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3142.6486,False,,,,warehouse-10-20-10-2-1,laur_disable,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,193,192,laur_disable,1.17745010805,0,ok,3132.479,True,9263,3003,warehouse-10-20-10-2-1-random-88.scen,88,g3_broader,3
False,100,returncode2_no_solution_equivalent,193,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3142.6486,False,,,,warehouse-10-20-10-2-1,laur_force_additive_direct,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,193,192,laur_force_additive_direct,1.17745010805,0,ok,3131.8135,True,9263,2997,warehouse-10-20-10-2-1-random-88.scen,88,g3_broader,3
False,100,returncode2_no_solution_equivalent,193,,lacam_star_ltm,,2,returncode2_no_solution_equivalent,3142.6486,False,,,,warehouse-10-20-10-2-1,repair5g_dual_additive_parity,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",,,193,192,repair5g_dual_additive_parity,1.17745010805,0,ok,3062.8475,True,9263,2929,warehouse-10-20-10-2-1-random-88.scen,88,g3_broader,3
