candidate_id,finite_rows,harmful_vs_static_count,helpful_vs_static_count,mean_delta_vs_static,mean_score,oracle_win_count_1000,rows
repair5g59_additive_fallback,240,228,8,0.08777854642748384,1.292223989641169,0,240
repair5g59_block_heavy_flow_guard,240,80,124,-0.0026892074269930003,1.2017562357861657,6,240
repair5g59_c_only_f_disabled,236,224,8,0.08186354171958256,1.2844604191633886,0,240
repair5g59_commit_heavy_flow_guard,240,116,92,0.002350410419915035,1.2067958536329995,4,240
repair5g59_fast_decay_low_shield,240,208,12,0.03527254626991189,1.2397179894823327,0,240
repair5g59_flow_decay,240,0,0,0.0,1.2044454432134997,0,240
repair5g59_high_beta_cap_safe,240,88,88,-0.0003527407564945508,1.2040927024563308,5,240
repair5g59_light_cong_light_flow,240,200,32,0.03507421713261462,1.2395196603458334,1,240
repair5g59_low_beta_high_cap,240,104,116,0.0018231958537298332,1.206268639066333,8,240
repair5g59_slow_decay_high_shield,240,88,136,-0.008625776351724585,1.1958196668616654,23,240
repair5g59_static_abstain_candidate,240,0,0,0.0,1.2044454432134997,0,240
repair5g59_static_flow_shield,240,0,0,0.0,1.2044454432134997,5,240
repair5g59_wait_aggressive,240,100,68,0.00520625943340667,1.2096517026460003,1,240
repair5g59_wait_conservative,240,80,104,-0.0042426416244301015,1.2002028015893318,7,240
