map,agents,seed,method,present,success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan,expanded_nodes,returned_solutions_count,time_to_first_solution_ms,low_level_pibt_calls,ltm_iterations,time_limit_sec,ltm_max_iterations,node_budget_factor,laur_enabled,laur_force_additive,laur_update_mode,laur_post_first_solution_only,laur_selected_rules,laur_additive_fallback_count,laur_inference_count,duplicate_raw_row_count,duplicate_raw_values_differ,update_log_rows,update_log_iterations,decision_status_counts,fallback_reason_counts,selected_rule_source_counts,applied_rule_counts
warehouse-10-20-10-2-1,50,25,lacam_star_ltm,True,True,4780,4467,1.07006939781,211,423,1,1390,20998,3,3,,,False,False,disabled,True,{},0,0,1,False,0,[],{},{},{},{}
warehouse-10-20-10-2-1,50,25,always_additive_defer,True,True,4989,4467,1.11685695097,209,211,1,1496,10448,2,3,,,True,True,force_additive,True,"{""additive_ltm"": 1}",1,0,1,False,2,"[0, 1]","{""fallback_additive"": 1, ""force_additive"": 1}","{""force_additive"": 1, ""pre_first_solution"": 1}","{""force_additive"": 1, ""pre_first_solution"": 1}","{""additive_ltm"": 2}"
warehouse-10-20-10-2-1,50,25,repair5f_candidate_additive_ltm,True,True,4780,4467,1.07006939781,211,422,1,1428,20998,2,3,,,True,False,runtime,True,"{""additive_ltm"": 1}",1,1,1,False,2,"[0, 1]","{""applied"": 1, ""fallback_additive"": 1}","{"""": 1, ""pre_first_solution"": 1}","{""pre_first_solution"": 1, ""runtime_mlp"": 1}","{""additive_ltm"": 2}"
