region_id,deployable_region_key,candidate_id,map_family,map,agents,budget_ms,iteration_bucket,support_pairs,seed_block_support,context_support,minimum_diagnostic_pairs,minimum_strong_pairs,minimum_final_pairs,minimum_final_seed_blocks,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status,safe_region,useful_safe_region,zero_regression_vs_static_and_family
repair5g539_s2_110|random|100|2000|final,random|100|2000|final,repair5g539_s2_110,random,random-32-32-20,100,2000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00566326247081,-0.000859371395,-0.00566326247081,-0.00566326247081,-0.00566326247081,36,23,21,36,5,80,0,0,0,80,-0.0100932976948,-0.00792861215,-0.0100932976948,-0.0100932976948,-0.0100932976948,44,20,16,44,6,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s1_000|random|50|1000|final,random|50|1000|final,repair5g539_s1_000,random,random-32-32-20,50,1000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.0052302461126,0,-0.0052302461126,-0.0052302461126,-0.0052302461126,26,40,14,26,7,80,0,0,0,80,-0.00429140249635,0,-0.00429140249635,-0.00429140249635,-0.00429140249635,24,40,16,24,5,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s1_000|random|50|2000|final,random|50|2000|final,repair5g539_s1_000,random,random-32-32-20,50,2000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.0052302461126,0,-0.0052302461126,-0.0052302461126,-0.0052302461126,26,40,14,26,7,80,0,0,0,80,-0.00429140249635,0,-0.00429140249635,-0.00429140249635,-0.00429140249635,24,40,16,24,5,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s1_026|random|100|2000|final,random|100|2000|final,repair5g539_s1_026,random,random-32-32-20,100,2000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00483910236347,0,-0.00483910236347,-0.00483910236347,-0.00483910236347,34,23,23,34,4,80,0,0,0,80,-0.00926913758751,-0.005071457335,-0.00926913758751,-0.00926913758751,-0.00926913758751,40,26,14,40,3,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s2_110|random|50|1000|final,random|50|1000|final,repair5g539_s2_110,random,random-32-32-20,50,1000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00412162734141,0,-0.00412162734141,-0.00412162734141,-0.00412162734141,21,53,6,21,3,80,0,0,0,80,-0.00318278372516,0,-0.00318278372516,-0.00318278372516,-0.00318278372516,20,53,7,20,2,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s2_110|random|50|2000|final,random|50|2000|final,repair5g539_s2_110,random,random-32-32-20,50,2000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00412162734141,0,-0.00412162734141,-0.00412162734141,-0.00412162734141,21,53,6,21,3,80,0,0,0,80,-0.00318278372516,0,-0.00318278372516,-0.00318278372516,-0.00318278372516,20,53,7,20,2,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s1_026|random|50|1000|final,random|50|1000|final,repair5g539_s1_026,random,random-32-32-20,50,1000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00285893708175,0,-0.00285893708175,-0.00285893708175,-0.00285893708175,16,54,10,16,4,80,0,0,0,80,-0.0019200934655,0,-0.0019200934655,-0.0019200934655,-0.0019200934655,16,56,8,16,6,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s1_026|random|50|2000|final,random|50|2000|final,repair5g539_s1_026,random,random-32-32-20,50,2000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00285893708175,0,-0.00285893708175,-0.00285893708175,-0.00285893708175,16,54,10,16,4,80,0,0,0,80,-0.0019200934655,0,-0.0019200934655,-0.0019200934655,-0.0019200934655,16,56,8,16,6,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s2_110|maze|50|1000|final,maze|50|1000|final,repair5g539_s2_110,maze,maze-32-32-4,50,1000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00221469444887,0,-0.00221469444887,-0.00221469444887,-0.00221469444887,27,41,12,27,7,80,0,0,0,80,-0.00598529543569,0,-0.00598529543569,-0.00598529543569,-0.00598529543569,29,33,18,29,3,False,False,False,False,False,final_deployable_safe_useful,True,True,True
repair5g539_s2_110|maze|50|2000|final,maze|50|2000|final,repair5g539_s2_110,maze,maze-32-32-4,50,2000,final,80,5,80,20,60,80,3,80,0,0,0,80,-0.00189550169775,0,-0.00189550169775,-0.00189550169775,-0.00189550169775,27,40,13,27,7,80,0,0,0,80,-0.00598529543569,0,-0.00598529543569,-0.00598529543569,-0.00598529543569,29,33,18,29,3,False,False,False,False,False,final_deployable_safe_useful,True,True,True
